,Negative Emissions,Negative Emissions,Negative Emissions
Zone,1,2,3
AnnualSum,454037.8364459446,102391.19697732809,38456.82430740903
t1,2702.606169321099,609.7461341778967,228.90966849648225
t2,2702.606169321099,609.7461341778967,228.90966849648225
t3,2702.606169321099,609.7461341778967,228.90966849648225
t4,2702.606169321099,609.7461341778967,228.90966849648225
t5,2702.606169321099,609.7461341778967,228.90966849648225
t6,2702.606169321099,609.7461341778967,228.90966849648225
t7,2702.606169321099,609.7461341778967,228.90966849648225
t8,2702.606169321099,609.7461341778967,228.90966849648225
t9,2702.606169321099,609.7461341778967,228.90966849648225
t10,2702.606169321099,609.7461341778967,228.90966849648225
t11,2702.606169321099,609.7461341778967,228.90966849648225
t12,2702.606169321099,609.7461341778967,228.90966849648225
t13,2702.606169321099,609.7461341778967,228.90966849648225
t14,2702.606169321099,609.7461341778967,228.90966849648225
t15,2702.606169321099,609.7461341778967,228.90966849648225
t16,2702.606169321099,609.7461341778967,228.90966849648225
t17,2702.606169321099,609.7461341778967,228.90966849648225
t18,2702.606169321099,609.7461341778967,228.90966849648225
t19,2702.606169321099,609.7461341778967,228.90966849648225
t20,2702.606169321099,609.7461341778967,228.90966849648225
t21,2702.606169321099,609.7461341778967,228.90966849648225
t22,2702.606169321099,609.7461341778967,228.90966849648225
t23,2702.606169321099,609.7461341778967,228.90966849648225
t24,2702.606169321099,609.7461341778967,228.90966849648225
t25,2702.606169321099,609.7461341778967,228.90966849648225
t26,2702.606169321099,609.7461341778967,228.90966849648225
t27,2702.606169321099,609.7461341778967,228.90966849648225
t28,2702.606169321099,609.7461341778967,228.90966849648225
t29,2702.606169321099,609.7461341778967,228.90966849648225
t30,2702.606169321099,609.7461341778967,228.90966849648225
t31,2702.606169321099,609.7461341778967,228.90966849648225
t32,2702.606169321099,609.7461341778967,228.90966849648225
t33,2702.606169321099,609.7461341778967,228.90966849648225
t34,2702.606169321099,609.7461341778967,228.90966849648225
t35,2702.606169321099,609.7461341778967,228.90966849648225
t36,2702.606169321099,609.7461341778967,228.90966849648225
t37,2702.606169321099,609.7461341778967,228.90966849648225
t38,2702.606169321099,609.7461341778967,228.90966849648225
t39,2702.606169321099,609.7461341778967,228.90966849648225
t40,2702.606169321099,609.7461341778967,228.90966849648225
t41,2702.606169321099,609.7461341778967,228.90966849648225
t42,2702.606169321099,609.7461341778967,228.90966849648225
t43,2702.606169321099,609.7461341778967,228.90966849648225
t44,2702.606169321099,609.7461341778967,228.90966849648225
t45,2702.606169321099,609.7461341778967,228.90966849648225
