,Capture,Capture,Capture
Zone,1,2,3
AnnualSum,572087.5251791335,129012.874648086,48455.586028883
t1,3405.2828879710337,768.2799293113683,288.42610731477976
t2,3405.2828879710337,768.2799293113683,288.42610731477976
t3,3405.2828879710337,768.2799293113683,288.42610731477976
t4,3405.2828879710337,768.2799293113683,288.42610731477976
t5,3405.2828879710337,768.2799293113683,288.42610731477976
t6,3405.2828879710337,768.2799293113683,288.42610731477976
t7,3405.2828879710337,768.2799293113683,288.42610731477976
t8,3405.2828879710337,768.2799293113683,288.42610731477976
t9,3405.2828879710337,768.2799293113683,288.42610731477976
t10,3405.2828879710337,768.2799293113683,288.42610731477976
t11,3405.2828879710337,768.2799293113683,288.42610731477976
t12,3405.2828879710337,768.2799293113683,288.42610731477976
t13,3405.2828879710337,768.2799293113683,288.42610731477976
t14,3405.2828879710337,768.2799293113683,288.42610731477976
t15,3405.2828879710337,768.2799293113683,288.42610731477976
t16,3405.2828879710337,768.2799293113683,288.42610731477976
t17,3405.2828879710337,768.2799293113683,288.42610731477976
t18,3405.2828879710337,768.2799293113683,288.42610731477976
t19,3405.2828879710337,768.2799293113683,288.42610731477976
t20,3405.2828879710337,768.2799293113683,288.42610731477976
t21,3405.2828879710337,768.2799293113683,288.42610731477976
t22,3405.2828879710337,768.2799293113683,288.42610731477976
t23,3405.2828879710337,768.2799293113683,288.42610731477976
t24,3405.2828879710337,768.2799293113683,288.42610731477976
t25,3405.2828879710337,768.2799293113683,288.42610731477976
t26,3405.2828879710337,768.2799293113683,288.42610731477976
t27,3405.2828879710337,768.2799293113683,288.42610731477976
t28,3405.2828879710337,768.2799293113683,288.42610731477976
t29,3405.2828879710337,768.2799293113683,288.42610731477976
t30,3405.2828879710337,768.2799293113683,288.42610731477976
t31,3405.2828879710337,768.2799293113683,288.42610731477976
t32,3405.2828879710337,768.2799293113683,288.42610731477976
t33,3405.2828879710337,768.2799293113683,288.42610731477976
t34,3405.2828879710337,768.2799293113683,288.42610731477976
t35,3405.2828879710337,768.2799293113683,288.42610731477976
t36,3405.2828879710337,768.2799293113683,288.42610731477976
t37,3405.2828879710337,768.2799293113683,288.42610731477976
t38,3405.2828879710337,768.2799293113683,288.42610731477976
t39,3405.2828879710337,768.2799293113683,288.42610731477976
t40,3405.2828879710337,768.2799293113683,288.42610731477976
t41,3405.2828879710337,768.2799293113683,288.42610731477976
t42,3405.2828879710337,768.2799293113683,288.42610731477976
t43,3405.2828879710337,768.2799293113683,288.42610731477976
t44,3405.2828879710337,768.2799293113683,288.42610731477976
t45,3405.2828879710337,768.2799293113683,288.42610731477976
t46,3405.2828879710337,768.2799293113683,288.42610731477976
t47,3405.2828879710337,768.2799293113683,288.42610731477976
t48,3405.2828879710337,768.2799293113683,288.42610731477976
t49,3405.2828879710337,768.2799293113683,288.42610731477976
t50,3405.2828879710337,768.2799293113683,288.42610731477976
t51,3405.2828879710337,768.2799293113683,288.42610731477976
t52,3405.2828879710337,768.2799293113683,288.42610731477976
t53,3405.2828879710337,768.2799293113683,288.42610731477976
t54,3405.2828879710337,768.2799293113683,288.42610731477976
t55,3405.2828879710337,768.2799293113683,288.42610731477976
t56,3405.2828879710337,768.2799293113683,288.42610731477976
t57,3405.2828879710337,768.2799293113683,288.42610731477976
t58,3405.2828879710337,768.2799293113683,288.42610731477976
t59,3405.2828879710337,768.2799293113683,288.42610731477976
t60,3405.2828879710337,768.2799293113683,288.42610731477976
t61,3405.2828879710337,768.2799293113683,288.42610731477976
t62,3405.2828879710337,768.2799293113683,288.42610731477976
t63,3405.2828879710337,768.2799293113683,288.42610731477976
t64,3405.2828879710337,768.2799293113683,288.42610731477976
t65,3405.2828879710337,768.2799293113683,288.42610731477976
t66,3405.2828879710337,768.2799293113683,288.42610731477976
t67,3405.2828879710337,768.2799293113683,288.42610731477976
t68,3405.2828879710337,768.2799293113683,288.42610731477976
