,index,region,technology,Existing_Cap_MW,Cap_Size,CapRes,CES,cluster,Commit,Down_Time,DR,Eff_Down,Eff_Up,ESR_1,H2_TMR_1,Existing_Cap_MWh,Existing_Charge_Cap_MW,Fixed_OM_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWhyr,Old_Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Fuel,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Heat_Rate_MMBTU_per_MWh,HYDRO,Hydro_Energy_to_Power_Ratio,Hydro_level,Inv_Cost_Charge_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_per_MWyr,LDS,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Max_Duration,MinCapTag_1,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Min_Duration,Min_Power,MUST_RUN,New_Build,num_units,Num_VRE_Bins,plant_id_eia,Ramp_Dn_Percentage,Ramp_Up_Percentage,Reg_Cost,Resource,Rsv_Cost,Self_Disch,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,STOR,THERM,unit_id_pudl,Up_Time,Old_Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE,Zone,FLEX,CCS_Rate
10,12,TX,Natural Gas Fired Combined Cycle,704,234.633,0.9,0,5,1,6,0,1,1,0,0,0,0,0,0,16001,16961.06,NG,0.371,0.399,13.504,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.397,0,0,3,0,"[50118.0, 50127.0, 52088.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_4,0,0,89,2,0,1,"[1.0, 1.0, 1.0]",6,4.415,4.6799,0,0,1,0,0
11,13,TX,Natural Gas Fired Combined Cycle,4029,402.9,0.9,0,6,1,6,0,1,1,0,0,0,0,0,0,11965,12682.9,NG,0.025,0.052,7.659,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.468,0,0,10,0,"[10554.0, 55091.0, 55091.0, 55091.0, 55091.0, 55091.0, 55091.0, 55168.0, 55230.0, 60122.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_5,0,0,89,2,0,1,"['10554_3ST1', 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 1.0, 1.0, 1.0]",6,3.452,3.65912,0,0,1,0,0
12,14,TX,Natural Gas Fired Combined Cycle,1740,435.075,0.9,0,7,1,6,0,1,1,0,0,0,0,0,0,9496,10065.76,NG,0.041,0.073,11.897,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.552,0,0,4,0,"[50815.0, 55470.0, 56350.0, 56350.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_6,0,0,89,2,0,1,"[1.0, 1.0, 1.0, 2.0]",6,3.504,3.71424,0,0,1,0,0
13,16,TX,Natural Gas Fired Combined Cycle,1031,257.75,0.9,0,8,1,6,0,1,1,0,0,0,0,0,0,16001,16961.06,NG,0.172,0.224,7.948,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.587,0,0,4,0,"[3443.0, 7900.0, 54817.0, 56233.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_7,0,0,89,2,0,1,"[1.0, 1.0, 1.0, 1.0]",6,4.415,4.6799,0,0,1,0,0
14,17,TX,Natural Gas Fired Combined Cycle,8056,735.471,0.9,0,9,1,6,0,1,1,0,0,0,0,0,0,11965,12682.9,NG,0.118,0.076,7.193,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.454,0,0,14,0,"[10554.0, 55097.0, 55097.0, 55153.0, 55215.0, 55215.0, 55226.0, 55226.0, 55230.0, 55480.0, 55480.0, 58001.0, 58001.0, 59812.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_8,0,0,89,2,0,1,"[1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0]",6,3.452,3.65912,0,0,1,0,0
15,18,TX,Natural Gas Fired Combined Cycle,532,266.1,0.9,0,10,1,6,0,1,1,0,0,0,0,0,0,9496,10065.76,NG,0.021,0.029,8.623,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.631,0,0,2,0,"[56349.0, 56349.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_9,0,0,89,2,0,1,"[1.0, 2.0]",6,3.504,3.71424,0,0,1,0,0
16,19,TX,Natural Gas Fired Combined Cycle,237,118.5,0.9,0,11,1,6,0,1,1,0,0,0,0,0,0,16001,16961.06,NG,0.227,0.322,10.759,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.458,0,0,2,0,"[3559.0, 50150.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_10,0,0,89,2,0,1,"[2.0, 1.0]",6,4.415,4.6799,0,0,1,0,0
17,20,TX,Natural Gas Fired Combined Cycle,1188,1188,0.9,0,12,1,6,0,1,1,0,0,0,0,0,0,11965,12682.9,NG,0,0,10.699,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.455,0,0,1,0,[55464.0],0.64,0.64,0,natural_gas_fired_combined_cycle_11,0,0,89,2,0,1,[1.0],6,3.452,3.65912,0,0,1,0,0
18,21,TX,Natural Gas Fired Combined Cycle,1026,342,0.9,0,13,1,6,0,1,1,0,0,0,0,0,0,16001,16961.06,NG,0.078,0.079,9.77,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.23,0,0,3,0,"[3631.0, 55206.0, 55313.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_12,0,0,89,2,0,1,"[2.0, 1.0, 1.0]",6,4.415,4.6799,0,0,1,0,0
19,22,TX,Natural Gas Fired Combined Cycle,7481,680.091,0.9,0,14,1,6,0,1,1,0,0,0,0,0,0,9496,10065.76,NG,0.289,0.172,7.705,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.444,0,0,11,0,"[3441.0, 4939.0, 55047.0, 55047.0, 55132.0, 55139.0, 55144.0, 55320.0, 55327.0, 55545.0, 56806.0]",0.64,0.64,0,natural_gas_fired_combined_cycle_13,0,0,89,2,0,1,"[1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",6,3.504,3.71424,0,0,1,0,0
20,25,TX,Natural Gas Fired Combined Cycle,824,824,0.9,0,15,1,6,0,1,1,0,0,0,0,0,0,9496,10065.76,NG,0,0,9.44,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.534,0,0,1,0,[55299.0],0.64,0.64,0,natural_gas_fired_combined_cycle_14,0,0,89,2,0,1,[1.0],6,3.504,3.71424,0,0,1,0,0
21,27,TX,Natural Gas Fired Combustion Turbine,741,67.364,0.9,0,1,1,1,0,1,1,0,0,0,0,0,0,9430,9995.8,NG,0.314,0.164,14.312,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.52,0,0,11,0,"[3464.0, 3464.0, 3464.0, 3464.0, 3464.0, 3464.0, 3494.0, 3494.0, 3494.0, 3494.0, 3494.0]",1,1,0,natural_gas_fired_combustion_turbine,0,0,116,3.5,0,1,"['3464_73', '3464_74', '3464_81', '3464_82', '3464_83', '3464_84', '3494_CT1', '3494_CT2', '3494_CT3', '3494_CT4', '3494_CT5']",1,5.071,5.37526,0,0,1,0,0
22,28,TX,Natural Gas Fired Combustion Turbine,1073,57.337,0.9,0,2,1,1,0,1,1,0,0,0,0,0,0,11141,11809.46,NG,0.034,0.08,9.715,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.302,0,0,19,0,"[3439.0, 3439.0, 7900.0, 7900.0, 7900.0, 7900.0, 7900.0, 7900.0, 10154.0, 10154.0, 10154.0, 50304.0, 50304.0, 64383.0, 64383.0, 64383.0, 64383.0, 64383.0, 64383.0]",1,1,0,natural_gas_fired_combustion_turbine_1,0,0,116,3.5,0,1,"['3439_4', '3439_5', '7900_SH1', '7900_SH2', '7900_SH3', '7900_SH4', '7900_SH6', '7900_SH7', '10154.0_GEN1', '10154.0_GEN2', '10154.0_GEN3', '50304.0_GEN4', '50304.0_GEN5', '64383.0_CTG-1', '64383.0_CTG-2', '64383.0_CTG-3', '64383.0_CTG-4', '64383.0_CTG-5', '64383.0_CTG-6']",1,5.071,5.37526,0,0,1,0,0
23,29,TX,Natural Gas Fired Combustion Turbine,81,81,0.9,0,3,1,1,0,1,1,0,0,0,0,0,0,13548,14360.88,NG,0,0,21.342,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.3,0,0,1,0,[58378.0],1,1,0,natural_gas_fired_combustion_turbine_2,0,0,116,3.5,0,1,['58378_GT2'],1,5.071,5.37526,0,0,1,0,0
24,31,TX,Natural Gas Fired Combustion Turbine,180,45,0.9,0,4,1,1,0,1,1,0,0,0,0,0,0,11141,11809.46,NG,0,0,13.816,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.3,0,0,4,0,"[55365.0, 55365.0, 55365.0, 55365.0]",1,1,0,natural_gas_fired_combustion_turbine_3,0,0,116,3.5,0,1,"['55365_GT1', '55365_GT2', '55365_GT3', '55365_GT4']",1,5.071,5.37526,0,0,1,0,0
25,32,TX,Natural Gas Fired Combustion Turbine,91,30.2,0.9,0,5,1,1,0,1,1,0,0,0,0,0,0,13548,14360.88,NG,0.278,0.279,11.681,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.405,0,0,3,0,"[3559.0, 10243.0, 56374.0]",1,1,0,natural_gas_fired_combustion_turbine_4,0,0,116,3.5,0,1,"['3559_10', '10243_GEN5', '56374_CT1']",1,5.071,5.37526,0,0,1,0,0
26,33,TX,Natural Gas Fired Combustion Turbine,13,13,0.9,0,6,1,1,0,1,1,0,0,0,0,0,0,13548,14360.88,NG,0,0,28.359,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.231,0,0,1,0,[3470.0],1,1,0,natural_gas_fired_combustion_turbine_5,0,0,116,3.5,0,1,['3470_GT1'],1,5.071,5.37526,0,0,1,0,0
27,34,TX,Natural Gas Fired Combustion Turbine,354,39.278,0.9,0,7,1,1,0,1,1,0,0,0,0,0,0,13548,14360.88,NG,0,0.123,13.117,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.28,0,0,9,0,"[3561.0, 3576.0, 3631.0, 3631.0, 10790.0, 57322.0, 60910.0, 61241.0, 61241.0]",1,1,0,natural_gas_fired_combustion_turbine_6,0,0,116,3.5,0,1,"['3561_7', '3576_4', '3631_1', '3631_2', '10790_GEN1', '57322_GT01', '60910_NPLPS', '61241_VC-1', '61241_VC-2']",1,5.071,5.37526,0,0,1,0,0
28,36,TX,Natural Gas Fired Combustion Turbine,557,46.417,0.9,0,8,1,1,0,1,1,0,0,0,0,0,0,11141,11809.46,NG,0.535,0.26,10.777,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.381,0,0,12,0,"[3609.0, 3609.0, 3609.0, 3609.0, 3612.0, 3612.0, 3612.0, 3612.0, 56674.0, 56674.0, 56674.0, 56674.0]",1,1,0,natural_gas_fired_combustion_turbine_7,0,0,116,3.5,0,1,"['3609_CGT1', '3609_CGT2', '3609_CGT3', '3609_CGT4', '3612_5', '3612_6', '3612_7', '3612_8', '56674_CGT1', '56674_CGT2', '56674_CGT3', '56674_CGT4']",1,5.071,5.37526,0,0,1,0,0
29,37,TX,Natural Gas Fired Combustion Turbine,1539,85.5,0.9,0,9,1,1,0,1,1,0,0,0,0,0,0,9430,9995.8,NG,0.277,0.144,13.112,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.737,0,0,18,0,"[8063.0, 8063.0, 8063.0, 8063.0, 10298.0, 10298.0, 10298.0, 10298.0, 55015.0, 55015.0, 55015.0, 55015.0, 60264.0, 60264.0, 60264.0, 60264.0, 60264.0, 60264.0]",1,1,0,natural_gas_fired_combustion_turbine_8,0,0,116,3.5,0,1,"['8063_CT1', '8063_CT2', '8063_CT3', '8063_CT4', '10298_GEN4', '10298_GT1', '10298_GT2', '10298_GT3', '55015_GEN1', '55015_GEN2', '55015_GEN3', '55015_GEN4', '60264_BCGT1', '60264_BCGT2', '60264_BCGT3', '60264_BCGT4', '60264_BCGT5', '60264_BCGT6']",1,5.071,5.37526,0,0,1,0,0
30,38,TX,Natural Gas Fired Combustion Turbine,846,65.077,0.9,0,10,1,1,0,1,1,0,0,0,0,0,0,9430,9995.8,NG,0.524,0.272,15.352,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.512,0,0,13,0,"[3469.0, 3469.0, 3469.0, 3469.0, 3469.0, 3469.0, 3469.0, 3492.0, 3492.0, 3492.0, 3492.0, 3492.0, 3492.0]",1,1,0,natural_gas_fired_combustion_turbine_9,0,0,116,3.5,0,1,"['3469_51', '3469_52', '3469_53', '3469_54', '3469_55', '3469_56', '3469_GT1', '3492_CT1', '3492_CT2', '3492_CT3', '3492_CT4', '3492_CT5', '3492_CT6']",1,5.071,5.37526,0,0,1,0,0
31,39,TX,Natural Gas Fired Combustion Turbine,336,168,0.9,0,11,1,1,0,1,1,0,0,0,0,0,0,9430,9995.8,NG,0,0,11.242,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.446,0,0,2,0,"[58471.0, 58471.0]",1,1,0,natural_gas_fired_combustion_turbine_10,0,0,116,3.5,0,1,"['58471_CTG1', '58471_CTG2']",1,5.071,5.37526,0,0,1,0,0
32,40,TX,Natural Gas Fired Combustion Turbine,208,104,0.9,0,12,1,1,0,1,1,0,0,0,0,0,0,11141,11809.46,NG,0,0,15.215,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.337,0,0,2,0,"[3628.0, 3628.0]",1,1,0,natural_gas_fired_combustion_turbine_11,0,0,116,3.5,0,1,"['3628_4', '3628_5']",1,5.071,5.37526,0,0,1,0,0
33,41,TX,Natural Gas Fired Combustion Turbine,547,49.727,0.9,0,13,1,1,0,1,1,0,0,0,0,0,0,11141,11809.46,NG,0,0.095,13.134,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.411,0,0,11,0,"[7325.0, 7325.0, 10436.0, 10436.0, 10436.0, 10436.0, 10436.0, 10436.0, 60468.0, 61242.0, 61242.0]",1,1,0,natural_gas_fired_combustion_turbine_12,0,0,116,3.5,0,1,"['7325_1', '7325_2', '10436_GT38', '10436_GT41', '10436_GT42', '10436_GT43', '10436_GT44', '10436_GT45', '60468_GT-1', '61242_VP-1', '61242_VP-2']",1,5.071,5.37526,0,0,1,0,0
34,42,TX,Natural Gas Fired Combustion Turbine,41,41,0.9,0,14,1,1,0,1,1,0,0,0,0,0,0,13548,14360.88,NG,0,0,19.013,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.634,0,0,1,0,[50475.0],1,1,0,natural_gas_fired_combustion_turbine_13,0,0,116,3.5,0,1,['50475_GEN1'],1,5.071,5.37526,0,0,1,0,0
35,43,TX,Natural Gas Fired Combustion Turbine,276,46.033,0.9,0,15,1,1,0,1,1,0,0,0,0,0,0,13548,14360.88,NG,0.264,0.164,10.642,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.55,0,0,6,0,"[6243.0, 6243.0, 60459.0, 60459.0, 60460.0, 60460.0]",1,1,0,natural_gas_fired_combustion_turbine_14,0,0,116,3.5,0,1,"['6243_2', '6243_3', '60459_PC1', '60459_PC2', '60460_CH1', '60460_CH2']",1,5.071,5.37526,0,0,1,0,0
36,45,TX,Natural Gas Fired Combustion Turbine,84,84,0.9,0,16,1,1,0,1,1,0,0,0,0,0,0,13548,14360.88,NG,0,0,14.648,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.3,0,0,1,0,[50137.0],1,1,0,natural_gas_fired_combustion_turbine_15,0,0,116,3.5,0,1,['50137_GEN1'],1,5.071,5.37526,0,0,1,0,0
37,46,TX,Natural Gas Steam Turbine,825,412.5,0.9,0,1,1,24,0,0,0,0,0,0,0,0,0,25948,27504.88,NG,0.097,0.137,12.444,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.145,0,0,2,0,"[3470.0, 3470.0]",0.57,0.57,0,natural_gas_steam_turbine,0,0,85,13.7,0,1,"[3.0, 4.0]",24,1.024,1.08544,0,0,1,0,0
38,47,TX,Natural Gas Steam Turbine,521,173.733,0.9,0,2,1,24,0,0,0,0,0,0,0,0,0,49776,52762.56,NG,0.033,0.033,12.913,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.261,0,0,3,0,"[3507.0, 56708.0, 56708.0]",0.57,0.57,0,natural_gas_steam_turbine_1,0,0,85,13.7,0,1,"[1.0, 1.0, 2.0]",24,1.024,1.08544,0,0,1,0,0
39,49,TX,Natural Gas Steam Turbine,18,17.5,0.9,0,3,1,24,0,0,0,0,0,0,0,0,0,49776,52762.56,NG,0,0,19.384,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.571,0,0,1,0,[4195.0],0.57,0.57,0,natural_gas_steam_turbine_2,0,0,85,13.7,0,1,[1.0],24,1.024,1.08544,0,0,1,0,0
40,50,TX,Natural Gas Steam Turbine,1326,331.5,0.9,0,4,1,24,0,0,0,0,0,0,0,0,0,30271,32087.26,NG,0.103,0.074,12.286,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.185,0,0,4,0,"[3453.0, 3453.0, 3611.0, 3612.0]",0.57,0.57,0,natural_gas_steam_turbine_3,0,0,85,13.7,0,1,"[4.0, 5.0, 2.0, 2.0]",24,1.024,1.08544,0,0,1,0,0
41,51,TX,Natural Gas Steam Turbine,167,167,0.9,0,5,1,24,0,0,0,0,0,0,0,0,0,30271,32087.26,NG,0,0,15.51,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.12,0,0,1,0,[3504.0],0.57,0.57,0,natural_gas_steam_turbine_4,0,0,85,13.7,0,1,[1.0],24,1.024,1.08544,0,0,1,0,0
42,52,TX,Natural Gas Steam Turbine,171,85.5,0.9,0,6,1,24,0,0,0,0,0,0,0,0,0,49776,52762.56,NG,0.139,0.196,15.396,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.129,0,0,2,0,"[4266.0, 6243.0]",0.57,0.57,0,natural_gas_steam_turbine_5,0,0,85,13.7,0,1,"[1.0, 1.0]",24,1.024,1.08544,0,0,1,0,0
43,53,TX,Natural Gas Steam Turbine,2160,360,0.9,0,7,1,24,0,0,0,0,0,0,0,0,0,30271,32087.26,NG,0.124,0.08,11.507,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.143,0,0,6,0,"[3452.0, 3548.0, 3601.0, 3611.0, 3612.0, 3612.0]",0.57,0.57,0,natural_gas_steam_turbine_6,0,0,85,13.7,0,1,"[2.0, 2.0, 2.0, 1.0, 1.0, 3.0]",24,1.024,1.08544,0,0,1,0,0
44,54,TX,Natural Gas Steam Turbine,1265,421.667,0.9,0,8,1,24,0,0,0,0,0,0,0,0,0,25948,27504.88,NG,0.067,0.069,13.737,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.229,0,0,3,0,"[3491.0, 3491.0, 3491.0]",0.57,0.57,0,natural_gas_steam_turbine_7,0,0,85,13.7,0,1,"[3.0, 4.0, 5.0]",24,1.024,1.08544,0,0,1,0,0
45,55,TX,Natural Gas Steam Turbine,844,140.667,0.9,0,9,1,24,0,0,0,0,0,0,0,0,0,49776,52762.56,NG,0.09,0.085,12.424,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.161,0,0,6,0,"[3464.0, 3576.0, 3628.0, 4195.0, 4195.0, 50229.0]",0.57,0.57,0,natural_gas_steam_turbine_8,0,0,85,13.7,0,1,"[1.0, 3.0, 3.0, 2.0, 3.0, 1.0]",24,1.024,1.08544,0,0,1,0,0
