Time_Index,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS
11,0.9,0.9,0.9,0.9,0.9,0.009,0.018,0.0,0.9,0.207,0.9,0.9,0.9,0.9,0.9,0.9,0.675,0.675,0.9,0.261,0.864,0.117,0.9,0.9,0.9,0.603,0.729,0.477,0.072,0.9,0.9,0.9,0.9,0.693,0.873,0.9,0.657,0.9,0.9,0.9,0.9,0.162,0.081,0.9,0.045,0.459,0.477,0.9,0.9,0.027,0.153,0.9,0.027,0.234,0.9,0.9,0.9,0.9,0.9,0.063,0.063,0.9,0.018,0.702,0.423,0.9,0.9,0.9,0.9,0.09,0.171,0.09,0.081,0.9,0.9,0.198,0.423,0.108,0.09,0.9,0.9,0.9,0.9,0.729,0.81,0.9,0.279,0.369,0.063,1.001647537,0.513654528,0.783349564,0.414457928,0.412431592,0.9,0.9,0.9,0.9,0.9
12,0.9,0.9,0.9,0.9,0.9,0.0,0.018,0.0,0.9,0.288,0.9,0.9,0.9,0.9,0.9,0.9,0.72,0.603,0.9,0.279,0.864,0.117,0.9,0.9,0.9,0.603,0.675,0.459,0.099,0.9,0.9,0.9,0.9,0.801,0.891,0.9,0.738,0.9,0.9,0.9,0.9,0.135,0.072,0.9,0.036,0.459,0.522,0.9,0.9,0.027,0.18,0.9,0.018,0.324,0.9,0.9,0.9,0.9,0.9,0.063,0.054,0.9,0.018,0.702,0.477,0.9,0.9,0.9,0.9,0.081,0.189,0.09,0.09,0.9,0.9,0.207,0.423,0.099,0.09,0.9,0.9,0.9,0.9,0.738,0.81,0.9,0.288,0.369,0.054,1.001649565,0.514058864,0.783226188,0.41429005,0.412287878,0.9,0.9,0.9,0.9,0.9
13,0.9,0.9,0.9,0.9,0.9,0.0,0.009,0.0,0.9,0.261,0.9,0.9,0.9,0.9,0.9,0.9,0.72,0.576,0.9,0.261,0.864,0.099,0.9,0.9,0.9,0.603,0.63,0.45,0.081,0.9,0.9,0.9,0.9,0.792,0.891,0.9,0.729,0.9,0.9,0.9,0.9,0.126,0.054,0.9,0.036,0.459,0.522,0.9,0.9,0.018,0.18,0.9,0.027,0.396,0.9,0.9,0.9,0.9,0.9,0.063,0.054,0.9,0.018,0.702,0.495,0.9,0.9,0.9,0.9,0.09,0.243,0.09,0.081,0.9,0.9,0.234,0.414,0.099,0.072,0.9,0.9,0.9,0.9,0.738,0.819,0.9,0.279,0.369,0.036,1.001727458,0.514623927,0.783113676,0.414121626,0.412142933,0.9,0.9,0.9,0.9,0.9
14,0.9,0.9,0.9,0.9,0.9,0.009,0.018,0.009,0.9,0.252,0.9,0.9,0.9,0.9,0.9,0.9,0.711,0.567,0.9,0.261,0.864,0.081,0.9,0.9,0.9,0.612,0.63,0.441,0.081,0.9,0.9,0.9,0.9,0.756,0.891,0.9,0.702,0.9,0.9,0.9,0.9,0.099,0.036,0.9,0.027,0.468,0.486,0.9,0.9,0.018,0.162,0.9,0.036,0.423,0.9,0.9,0.9,0.9,0.9,0.054,0.054,0.9,0.018,0.702,0.459,0.9,0.9,0.9,0.9,0.117,0.297,0.099,0.081,0.9,0.9,0.252,0.414,0.099,0.072,0.9,0.9,0.9,0.9,0.738,0.837,0.9,0.279,0.369,0.045,1.001837183,0.515280581,0.783018235,0.413954234,0.41199821,0.9,0.9,0.9,0.9,0.9
15,0.9,0.9,0.9,0.9,0.9,0.027,0.027,0.009,0.9,0.171,0.9,0.9,0.9,0.9,0.9,0.9,0.702,0.612,0.9,0.252,0.864,0.054,0.9,0.9,0.9,0.639,0.693,0.459,0.054,0.9,0.9,0.9,0.9,0.756,0.882,0.9,0.711,0.9,0.9,0.9,0.9,0.09,0.027,0.9,0.027,0.468,0.405,0.9,0.9,0.018,0.135,0.9,0.045,0.387,0.9,0.9,0.9,0.9,0.9,0.054,0.063,0.9,0.018,0.702,0.378,0.9,0.9,0.9,0.9,0.153,0.369,0.126,0.063,0.9,0.9,0.261,0.423,0.09,0.045,0.9,0.9,0.9,0.9,0.738,0.837,0.9,0.279,0.369,0.027,1.001933852,0.515948013,0.782920922,0.413787964,0.41185338,0.9,0.9,0.9,0.9,0.9
16,0.9,0.9,0.9,0.9,0.9,0.036,0.036,0.009,0.9,0.108,0.9,0.9,0.9,0.9,0.9,0.9,0.702,0.648,0.9,0.234,0.864,0.036,0.9,0.9,0.9,0.666,0.738,0.468,0.027,0.9,0.9,0.9,0.9,0.729,0.882,0.9,0.639,0.9,0.9,0.9,0.9,0.081,0.036,0.9,0.027,0.468,0.279,0.9,0.9,0.027,0.135,0.9,0.063,0.288,0.9,0.9,0.9,0.9,0.9,0.045,0.063,0.9,0.018,0.702,0.252,0.9,0.9,0.9,0.9,0.198,0.468,0.171,0.054,0.9,0.9,0.27,0.423,0.09,0.018,0.9,0.9,0.9,0.9,0.738,0.837,0.9,0.261,0.369,0.009,1.002039789,0.516450149,0.782814744,0.41362272,0.411710648,0.9,0.9,0.9,0.9,0.9
17,0.9,0.9,0.9,0.9,0.9,0.045,0.045,0.018,0.9,0.036,0.9,0.9,0.9,0.9,0.9,0.9,0.702,0.648,0.9,0.234,0.864,0.0,0.9,0.9,0.9,0.684,0.774,0.477,0.0,0.9,0.9,0.9,0.9,0.747,0.882,0.9,0.657,0.9,0.9,0.9,0.9,0.09,0.054,0.9,0.027,0.468,0.117,0.9,0.9,0.072,0.18,0.9,0.081,0.144,0.9,0.9,0.9,0.9,0.9,0.045,0.081,0.9,0.018,0.702,0.108,0.9,0.9,0.9,0.9,0.243,0.567,0.225,0.009,0.9,0.9,0.279,0.432,0.099,0.0,0.9,0.9,0.9,0.9,0.747,0.837,0.9,0.27,0.369,0.0,1.002061787,0.516782349,0.782697652,0.413456308,0.411567462,0.9,0.9,0.9,0.9,0.9
18,0.9,0.9,0.9,0.9,0.9,0.054,0.054,0.036,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.72,0.657,0.9,0.234,0.864,0.0,0.9,0.9,0.9,0.711,0.801,0.45,0.0,0.9,0.9,0.9,0.9,0.801,0.891,0.9,0.72,0.9,0.9,0.9,0.9,0.108,0.081,0.9,0.045,0.468,0.0,0.9,0.9,0.135,0.27,0.9,0.126,0.009,0.9,0.9,0.9,0.9,0.9,0.054,0.135,0.9,0.027,0.702,0.0,0.9,0.9,0.9,0.9,0.306,0.612,0.252,0.0,0.9,0.9,0.288,0.432,0.108,0.0,0.9,0.9,0.9,0.9,0.747,0.828,0.9,0.27,0.369,0.0,1.002035873,0.516763683,0.782575541,0.413290164,0.411423526,0.9,0.9,0.9,0.9,0.9
19,0.9,0.9,0.9,0.9,0.9,0.054,0.063,0.045,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.765,0.684,0.9,0.234,0.864,0.0,0.9,0.9,0.9,0.729,0.819,0.486,0.0,0.9,0.9,0.9,0.9,0.837,0.9,0.9,0.783,0.9,0.9,0.9,0.9,0.144,0.117,0.9,0.081,0.468,0.0,0.9,0.9,0.189,0.36,0.9,0.171,0.0,0.9,0.9,0.9,0.9,0.9,0.072,0.198,0.9,0.054,0.702,0.0,0.9,0.9,0.9,0.9,0.36,0.621,0.288,0.0,0.9,0.9,0.306,0.441,0.108,0.0,0.9,0.9,0.9,0.9,0.738,0.828,0.9,0.27,0.369,0.0,1.001999113,0.516642964,0.782452823,0.41312389,0.411279231,0.9,0.9,0.9,0.9,0.9
20,0.9,0.9,0.9,0.9,0.9,0.045,0.054,0.045,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.783,0.684,0.9,0.234,0.864,0.0,0.9,0.9,0.9,0.738,0.819,0.495,0.0,0.9,0.9,0.9,0.9,0.846,0.9,0.9,0.792,0.9,0.9,0.9,0.9,0.18,0.135,0.9,0.099,0.468,0.0,0.9,0.9,0.225,0.423,0.9,0.189,0.0,0.9,0.9,0.9,0.9,0.9,0.099,0.27,0.9,0.081,0.702,0.0,0.9,0.9,0.9,0.9,0.405,0.603,0.297,0.0,0.9,0.9,0.315,0.45,0.117,0.0,0.9,0.9,0.9,0.9,0.72,0.828,0.9,0.27,0.369,0.0,1.001954849,0.51649914,0.782329386,0.41295957,0.411134908,0.9,0.9,0.9,0.9,0.9
