Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,BioNG_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
SE_Bio_NG_Herb,1,1,1.717,18.2,0.516,0,1,774994,446653,8.07,0.208,0,0,0,1000000,0.85,0.9
MIDAT_Bio_NG_Herb,2,1,1.736,18.3,0.516,0,1,774994,446653,8.07,0.208,0,0,0,1000000,0.85,0.9
NE_Bio_NG_Herb,3,1,1.745,18.37,0.516,0,1,774994,446653,8.07,0.208,0,0,0,1000000,0.85,0.9
SE_Bio_NG_CCS_99_Herb,1,1,1.717,18.2,0.512,0,1,1004590,577016,13.27,0.9841,0,0.9911,0,1000000,0.85,0.9
MIDAT_Bio_NG_CCS_99_Herb,2,1,1.736,18.3,0.512,0,1,1004590,577016,13.27,0.9841,0,0.9911,0,1000000,0.85,0.9
NE_Bio_NG_CCS_99_Herb,3,1,1.745,18.37,0.512,0,1,1004590,577016,13.27,0.9841,0,0.9911,0,1000000,0.85,0.9
SE_Bio_NG_Wood,1,2,1.798,19.03,0.516,0,1,774994,446653,8.07,0.208,0,0,0,1000000,0.85,0.9
MIDAT_Bio_NG_Wood,2,2,1.787,19.05,0.516,0,1,774994,446653,8.07,0.208,0,0,0,1000000,0.85,0.9
NE_Bio_NG_Wood,3,2,1.787,19.05,0.516,0,1,774994,446653,8.07,0.208,0,0,0,1000000,0.85,0.9
SE_Bio_NG_CCS_99_Wood,1,2,1.798,19.03,0.512,0,1,1004590,577016,13.27,0.9841,0,0.9911,0,1000000,0.85,0.9
MIDAT_Bio_NG_CCS_99_Wood,2,2,1.787,19.05,0.512,0,1,1004590,577016,13.27,0.9841,0,0.9911,0,1000000,0.85,0.9
NE_Bio_NG_CCS_99_Wood,3,2,1.787,19.05,0.512,0,1,1004590,577016,13.27,0.9841,0,0.9911,0,1000000,0.85,0.9
SE_Bio_NG_Agri_Res,1,3,1.707,17.4,0.516,0,1,774994,446653,8.07,0.208,0,0,0,1000000,0.85,0.9
MIDAT_Bio_NG_Agri_Res,2,3,1.708,17.28,0.516,0,1,774994,446653,8.07,0.208,0,0,0,1000000,0.85,0.9
NE_Bio_NG_Agri_Res,3,3,1.709,17.31,0.516,0,1,774994,446653,8.07,0.208,0,0,0,1000000,0.85,0.9
SE_Bio_NG_CCS_99_Agri_Res,1,3,1.707,17.4,0.512,0,1,1004590,577016,13.27,0.9841,0,0.9911,0,1000000,0.85,0.9
MIDAT_Bio_NG_CCS_99_Agri_Res,2,3,1.708,17.28,0.512,0,1,1004590,577016,13.27,0.9841,0,0.9911,0,1000000,0.85,0.9
NE_Bio_NG_CCS_99_Agri_Res,3,3,1.709,17.31,0.512,0,1,1004590,577016,13.27,0.9841,0,0.9911,0,1000000,0.85,0.9
SE_Bio_NG_Agri_Process_Waste,1,4,1.504,15.53,0.516,0,1,774994,446653,8.07,0.208,0,0,0,1000000,0.85,0.9
MIDAT_Bio_NG_Agri_Process_Waste,2,4,1.502,15.53,0.516,0,1,774994,446653,8.07,0.208,0,0,0,1000000,0.85,0.9
SE_Bio_NG_CCS_99_Agri_Process_Waste,1,4,1.504,15.53,0.512,0,1,1004590,577016,13.27,0.9841,0,0.9911,0,1000000,0.85,0.9
MIDAT_Bio_NG_CCS_99_Agri_Process_Waste,2,4,1.502,15.53,0.512,0,1,1004590,577016,13.27,0.9841,0,0.9911,0,1000000,0.85,0.9
SE_Bio_NG_Forest,1,5,1.841,19.24,0.516,0,1,774994,446653,8.07,0.208,0,0,0,1000000,0.85,0.9
MIDAT_Bio_NG_Forest,2,5,1.839,18.94,0.516,0,1,774994,446653,8.07,0.208,0,0,0,1000000,0.85,0.9
NE_Bio_NG_Forest,3,5,1.838,18.84,0.516,0,1,774994,446653,8.07,0.208,0,0,0,1000000,0.85,0.9
SE_Bio_NG_CCS_99_Forest,1,5,1.841,19.24,0.512,0,1,1004590,577016,13.27,0.9841,0,0.9911,0,1000000,0.85,0.9
MIDAT_Bio_NG_CCS_99_Forest,2,5,1.839,18.94,0.512,0,1,1004590,577016,13.27,0.9841,0,0.9911,0,1000000,0.85,0.9
NE_Bio_NG_CCS_99_Forest,3,5,1.838,18.84,0.512,0,1,1004590,577016,13.27,0.9841,0,0.9911,0,1000000,0.85,0.9
