Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3
1666500,1,1,0,1,8760,8760,1,375,187,46
,,,,,,,2,375,187,46
,,,,,,,3,375,187,46
,,,,,,,4,375,187,46
,,,,,,,5,375,187,46
,,,,,,,6,375,187,46
,,,,,,,7,375,187,46
,,,,,,,8,375,187,46
,,,,,,,9,375,187,46
,,,,,,,10,375,187,46
,,,,,,,11,375,187,46
,,,,,,,12,375,187,46
,,,,,,,13,375,187,46
,,,,,,,14,375,187,46
,,,,,,,15,375,187,46
,,,,,,,16,375,187,46
,,,,,,,17,375,187,46
,,,,,,,18,375,187,46
,,,,,,,19,375,187,46
,,,,,,,20,375,187,46
,,,,,,,21,375,187,46
,,,,,,,22,375,187,46
,,,,,,,23,375,187,46
,,,,,,,24,375,187,46
,,,,,,,25,375,187,46
,,,,,,,26,375,187,46
,,,,,,,27,375,187,46
,,,,,,,28,375,187,46
,,,,,,,29,375,187,46
,,,,,,,30,375,187,46
,,,,,,,31,375,187,46
,,,,,,,32,375,187,46
,,,,,,,33,375,187,46
,,,,,,,34,375,187,46
,,,,,,,35,375,187,46
,,,,,,,36,375,187,46
,,,,,,,37,375,187,46
,,,,,,,38,375,187,46
,,,,,,,39,375,187,46
,,,,,,,40,375,187,46
,,,,,,,41,375,187,46
,,,,,,,42,375,187,46
,,,,,,,43,375,187,46
,,,,,,,44,375,187,46
,,,,,,,45,375,187,46
,,,,,,,46,375,187,46
,,,,,,,47,375,187,46
,,,,,,,48,375,187,46
,,,,,,,49,375,187,46
,,,,,,,50,375,187,46
,,,,,,,51,375,187,46
,,,,,,,52,375,187,46
,,,,,,,53,375,187,46
,,,,,,,54,375,187,46
,,,,,,,55,375,187,46
,,,,,,,56,375,187,46
,,,,,,,57,375,187,46
,,,,,,,58,375,187,46
,,,,,,,59,375,187,46
,,,,,,,60,375,187,46
,,,,,,,61,375,187,46
,,,,,,,62,375,187,46
,,,,,,,63,375,187,46
,,,,,,,64,375,187,46
,,,,,,,65,375,187,46
,,,,,,,66,375,187,46
,,,,,,,67,375,187,46
,,,,,,,68,375,187,46
,,,,,,,69,375,187,46
,,,,,,,70,375,187,46
,,,,,,,71,375,187,46
,,,,,,,72,375,187,46
,,,,,,,73,375,187,46
,,,,,,,74,375,187,46
,,,,,,,75,375,187,46
,,,,,,,76,375,187,46
,,,,,,,77,375,187,46
,,,,,,,78,375,187,46
,,,,,,,79,375,187,46
,,,,,,,80,375,187,46
,,,,,,,81,375,187,46
,,,,,,,82,375,187,46
,,,,,,,83,375,187,46
,,,,,,,84,375,187,46
,,,,,,,85,375,187,46
,,,,,,,86,375,187,46
,,,,,,,87,375,187,46
,,,,,,,88,375,187,46
,,,,,,,89,375,187,46
,,,,,,,90,375,187,46
,,,,,,,91,375,187,46
,,,,,,,92,375,187,46
,,,,,,,93,375,187,46
,,,,,,,94,375,187,46
,,,,,,,95,375,187,46
,,,,,,,96,375,187,46
,,,,,,,97,375,187,46
,,,,,,,98,375,187,46
,,,,,,,99,375,187,46
,,,,,,,100,375,187,46
,,,,,,,101,375,187,46
,,,,,,,102,375,187,46
,,,,,,,103,375,187,46
,,,,,,,104,375,187,46
,,,,,,,105,375,187,46
,,,,,,,106,375,187,46
,,,,,,,107,375,187,46
,,,,,,,108,375,187,46
,,,,,,,109,375,187,46
,,,,,,,110,375,187,46
,,,,,,,111,375,187,46
,,,,,,,112,375,187,46
,,,,,,,113,375,187,46
,,,,,,,114,375,187,46
,,,,,,,115,375,187,46
,,,,,,,116,375,187,46
,,,,,,,117,375,187,46
,,,,,,,118,375,187,46
,,,,,,,119,375,187,46
,,,,,,,120,375,187,46
,,,,,,,121,375,187,46
,,,,,,,122,375,187,46
,,,,,,,123,375,187,46
,,,,,,,124,375,187,46
,,,,,,,125,375,187,46
,,,,,,,126,375,187,46
,,,,,,,127,375,187,46
,,,,,,,128,375,187,46
,,,,,,,129,375,187,46
,,,,,,,130,375,187,46
,,,,,,,131,375,187,46
,,,,,,,132,375,187,46
,,,,,,,133,375,187,46
,,,,,,,134,375,187,46
,,,,,,,135,375,187,46
,,,,,,,136,375,187,46
,,,,,,,137,375,187,46
,,,,,,,138,375,187,46
,,,,,,,139,375,187,46
,,,,,,,140,375,187,46
,,,,,,,141,375,187,46
,,,,,,,142,375,187,46
,,,,,,,143,375,187,46
,,,,,,,144,375,187,46
,,,,,,,145,375,187,46
,,,,,,,146,375,187,46
,,,,,,,147,375,187,46
,,,,,,,148,375,187,46
,,,,,,,149,375,187,46
,,,,,,,150,375,187,46
,,,,,,,151,375,187,46
,,,,,,,152,375,187,46
,,,,,,,153,375,187,46
,,,,,,,154,375,187,46
,,,,,,,155,375,187,46
,,,,,,,156,375,187,46
,,,,,,,157,375,187,46
,,,,,,,158,375,187,46
,,,,,,,159,375,187,46
,,,,,,,160,375,187,46
,,,,,,,161,375,187,46
,,,,,,,162,375,187,46
,,,,,,,163,375,187,46
,,,,,,,164,375,187,46
,,,,,,,165,375,187,46
,,,,,,,166,375,187,46
,,,,,,,167,375,187,46
,,,,,,,168,375,187,46
,,,,,,,169,375,187,46
,,,,,,,170,375,187,46
,,,,,,,171,375,187,46
,,,,,,,172,375,187,46
,,,,,,,173,375,187,46
,,,,,,,174,375,187,46
,,,,,,,175,375,187,46
,,,,,,,176,375,187,46
,,,,,,,177,375,187,46
,,,,,,,178,375,187,46
,,,,,,,179,375,187,46
,,,,,,,180,375,187,46
,,,,,,,181,375,187,46
,,,,,,,182,375,187,46
,,,,,,,183,375,187,46
,,,,,,,184,375,187,46
,,,,,,,185,375,187,46
,,,,,,,186,375,187,46
,,,,,,,187,375,187,46
,,,,,,,188,375,187,46
,,,,,,,189,375,187,46
,,,,,,,190,375,187,46
,,,,,,,191,375,187,46
,,,,,,,192,375,187,46
,,,,,,,193,375,187,46
,,,,,,,194,375,187,46
,,,,,,,195,375,187,46
,,,,,,,196,375,187,46
,,,,,,,197,375,187,46
,,,,,,,198,375,187,46
,,,,,,,199,375,187,46
,,,,,,,200,375,187,46
,,,,,,,201,375,187,46
,,,,,,,202,375,187,46
,,,,,,,203,375,187,46
,,,,,,,204,375,187,46
,,,,,,,205,375,187,46
,,,,,,,206,375,187,46
,,,,,,,207,375,187,46
,,,,,,,208,375,187,46
,,,,,,,209,375,187,46
,,,,,,,210,375,187,46
,,,,,,,211,375,187,46
,,,,,,,212,375,187,46
,,,,,,,213,375,187,46
,,,,,,,214,375,187,46
