Global_conventional_jetfuel_price_per_mmbtu,Conventional_jetfuel_co2_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Bio_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
21.31,0.0722,0.0722,0.0722,1,59290,32442,33624
,,,,2,59290,32442,33624
,,,,3,59290,32442,33624
,,,,4,59290,32442,33624
,,,,5,59290,32442,33624
,,,,6,59290,32442,33624
,,,,7,59290,32442,33624
,,,,8,59290,32442,33624
,,,,9,59290,32442,33624
,,,,10,59290,32442,33624
,,,,11,59290,32442,33624
,,,,12,59290,32442,33624
,,,,13,59290,32442,33624
,,,,14,59290,32442,33624
,,,,15,59290,32442,33624
,,,,16,59290,32442,33624
,,,,17,59290,32442,33624
,,,,18,59290,32442,33624
,,,,19,59290,32442,33624
,,,,20,59290,32442,33624
,,,,21,59290,32442,33624
,,,,22,59290,32442,33624
,,,,23,59290,32442,33624
,,,,24,59290,32442,33624
,,,,25,59290,32442,33624
,,,,26,59290,32442,33624
,,,,27,59290,32442,33624
,,,,28,59290,32442,33624
,,,,29,59290,32442,33624
,,,,30,59290,32442,33624
,,,,31,59290,32442,33624
,,,,32,59290,32442,33624
,,,,33,59290,32442,33624
,,,,34,59290,32442,33624
,,,,35,59290,32442,33624
,,,,36,59290,32442,33624
,,,,37,59290,32442,33624
,,,,38,59290,32442,33624
,,,,39,59290,32442,33624
,,,,40,59290,32442,33624
,,,,41,59290,32442,33624
,,,,42,59290,32442,33624
,,,,43,59290,32442,33624
,,,,44,59290,32442,33624
,,,,45,59290,32442,33624
,,,,46,59290,32442,33624
,,,,47,59290,32442,33624
,,,,48,59290,32442,33624
,,,,49,59290,32442,33624
,,,,50,59290,32442,33624
,,,,51,59290,32442,33624
,,,,52,59290,32442,33624
,,,,53,59290,32442,33624
,,,,54,59290,32442,33624
,,,,55,59290,32442,33624
,,,,56,59290,32442,33624
,,,,57,59290,32442,33624
,,,,58,59290,32442,33624
,,,,59,59290,32442,33624
,,,,60,59290,32442,33624
,,,,61,59290,32442,33624
,,,,62,59290,32442,33624
,,,,63,59290,32442,33624
,,,,64,59290,32442,33624
,,,,65,59290,32442,33624
,,,,66,59290,32442,33624
,,,,67,59290,32442,33624
,,,,68,59290,32442,33624
,,,,69,59290,32442,33624
,,,,70,59290,32442,33624
,,,,71,59290,32442,33624
,,,,72,59290,32442,33624
,,,,73,59290,32442,33624
,,,,74,59290,32442,33624
,,,,75,59290,32442,33624
,,,,76,59290,32442,33624
,,,,77,59290,32442,33624
,,,,78,59290,32442,33624
,,,,79,59290,32442,33624
,,,,80,59290,32442,33624
,,,,81,59290,32442,33624
,,,,82,59290,32442,33624
,,,,83,59290,32442,33624
,,,,84,59290,32442,33624
,,,,85,59290,32442,33624
,,,,86,59290,32442,33624
,,,,87,59290,32442,33624
,,,,88,59290,32442,33624
,,,,89,59290,32442,33624
,,,,90,59290,32442,33624
,,,,91,59290,32442,33624
,,,,92,59290,32442,33624
