Global_conventional_diesel_price_per_mmbtu,Conventional_diesel_co2_per_mmbtu,Syn_diesel_co2_per_mmbtu,Bio_diesel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
,,,,125,69613,44748,28273
,,,,126,69613,44748,28273
,,,,127,69613,44748,28273
,,,,128,69613,44748,28273
,,,,129,69613,44748,28273
,,,,130,69613,44748,28273
,,,,131,69613,44748,28273
,,,,132,69613,44748,28273
,,,,133,69613,44748,28273
,,,,134,69613,44748,28273
,,,,135,69613,44748,28273
,,,,136,69613,44748,28273
,,,,137,69613,44748,28273
,,,,138,69613,44748,28273
,,,,139,69613,44748,28273
,,,,140,69613,44748,28273
,,,,141,69613,44748,28273
,,,,142,69613,44748,28273
,,,,143,69613,44748,28273
,,,,144,69613,44748,28273
,,,,145,69613,44748,28273
,,,,146,69613,44748,28273
,,,,147,69613,44748,28273
,,,,148,69613,44748,28273
,,,,149,69613,44748,28273
,,,,150,69613,44748,28273
,,,,151,69613,44748,28273
,,,,152,69613,44748,28273
,,,,153,69613,44748,28273
,,,,154,69613,44748,28273
,,,,155,69613,44748,28273
,,,,156,69613,44748,28273
,,,,157,69613,44748,28273
,,,,158,69613,44748,28273
,,,,159,69613,44748,28273
,,,,160,69613,44748,28273
,,,,161,69613,44748,28273
,,,,162,69613,44748,28273
,,,,163,69613,44748,28273
,,,,164,69613,44748,28273
,,,,165,69613,44748,28273
,,,,166,69613,44748,28273
,,,,167,69613,44748,28273
,,,,168,69613,44748,28273
,,,,169,69613,44748,28273
,,,,170,69613,44748,28273
,,,,171,69613,44748,28273
,,,,172,69613,44748,28273
,,,,173,69613,44748,28273
,,,,174,69613,44748,28273
,,,,175,69613,44748,28273
,,,,176,69613,44748,28273
,,,,177,69613,44748,28273
,,,,178,69613,44748,28273
,,,,179,69613,44748,28273
,,,,180,69613,44748,28273
,,,,181,69613,44748,28273
,,,,182,69613,44748,28273
,,,,183,69613,44748,28273
,,,,184,69613,44748,28273
,,,,185,69613,44748,28273
,,,,186,69613,44748,28273
,,,,187,69613,44748,28273
,,,,188,69613,44748,28273
,,,,189,69613,44748,28273
,,,,190,69613,44748,28273
,,,,191,69613,44748,28273
,,,,192,69613,44748,28273
,,,,193,69613,44748,28273
,,,,194,69613,44748,28273
,,,,195,69613,44748,28273
,,,,196,69613,44748,28273
,,,,197,69613,44748,28273
,,,,198,69613,44748,28273
,,,,199,69613,44748,28273
,,,,200,69613,44748,28273
,,,,201,69613,44748,28273
,,,,202,69613,44748,28273
,,,,203,69613,44748,28273
,,,,204,69613,44748,28273
,,,,205,69613,44748,28273
,,,,206,69613,44748,28273
,,,,207,69613,44748,28273
,,,,208,69613,44748,28273
,,,,209,69613,44748,28273
,,,,210,69613,44748,28273
