Biomass_Supply,Zone,Emissions_tonne_per_tonne,Cost_per_tonne,Max_tonne_per_hr
SE_Agri_Process_Waste,1,0,52.91,76.33
MIDAT_Agri_Process_Waste,2,0,52.91,1.63
