Time_Index,Nuclear_1,Hydro_Res_1,Hydro_RoR_1,PV_1_0,Wind_1_0,Wind_1_1,Wind_1_2,Nuclear_2,Hydro_Res_2,Hydro_RoR_2,PV_2_0,Wind_2_0,Wind_2_1,Wind_2_2,Nuclear_3,Hydro_Res_3,Hydro_RoR_3,PV_3_0,Wind_3_0,Wind_3_1,Wind_3_2,Nuclear_4,PV_4_0,Wind_4_0,Wind_4_1,Wind_4_2,Nuclear_5,Hydro_Res_5,Hydro_RoR_5,PV_5_0,Wind_5_0,Wind_5_1,Wind_5_2,Nuclear_6,Hydro_Res_6,Hydro_RoR_6,PV_6_0,Wind_6_0,Wind_6_1,Wind_6_2,Hydro_Can,CCGT_1,CCGT_2,CCGT_3,CCGT_4,CCGT_5,CCGT_6,OCGT_F_1,OCGT_F_2,OCGT_F_3,OCGT_F_4,OCGT_F_5,OCGT_F_6,CCGT_CCS_1,CCGT_CCS_2,CCGT_CCS_3,CCGT_CCS_4,CCGT_CCS_5,CCGT_CCS_6,Wind_offshore_2,Wind_offshore_4,PHS_1,PHS_2,PHS_3,PHS_5,PHS_6,Storage_bat_1,Storage_bat_2,Storage_bat_3,Storage_bat_4,Storage_bat_5,Storage_bat_6
1,1,0.381493314,0.653203523,0,0.719059757,0.584456189,0.361836441,1,0.605273121,0.501137075,0,0.614084958,0.362259656,0.119468751,1,0.589537055,0.606261483,0,0.496714482,0.334697421,0.121511399,1,0,0.356841042,0.400538804,0.334267286,1,0.598222557,0.517378263,0,0.429522292,0.252209476,0.195923059,1,0.713887465,0.41161054,0,0.482511489,0.409852126,0.159235481,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.111163277,0.012345489,1,1,1,1,1,1,1,1,1,1,1
2,1,0.381493314,0.653203523,0,0.711877764,0.593746448,0.379459194,1,0.605273121,0.501137075,0,0.61949146,0.362453719,0.118681027,1,0.589537055,0.606261483,0,0.542871536,0.366491948,0.156077426,1,0,0.510675663,0.543827581,0.476940175,1,0.598222557,0.517378263,0,0.416206979,0.233934464,0.189401396,1,0.713887465,0.41161054,0,0.502797555,0.403703933,0.155916227,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.153333872,0.026368722,1,1,1,1,1,1,1,1,1,1,1
3,1,0.381493314,0.653203523,0,0.709844317,0.60735462,0.395838324,1,0.605273121,0.501137075,0,0.629806636,0.358238279,0.111650435,1,0.589537055,0.606261483,0,0.569917214,0.39400164,0.148447185,1,0,0.586611716,0.629700642,0.519667585,1,0.598222557,0.517378263,0,0.415218667,0.224316513,0.173795616,1,0.713887465,0.41161054,0,0.523635638,0.409229119,0.160991366,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.230928803,0.036181534,1,1,1,1,1,1,1,1,1,1,1
4,1,0.381493314,0.653203523,0,0.712463689,0.620650694,0.404556699,1,0.605273121,0.501137075,0,0.622744633,0.361028791,0.105284012,1,0.589537055,0.606261483,0,0.562412607,0.392417981,0.115718566,1,0,0.662450465,0.674443276,0.580473344,1,0.598222557,0.517378263,0,0.400173976,0.212644077,0.156833287,1,0.713887465,0.41161054,0,0.528399216,0.409067487,0.167047358,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.320462747,0.062200721,1,1,1,1,1,1,1,1,1,1,1
5,1,0.381493314,0.653203523,0,0.726370169,0.635516527,0.431394001,1,0.605273121,0.501137075,0,0.620571528,0.356956994,0.10497213,1,0.589537055,0.606261483,0,0.509617073,0.342883093,0.096316601,1,0,0.636341413,0.631392238,0.546903751,1,0.598222557,0.517378263,0,0.407796181,0.208538356,0.152832544,1,0.713887465,0.41161054,0,0.528665547,0.406895937,0.160268376,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.403551754,0.089105902,1,1,1,1,1,1,1,1,1,1,1
6,1,0.381493314,0.653203523,0.01,0.738279922,0.64311447,0.445836565,1,0.605273121,0.501137075,0,0.621096139,0.347172683,0.103871808,1,0.589537055,0.606261483,0,0.525957559,0.364502669,0.098451297,1,0,0.580665569,0.575598358,0.506650684,1,0.598222557,0.517378263,0,0.415406817,0.208748862,0.14871994,1,0.713887465,0.41161054,0,0.522418841,0.401911275,0.157668582,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.466915883,0.12411345,1,1,1,1,1,1,1,1,1,1,1
7,1,0.381493314,0.653203523,0.207436525,0.741901677,0.651907286,0.476489088,1,0.605273121,0.501137075,0.163216166,0.616205491,0.345540078,0.115110378,1,0.589537055,0.606261483,0.164076152,0.552116872,0.386596079,0.11246251,1,0.165151668,0.555031192,0.499509838,0.412878123,1,0.598222557,0.517378263,0.128434376,0.423706481,0.198167278,0.129541042,1,0.713887465,0.41161054,0.087447476,0.510800606,0.390316515,0.147955347,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.515431396,0.144004319,1,1,1,1,1,1,1,1,1,1,1
8,1,0.381493314,0.653203523,0.629500498,0.740935246,0.652820306,0.482725765,1,0.605273121,0.501137075,0.605089543,0.59823005,0.342469891,0.126078527,1,0.589537055,0.606261483,0.615252273,0.545352188,0.363529964,0.111196487,1,0.615114705,0.48767513,0.458555629,0.34531628,1,0.598222557,0.517378263,0.572362527,0.403674685,0.185389863,0.132238634,1,0.713887465,0.41161054,0.514023212,0.493622425,0.388055064,0.151888848,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.519155375,0.159667565,1,1,1,1,1,1,1,1,1,1,1
9,1,0.381493314,0.653203523,0.734112449,0.65214783,0.596674511,0.482034209,1,0.605273121,0.501137075,0.761411681,0.482624779,0.261259935,0.111962872,1,0.589537055,0.606261483,0.768461207,0.391376416,0.244293684,0.084761759,1,0.773860823,0.237655122,0.220160421,0.145032146,1,0.598222557,0.517378263,0.771243712,0.348383997,0.136130392,0.083895268,1,0.713887465,0.41161054,0.770310377,0.420872866,0.294949176,0.114605412,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.505936231,0.176306523,1,1,1,1,1,1,1,1,1,1,1
10,1,0.381493314,0.653203523,0.698843997,0.504663411,0.485553261,0.434198036,1,0.605273121,0.501137075,0.736510069,0.331115367,0.165779144,0.096737171,1,0.589537055,0.606261483,0.747487931,0.174274455,0.071699756,0.021740738,1,0.76323911,0.152153096,0.153835798,0.014677208,1,0.598222557,0.517378263,0.753181323,0.210450564,0.051602864,0.032265992,1,0.713887465,0.41161054,0.760233897,0.210950296,0.120532255,0.046404312,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.448239595,0.168188855,1,1,1,1,1,1,1,1,1,1,1
11,1,0.381493314,0.653203523,0.649792739,0.492858357,0.503744784,0.49007332,1,0.605273121,0.501137075,0.688116064,0.288287173,0.165315712,0.124644947,1,0.589537055,0.606261483,0.702463743,0.123823123,0.07078776,0.031490695,1,0.726898485,0.141970661,0.157754106,0.026654208,1,0.598222557,0.517378263,0.704528289,0.154294509,0.046073751,0.034744689,1,0.713887465,0.41161054,0.711121837,0.108485447,0.098259495,0.038018666,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.41613946,0.156162586,1,1,1,1,1,1,1,1,1,1,1
