Time_Index,uranium,coal,natural_gas,coal_ccs,natural_gas_ccs,bio,oil,NG,none
38,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
39,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
40,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
41,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
42,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
43,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
44,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
45,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
46,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
47,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
48,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
49,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
50,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
51,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
52,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
53,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
54,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
55,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
56,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
57,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
58,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
59,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
60,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
61,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
62,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
63,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
64,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
65,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
66,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
67,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
68,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
69,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
70,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
71,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
72,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
73,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
74,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
75,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
76,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
77,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
78,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
79,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
80,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
81,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
82,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
83,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
84,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
85,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
86,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
87,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
88,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
89,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
90,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
91,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
92,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
93,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
94,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
95,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
96,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
97,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
98,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
99,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
100,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
101,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
102,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
103,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
104,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
105,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
106,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
107,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
108,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
109,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
110,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
111,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
112,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
113,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
114,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
115,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
116,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
117,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
118,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
119,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
120,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
121,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
122,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
123,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
124,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
125,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
126,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
127,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
128,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
129,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
130,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
131,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
132,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
133,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
134,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
135,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
136,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
137,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
138,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
139,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
140,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
141,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
142,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
143,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
144,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
145,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
146,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
147,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
148,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
149,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
150,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
151,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
152,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
153,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
154,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
155,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
156,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
157,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
158,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
159,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
160,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
161,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
162,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
163,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
164,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
165,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
166,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
167,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
168,0.72,2.23,5.36,4.07,6.32,3.72,23.95,3,0
