Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7
,,,,,,,25,2.49,14.67,5.53,11.38,3.89,8.27,0
,,,,,,,26,1.8,10.6,3.99,8.22,2.81,5.97,0
,,,,,,,27,1.66,9.78,3.68,7.59,2.59,5.51,0
,,,,,,,28,2.46,14.47,5.45,11.22,3.83,8.16,0
,,,,,,,29,4.43,26.09,9.82,20.24,6.91,14.71,0
,,,,,,,30,7.27,42.8,16.12,33.2,11.33,24.13,0
,,,,,,,31,10.98,64.61,24.33,50.12,17.11,36.42,0
,,,,,,,32,15,88.25,33.23,68.46,23.37,49.74,0
,,,,,,,33,18.95,111.48,41.98,86.48,29.52,62.84,0
,,,,,,,34,21.02,123.71,46.59,95.96,32.76,69.73,0
,,,,,,,35,21.68,127.58,48.05,98.97,33.78,71.92,0
,,,,,,,36,22.62,133.08,50.12,103.24,35.24,75.02,0
,,,,,,,37,24.07,141.64,53.34,109.88,37.51,79.84,0
,,,,,,,38,25.15,147.96,55.72,114.78,39.18,83.41,0
,,,,,,,39,26.32,154.89,58.33,120.15,41.01,87.31,0
,,,,,,,40,26.98,158.76,59.79,123.16,42.04,89.49,0
,,,,,,,41,25.67,151.02,56.87,117.15,39.99,85.13,0
,,,,,,,42,23.24,136.75,51.5,106.08,36.21,77.09,0
,,,,,,,43,19.29,113.52,42.75,88.06,30.06,63.99,0
,,,,,,,44,14.93,87.84,33.08,68.14,23.26,49.51,0
,,,,,,,45,11.4,67.05,25.25,52.01,17.75,37.8,0
,,,,,,,46,8.83,51.97,19.57,40.31,13.76,29.3,0
,,,,,,,47,6.2,36.48,13.74,28.3,9.66,20.56,0
,,,,,,,48,3.95,23.23,8.75,18.02,6.15,13.1,0
,,,,,,,49,1.69,9.92,3.74,7.7,2.63,5.59,0
,,,,,,,50,1.24,7.28,2.74,5.65,1.93,4.1,0
,,,,,,,51,1.74,10.25,3.86,7.95,2.72,5.78,0
,,,,,,,52,4.05,23.82,8.97,18.48,6.31,13.43,0
,,,,,,,53,8.71,51.27,19.31,39.77,13.58,28.9,0
