Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Subperiods,Hours_per_period,Sub_Weights,Rep_Periods,Timesteps_per_Rep_Period
,,,,45,1529.304017,10349.16249,3907.198261,8572.611316,3499.012443,6470.865786,0,,,,,
,,,,46,1517.001674,10391.80372,3927.568834,8346.732248,3406.817236,6300.365448,0,,,,,
,,,,47,1439.128456,9931.014102,3754.413087,7906.191934,3227.00551,5967.832321,0,,,,,
,,,,48,1310.504839,9186.819675,3464.128202,7341.161299,2996.38159,5541.330142,0,,,,,
,,,,49,1177.047636,8255.421311,3107.629546,6719.259318,2742.54496,5071.899755,0,,,,,
,,,,50,1071.39109,7422.054224,2766.413073,6223.694551,2540.274354,4697.83251,0,,,,,
,,,,51,1005.070494,6844.960411,2528.070119,5922.903957,2417.503125,4470.78669,0,,,,,
,,,,52,977.0394584,6519.4596,2400.748855,5757.006503,2349.790121,4345.562284,0,,,,,
,,,,53,959.9933861,6383.335686,2333.525459,5687.067086,2321.243523,4292.769901,0,,,,,
,,,,54,978.7300408,6350.583268,2318.245273,5747.084521,2345.740348,4338.072873,0,,,,,
,,,,55,1026.325335,6530.027954,2379.355546,6107.692308,2492.92667,4610.270515,0,,,,,
,,,,56,1150.617394,7226.431753,2631.962255,6951.684266,2837.411944,5247.341121,0,,,,,
,,,,57,1357.95617,8573.338423,3146.336405,7650.927267,3122.816224,5775.150845,0,,,,,
,,,,58,1440.589589,9417.495566,3462.091693,7948.655424,3244.337484,5999.885045,0,,,,,
,,,,59,1444.449121,9690.822546,3564.968537,8106.63229,3308.817606,6119.130752,0,,,,,
,,,,60,1439.958941,9860.670588,3632.185974,8211.847245,3351.762331,6198.550176,0,,,,,
,,,,61,1438.295178,9990.913345,3687.188806,8261.434295,3372.00187,6235.979978,0,,,,,
,,,,62,1435.273918,10059.69595,3699.415494,8228.064326,3358.381524,6210.791318,0,,,,,
,,,,63,1430.864543,10022.60813,3684.134399,8215.788385,3353.370954,6201.525068,0,,,,,
,,,,64,1410.193664,10016.79852,3689.227912,8159.86029,3330.543242,6159.308853,0,,,,,
,,,,65,1401.490299,9918.625749,3649.509172,8111.639813,3310.861485,6122.910582,0,,,,,
,,,,66,1387.819002,9871.978097,3622.006015,8167.041969,3333.474529,6164.729801,0,,,,,
,,,,67,1401.692212,9973.278141,3644.413975,8280.078161,3379.611584,6250.052931,0,,,,,
,,,,68,1446.566102,10269.53932,3744.230775,8473.584953,3458.593664,6396.117698,0,,,,,
,,,,69,1540.785833,10742.66824,3953.039413,8658.324428,3533.997261,6535.564631,0,,,,,
,,,,70,1534.296695,10706.31374,3975.444177,8437.229429,3443.754728,6368.675451,0,,,,,
,,,,71,1455.36577,10219.66193,3800.25115,7999.10752,3264.930102,6037.96781,0,,,,,
,,,,72,1318.557931,9442.530851,3506.904008,7392.401986,3017.296081,5580.008159,0,,,,,
,,,,73,1184.987218,8448.208105,3118.836503,6707.657072,2737.809366,5063.142029,0,,,,,
,,,,74,1076.063335,7569.500889,2767.427315,6204.124288,2532.28652,4683.060285,0,,,,,
,,,,75,1014.856224,6987.186033,2530.109468,5918.178507,2415.574376,4467.219778,0,,,,,
,,,,76,988.9190352,6666.511683,2397.690449,5733.362352,2340.139482,4327.714965,0,,,,,
,,,,77,984.1548109,6498.220699,2330.468191,5663.352235,2311.564027,4274.869216,0,,,,,
,,,,78,987.4460979,6464.114424,2320.279413,5702.942396,2327.723218,4304.753064,0,,,,,
,,,,79,1020.599011,6640.765468,2376.299084,6034.728364,2463.145575,4555.195128,0,,,,,
,,,,80,1134.251184,7308.400698,2626.869532,6873.77974,2805.614293,5188.536433,0,,,,,
,,,,81,1336.294519,8636.151391,3145.314552,7592.952348,3099.153077,5731.389626,0,,,,,
,,,,82,1425.229504,9507.428481,3479.407088,7916.745273,3231.312979,5975.7983,0,,,,,
,,,,83,1439.350077,9762.061657,3577.191106,8125.619497,3316.567458,6133.462869,0,,,,,
,,,,84,1448.114373,9936.005375,3634.223556,8268.267536,3374.790938,6241.137915,0,,,,,
,,,,85,1451.761648,10084.90356,3713.674799,8346.087333,3406.554007,6299.878647,0,,,,,
,,,,86,1463.314863,10148.50384,3737.100969,8341.755089,3404.78575,6296.608538,0,,,,,
,,,,87,1464.234671,10142.5888,3725.897488,8353.532772,3409.59295,6305.498688,0,,,,,
,,,,88,1441.571719,10153.17457,3734.042713,8318.488119,3395.289062,6279.045926,0,,,,,
,,,,89,1441.249422,10104.1558,3696.359089,8284.943771,3381.59754,6253.72564,0,,,,,
,,,,90,1426.740818,10100.67707,3662.751627,8315.740207,3394.167469,6276.97172,0,,,,,
,,,,91,1477.07865,10207.79928,3669.87455,8332.075541,3400.834928,6289.302122,0,,,,,
,,,,92,1537.439565,10453.31157,3718.763472,8471.918954,3457.913667,6394.860152,0,,,,,
,,,,93,1577.104809,10852.65441,3872.572335,8718.721719,3558.649127,6581.154329,0,,,,,
,,,,94,1536.113693,10786.34361,3937.762498,8444.881066,3446.877834,6374.451138,0,,,,,
,,,,95,1458.363451,10304.50282,3770.714057,8019.917675,3273.424013,6053.675943,0,,,,,
,,,,96,1349.309777,9519.57615,3487.550371,7424.342496,3030.332977,5604.117821,0,,,,,
,,,,97,1215.891575,8523.288027,3113.743904,6760.273567,2759.285409,5102.858548,0,,,,,
,,,,98,1104.797273,7630.782662,2763.358052,6231.23773,2543.353191,4703.526329,0,,,,,
,,,,99,1046.795347,7016.731419,2512.794911,5923.663933,2417.813317,4471.360343,0,,,,,
,,,,100,1009.369697,6692.611832,2385.474521,5747.718095,2345.998948,4338.551114,0,,,,,
,,,,101,997.4123808,6514.596079,2320.285481,5692.725843,2323.553212,4297.041301,0,,,,,
,,,,102,1005.862581,6490.637041,2310.096956,5748.749568,2346.419956,4339.3297,0,,,,,
,,,,103,1052.424878,6672.794522,2371.209236,6105.117063,2491.875553,4608.326642,0,,,,,
,,,,104,1168.486665,7349.354228,2632.980209,6942.94436,2833.844649,5240.743977,0,,,,,
,,,,105,1365.246059,8673.508616,3162.629308,7611.481711,3106.716056,5745.376149,0,,,,,
,,,,106,1436.205798,9403.705819,3449.864921,7886.324585,3218.896417,5952.835846,0,,,,,
