H2_Pipelines,z1,z2,z3,Max_No_Pipe,Existing_No_Pipe,Max_Flow_MW_p_pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_MWh_p_mile,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_p_MW_yr,BoosterCompEnergy_MWh_p_MWh,H2PipeCompCapex,H2PipeCompEnergy_MWh_p_MWh
1,1,-1,0,20,0,1527.944,254652.74,123.0584,46.4684,0.1,100,1269.6800406297614,0.02031488065007618,1290.0992889791773,0.025393600812595226
2,1,0,-1,20,0,1527.944,254652.74,196.5385,46.4684,0.1,100,1269.6800406297614,0.02031488065007618,1290.0992889791773,0.025393600812595226
3,0,1,-1,20,0,1527.944,254652.74,196.5385,46.4684,0.1,100,1269.6800406297614,0.02031488065007618,1290.0992889791773,0.025393600812595226
