Voll,Demand_Segment,Cost_of_Demand_Curtailment_p_MWh,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3,Load_H2_MW_z4,Load_H2_MW_z5,Load_H2_MW_z6,Load_H2_MW_z7,Load_H2_MW_z8,Load_H2_MW_z9,Load_H2_MW_z10
1269680.041,1,0.025393600812595226,0,1,168,1,1,5591.96,32910.224543086006,138.8832511,106.49351763688001,3487.204136,333.0902745,13545.67116,5418.752587,1454.0059577406003,1652.2794974862002
,,,,,,,2,5582.838328,32910.224543086006,138.8832511,106.49351763688001,3487.204136,333.0902745,13545.67116,5418.752587,1454.0059577406003,1652.2794974862002
,,,,,,,3,5582.838328,32910.224543086006,138.8832511,106.49351763688001,3487.204136,333.0902745,13545.67116,5418.752587,1454.0059577406003,1652.2794974862002
,,,,,,,4,5582.838328,32910.224543086006,138.8832511,106.49351763688001,3487.204136,333.0902745,13545.67116,5418.752587,1454.0059577406003,1652.2794974862002
,,,,,,,5,5582.838328,32910.224543086006,138.8832511,106.49351763688001,3487.204136,333.0902745,13545.67116,5418.752587,1454.0059577406003,1652.2794974862002
,,,,,,,6,5582.838328,32910.224543086006,138.8832511,106.49351763688001,3487.204136,333.0902745,13545.67116,5418.752587,1454.0059577406003,1652.2794974862002
,,,,,,,7,5582.838328,32910.224543086006,138.8832511,106.49351763688001,3487.204136,333.0902745,13545.67116,5418.752587,1454.0059577406003,1652.2794974862002
,,,,,,,8,5582.838328,32910.224543086006,138.8832511,106.49351763688001,3487.204136,333.0902745,13545.67116,5418.752587,1454.0059577406003,1652.2794974862002
,,,,,,,9,5582.838328,32910.224543086006,138.8832511,106.49351763688001,3487.204136,333.0902745,13545.67116,5418.752587,1454.0059577406003,1652.2794974862002
,,,,,,,10,5582.838328,32910.224543086006,138.8832511,106.49351763688001,3487.204136,333.0902745,13545.67116,5418.752587,1454.0059577406003,1652.2794974862002
,,,,,,,11,5582.838328,32910.224543086006,138.8832511,106.49351763688001,3487.204136,333.0902745,13545.67116,5418.752587,1454.0059577406003,1652.2794974862002
,,,,,,,12,5582.838328,32910.224543086006,138.8832511,106.49351763688001,3487.204136,333.0902745,13545.67116,5418.752587,1454.0059577406003,1652.2794974862002
,,,,,,,13,5582.838328,32910.224543086006,138.8832511,106.49351763688001,3487.204136,333.0902745,13545.67116,5418.752587,1454.0059577406003,1652.2794974862002
