CO2_Storage,Zone,etaPCO2_MWh_per_tonne,Inv_Cost_per_tonne_per_yr_yr,Fixed_OM_Cost_per_tonne_per_yr_yr,Min_capacity_tonne_per_yr,Max_capacity_tonne_per_yr,CO2_Injection_Min_Output,CO2_Injection_Max_Output,Ref_capacity_tonne_per_yr,Ref_CAPEX_per_yr,Ref_Fixed_OM_per_yr,Max_injection_rate_tonne_per_hr,Var_OM_Cost_per_tonne
GEO_SEQ_INJECT_1,1,0.007,0.02494,0.08712,0,1990000,0,1,7300000,3506000,637000,10000,0
GEO_SEQ_INJECT_2,2,0.007,0.02494,0.08712,0,149000000,0,1,7300000,3506000,637000,10000,0
GEO_SEQ_INJECT_3,3,0.007,0.02494,0.08712,0,25530000,0,1,7300000,3506000,637000,10000,0
GEO_SEQ_INJECT_4,4,0.007,0.02494,0.08712,0,25530000,0,1,7300000,3506000,637000,10000,0
GEO_SEQ_INJECT_5,5,0.007,0.02494,0.08712,0,79220000,0,1,7300000,3506000,637000,10000,0
GEO_SEQ_INJECT_6,6,0.007,0.02494,0.08712,0,0,0,1,7300000,3506000,637000,10000,0
GEO_SEQ_INJECT_7,7,0.007,0.02494,0.08712,0,71000000,0,1,7300000,3506000,637000,10000,0
GEO_SEQ_INJECT_8,8,0.007,0.02494,0.08712,0,3400000,0,1,7300000,3506000,637000,10000,0
GEO_SEQ_INJECT_9,9,0.007,0.02494,0.08712,0,260310000,0,1,7300000,3506000,637000,10000,0
GEO_SEQ_INJECT_10,10,0.007,0.02494,0.08712,0,34000000,0,1,7300000,3506000,637000,10000,0
