Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
SE_Bio_Electricity_Herb,1,1,1.717,18.2,0.2566,1,372041,185952,7.14,0,0,0,0,1000000,0.4,0.9
SE_Bio_Electricity_CCS_99_Herb,1,1,1.717,18.2,0.2566,1,595081,307795,17.5,0,0,0.99,0,1000000,0.4,0.9
SE_Bio_Electricity_Wood,1,2,1.798,19.03,0.2566,1,372041,185952,7.14,0,0,0,0,1000000,0.4,0.9
SE_Bio_Electricity_CCS_99_Wood,1,2,1.798,19.03,0.2566,1,595081,307795,17.5,0,0,0.99,0,1000000,0.4,0.9
SE_Bio_Electricity_Agri_Res,1,3,1.707,17.4,0.2566,1,372041,185952,7.14,0,0,0,0,1000000,0.4,0.9
SE_Bio_Electricity_CCS_99_Agri_Res,1,3,1.707,17.4,0.2566,1,595081,307795,17.5,0,0,0.99,0,1000000,0.4,0.9
SE_Bio_Electricity_Agri_Process_Waste,1,4,1.504,15.53,0.2566,1,372041,185952,7.14,0,0,0,0,1000000,0.4,0.9
SE_Bio_Electricity_CCS_99_Agri_Process_Waste,1,4,1.504,15.53,0.2566,1,595081,307795,17.5,0,0,0.99,0,1000000,0.4,0.9
SE_Bio_Electricity_Forest,1,5,1.841,19.24,0.2566,1,372041,185952,7.14,0,0,0,0,1000000,0.4,0.9
SE_Bio_Electricity_CCS_99_Forest,1,5,1.841,19.24,0.2566,1,595081,307795,17.5,0,0,0.99,0,1000000,0.4,0.9
