Global_conventional_diesel_price_per_mmbtu,Conventional_diesel_co2_per_mmbtu,Syn_diesel_co2_per_mmbtu,Bio_diesel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1
25.41,0.0741,0.0741,0.0741,1,69613
,,,,2,69613
,,,,3,69613
,,,,4,69613
,,,,5,69613
,,,,6,69613
,,,,7,69613
,,,,8,69613
,,,,9,69613
,,,,10,69613
,,,,11,69613
,,,,12,69613
,,,,13,69613
,,,,14,69613
,,,,15,69613
,,,,16,69613
,,,,17,69613
,,,,18,69613
,,,,19,69613
,,,,20,69613
,,,,21,69613
,,,,22,69613
,,,,23,69613
,,,,24,69613
,,,,25,69613
,,,,26,69613
,,,,27,69613
,,,,28,69613
,,,,29,69613
,,,,30,69613
,,,,31,69613
,,,,32,69613
,,,,33,69613
,,,,34,69613
,,,,35,69613
,,,,36,69613
,,,,37,69613
,,,,38,69613
,,,,39,69613
,,,,40,69613
,,,,41,69613
,,,,42,69613
,,,,43,69613
,,,,44,69613
,,,,45,69613
,,,,46,69613
,,,,47,69613
,,,,48,69613
,,,,49,69613
,,,,50,69613
,,,,51,69613
,,,,52,69613
,,,,53,69613
,,,,54,69613
,,,,55,69613
,,,,56,69613
,,,,57,69613
,,,,58,69613
,,,,59,69613
,,,,60,69613
,,,,61,69613
,,,,62,69613
,,,,63,69613
,,,,64,69613
,,,,65,69613
,,,,66,69613
,,,,67,69613
,,,,68,69613
,,,,69,69613
,,,,70,69613
,,,,71,69613
,,,,72,69613
,,,,73,69613
,,,,74,69613
,,,,75,69613
,,,,76,69613
,,,,77,69613
,,,,78,69613
,,,,79,69613
,,,,80,69613
,,,,81,69613
,,,,82,69613
,,,,83,69613
,,,,84,69613
,,,,85,69613
,,,,86,69613
,,,,87,69613
,,,,88,69613
,,,,89,69613
,,,,90,69613
,,,,91,69613
,,,,92,69613
,,,,93,69613
,,,,94,69613
,,,,95,69613
,,,,96,69613
,,,,97,69613
,,,,98,69613
,,,,99,69613
,,,,100,69613
,,,,101,69613
,,,,102,69613
,,,,103,69613
,,,,104,69613
,,,,105,69613
,,,,106,69613
,,,,107,69613
,,,,108,69613
,,,,109,69613
,,,,110,69613
,,,,111,69613
,,,,112,69613
,,,,113,69613
,,,,114,69613
,,,,115,69613
,,,,116,69613
,,,,117,69613
,,,,118,69613
,,,,119,69613
,,,,120,69613
,,,,121,69613
,,,,122,69613
,,,,123,69613
,,,,124,69613
,,,,125,69613
,,,,126,69613
,,,,127,69613
,,,,128,69613
,,,,129,69613
,,,,130,69613
,,,,131,69613
,,,,132,69613
,,,,133,69613
,,,,134,69613
,,,,135,69613
,,,,136,69613
,,,,137,69613
,,,,138,69613
,,,,139,69613
,,,,140,69613
,,,,141,69613
,,,,142,69613
,,,,143,69613
,,,,144,69613
,,,,145,69613
,,,,146,69613
,,,,147,69613
,,,,148,69613
,,,,149,69613
,,,,150,69613
,,,,151,69613
,,,,152,69613
,,,,153,69613
,,,,154,69613
,,,,155,69613
,,,,156,69613
,,,,157,69613
,,,,158,69613
,,,,159,69613
,,,,160,69613
,,,,161,69613
,,,,162,69613
,,,,163,69613
,,,,164,69613
,,,,165,69613
,,,,166,69613
,,,,167,69613
,,,,168,69613
,,,,169,69613
,,,,170,69613
,,,,171,69613
,,,,172,69613
,,,,173,69613
,,,,174,69613
,,,,175,69613
,,,,176,69613
,,,,177,69613
,,,,178,69613
,,,,179,69613
,,,,180,69613
,,,,181,69613
,,,,182,69613
,,,,183,69613
,,,,184,69613
,,,,185,69613
,,,,186,69613
,,,,187,69613
,,,,188,69613
,,,,189,69613
,,,,190,69613
,,,,191,69613
,,,,192,69613
,,,,193,69613
,,,,194,69613
,,,,195,69613
,,,,196,69613
,,,,197,69613
,,,,198,69613
,,,,199,69613
,,,,200,69613
,,,,201,69613
,,,,202,69613
,,,,203,69613
,,,,204,69613
,,,,205,69613
,,,,206,69613
,,,,207,69613
,,,,208,69613
,,,,209,69613
,,,,210,69613
,,,,211,69613
,,,,212,69613
,,,,213,69613
,,,,214,69613
,,,,215,69613
,,,,216,69613
,,,,217,69613
,,,,218,69613
,,,,219,69613
,,,,220,69613
,,,,221,69613
,,,,222,69613
,,,,223,69613
,,,,224,69613
,,,,225,69613
,,,,226,69613
,,,,227,69613
,,,,228,69613
,,,,229,69613
,,,,230,69613
,,,,231,69613
,,,,232,69613
,,,,233,69613
,,,,234,69613
,,,,235,69613
,,,,236,69613
,,,,237,69613
,,,,238,69613
,,,,239,69613
,,,,240,69613
,,,,241,69613
,,,,242,69613
,,,,243,69613
,,,,244,69613
,,,,245,69613
,,,,246,69613
,,,,247,69613
,,,,248,69613
,,,,249,69613
,,,,250,69613
,,,,251,69613
,,,,252,69613
,,,,253,69613
,,,,254,69613
,,,,255,69613
,,,,256,69613
,,,,257,69613
,,,,258,69613
,,,,259,69613
,,,,260,69613
,,,,261,69613
,,,,262,69613
,,,,263,69613
,,,,264,69613
,,,,265,69613
,,,,266,69613
,,,,267,69613
,,,,268,69613
,,,,269,69613
,,,,270,69613
,,,,271,69613
,,,,272,69613
,,,,273,69613
,,,,274,69613
,,,,275,69613
,,,,276,69613
,,,,277,69613
,,,,278,69613
,,,,279,69613
,,,,280,69613
,,,,281,69613
,,,,282,69613
,,,,283,69613
,,,,284,69613
,,,,285,69613
,,,,286,69613
,,,,287,69613
,,,,288,69613
,,,,289,69613
,,,,290,69613
,,,,291,69613
,,,,292,69613
,,,,293,69613
,,,,294,69613
,,,,295,69613
,,,,296,69613
,,,,297,69613
,,,,298,69613
,,,,299,69613
,,,,300,69613
,,,,301,69613
,,,,302,69613
,,,,303,69613
,,,,304,69613
,,,,305,69613
,,,,306,69613
,,,,307,69613
,,,,308,69613
,,,,309,69613
,,,,310,69613
,,,,311,69613
,,,,312,69613
,,,,313,69613
,,,,314,69613
,,,,315,69613
,,,,316,69613
,,,,317,69613
,,,,318,69613
,,,,319,69613
,,,,320,69613
,,,,321,69613
,,,,322,69613
,,,,323,69613
,,,,324,69613
,,,,325,69613
,,,,326,69613
,,,,327,69613
,,,,328,69613
,,,,329,69613
,,,,330,69613
,,,,331,69613
,,,,332,69613
,,,,333,69613
,,,,334,69613
,,,,335,69613
,,,,336,69613
,,,,337,69613
,,,,338,69613
,,,,339,69613
,,,,340,69613
,,,,341,69613
,,,,342,69613
,,,,343,69613
,,,,344,69613
,,,,345,69613
,,,,346,69613
,,,,347,69613
,,,,348,69613
,,,,349,69613
,,,,350,69613
,,,,351,69613
,,,,352,69613
,,,,353,69613
,,,,354,69613
,,,,355,69613
,,,,356,69613
,,,,357,69613
,,,,358,69613
,,,,359,69613
,,,,360,69613
,,,,361,69613
,,,,362,69613
,,,,363,69613
,,,,364,69613
,,,,365,69613
,,,,366,69613
,,,,367,69613
,,,,368,69613
,,,,369,69613
,,,,370,69613
,,,,371,69613
,,,,372,69613
,,,,373,69613
,,,,374,69613
,,,,375,69613
,,,,376,69613
,,,,377,69613
,,,,378,69613
,,,,379,69613
,,,,380,69613
,,,,381,69613
,,,,382,69613
,,,,383,69613
,,,,384,69613
,,,,385,69613
,,,,386,69613
,,,,387,69613
,,,,388,69613
,,,,389,69613
,,,,390,69613
,,,,391,69613
,,,,392,69613
,,,,393,69613
,,,,394,69613
,,,,395,69613
,,,,396,69613
,,,,397,69613
,,,,398,69613
,,,,399,69613
,,,,400,69613
,,,,401,69613
,,,,402,69613
,,,,403,69613
,,,,404,69613
,,,,405,69613
,,,,406,69613
,,,,407,69613
,,,,408,69613
,,,,409,69613
,,,,410,69613
,,,,411,69613
,,,,412,69613
,,,,413,69613
,,,,414,69613
,,,,415,69613
,,,,416,69613
,,,,417,69613
,,,,418,69613
,,,,419,69613
,,,,420,69613
,,,,421,69613
,,,,422,69613
,,,,423,69613
,,,,424,69613
,,,,425,69613
,,,,426,69613
,,,,427,69613
,,,,428,69613
,,,,429,69613
,,,,430,69613
,,,,431,69613
,,,,432,69613
,,,,433,69613
,,,,434,69613
,,,,435,69613
,,,,436,69613
,,,,437,69613
,,,,438,69613
,,,,439,69613
,,,,440,69613
,,,,441,69613
,,,,442,69613
,,,,443,69613
,,,,444,69613
,,,,445,69613
,,,,446,69613
,,,,447,69613
,,,,448,69613
,,,,449,69613
,,,,450,69613
,,,,451,69613
,,,,452,69613
,,,,453,69613
,,,,454,69613
,,,,455,69613
,,,,456,69613
,,,,457,69613
,,,,458,69613
,,,,459,69613
,,,,460,69613
,,,,461,69613
,,,,462,69613
,,,,463,69613
,,,,464,69613
,,,,465,69613
,,,,466,69613
,,,,467,69613
,,,,468,69613
,,,,469,69613
,,,,470,69613
,,,,471,69613
,,,,472,69613
,,,,473,69613
,,,,474,69613
,,,,475,69613
,,,,476,69613
,,,,477,69613
,,,,478,69613
,,,,479,69613
,,,,480,69613
,,,,481,69613
,,,,482,69613
,,,,483,69613
,,,,484,69613
,,,,485,69613
,,,,486,69613
,,,,487,69613
,,,,488,69613
,,,,489,69613
,,,,490,69613
,,,,491,69613
,,,,492,69613
,,,,493,69613
,,,,494,69613
,,,,495,69613
,,,,496,69613
,,,,497,69613
,,,,498,69613
,,,,499,69613
,,,,500,69613
,,,,501,69613
,,,,502,69613
,,,,503,69613
,,,,504,69613
,,,,505,69613
,,,,506,69613
,,,,507,69613
,,,,508,69613
,,,,509,69613
,,,,510,69613
,,,,511,69613
,,,,512,69613
,,,,513,69613
,,,,514,69613
,,,,515,69613
,,,,516,69613
,,,,517,69613
,,,,518,69613
,,,,519,69613
,,,,520,69613
,,,,521,69613
,,,,522,69613
,,,,523,69613
,,,,524,69613
,,,,525,69613
,,,,526,69613
,,,,527,69613
,,,,528,69613
,,,,529,69613
,,,,530,69613
,,,,531,69613
,,,,532,69613
,,,,533,69613
,,,,534,69613
,,,,535,69613
,,,,536,69613
,,,,537,69613
,,,,538,69613
,,,,539,69613
,,,,540,69613
,,,,541,69613
,,,,542,69613
,,,,543,69613
,,,,544,69613
,,,,545,69613
,,,,546,69613
,,,,547,69613
,,,,548,69613
,,,,549,69613
,,,,550,69613
,,,,551,69613
,,,,552,69613
,,,,553,69613
,,,,554,69613
,,,,555,69613
,,,,556,69613
,,,,557,69613
,,,,558,69613
,,,,559,69613
,,,,560,69613
,,,,561,69613
,,,,562,69613
,,,,563,69613
,,,,564,69613
,,,,565,69613
,,,,566,69613
,,,,567,69613
,,,,568,69613
,,,,569,69613
,,,,570,69613
,,,,571,69613
,,,,572,69613
,,,,573,69613
,,,,574,69613
,,,,575,69613
,,,,576,69613
,,,,577,69613
,,,,578,69613
,,,,579,69613
,,,,580,69613
,,,,581,69613
,,,,582,69613
,,,,583,69613
,,,,584,69613
,,,,585,69613
,,,,586,69613
,,,,587,69613
,,,,588,69613
,,,,589,69613
,,,,590,69613
,,,,591,69613
,,,,592,69613
,,,,593,69613
,,,,594,69613
,,,,595,69613
,,,,596,69613
,,,,597,69613
,,,,598,69613
,,,,599,69613
,,,,600,69613
,,,,601,69613
,,,,602,69613
,,,,603,69613
,,,,604,69613
,,,,605,69613
,,,,606,69613
,,,,607,69613
,,,,608,69613
,,,,609,69613
,,,,610,69613
,,,,611,69613
,,,,612,69613
,,,,613,69613
,,,,614,69613
,,,,615,69613
,,,,616,69613
,,,,617,69613
,,,,618,69613
,,,,619,69613
,,,,620,69613
,,,,621,69613
,,,,622,69613
,,,,623,69613
,,,,624,69613
,,,,625,69613
,,,,626,69613
,,,,627,69613
,,,,628,69613
,,,,629,69613
,,,,630,69613
,,,,631,69613
,,,,632,69613
,,,,633,69613
,,,,634,69613
,,,,635,69613
,,,,636,69613
,,,,637,69613
,,,,638,69613
,,,,639,69613
,,,,640,69613
,,,,641,69613
,,,,642,69613
,,,,643,69613
,,,,644,69613
,,,,645,69613
