H2_Resource,Zone,H2_FLEX,H2_GEN_TYPE,H2_Electrolyzer,Blue_H2,Grey_H2,H2_STOR,LDS,New_Build,etaP2G_MWh_p_tonne,etaFuel_MMBtu_p_tonne,etaNG_MMBtu_p_tonne,Inv_Cost_p_tonne_p_hr_yr,Inv_Cost_Charge_p_tonne_p_hr_yr,Inv_Cost_Energy_p_tonne_yr,Fixed_OM_Cost_p_tonne_p_hr_yr,Fixed_OM_Cost_Charge_p_tonne_p_hr_yr,Fixed_OM_Cost_Energy_p_tonne_yr,Var_OM_Cost_p_tonne,Var_OM_Cost_Charge_p_tonne,Fuel,Max_Cap_tonne_p_hr,Min_Cap_tonne_p_hr,Max_Charge_Cap_tonne_p_hr,Min_Charge_Cap_tonne_p_hr,Max_Energy_Cap_tonne,Min_Energy_Cap_tonne,Existing_Cap_tonne_p_hr,Existing_Charge_Cap_tonne_p_hr,Existing_Energy_Cap_tonne,Cap_Size_tonne_p_hr,Ramp_Up_Percentage,Ramp_Down_Percentage,H2Gen_min_output,H2Stor_min_level,H2Stor_max_level,H2Stor_self_discharge_rate_p_hour,H2Stor_Charge_MWh_p_tonne,H2Stor_Charge_MMBtu_p_tonne,H2Stor_Charge_NG_MMBtu_p_tonne,H2Stor_eff_charge,H2Stor_eff_discharge,Start_Cost_per_tonne_p_hr,Up_Time,Down_Time,Flexible_Demand_Energy_Eff,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,CCS_Rate,CapRes_1,CapRes_2,CapRes_3
SE_Electrolyzer,1,0,2,1,0,0,0,0,1,53.23,0,0,1915101.11,0,0,49026.59,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0
SE_Large_SMR_wCCS_96pct,1,0,2,0,1,0,0,0,1,2.037,0,185.877,2864802.371,0,0,1182564.323,0,0,99.042,0,None,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,0,10,3,3,0,0,0,0.962,0,0,0
SE_ATR_wCCS_94pct,1,0,2,0,1,0,0,0,1,4,0,174.706,2264267.963,0,0,917249.7054,0,0,71.7366,0,None,-1,0,-1,0,-1,0,0,0,0,27.5,0.5,0.5,0.85,0,0,0,0,0,0,0,0,10,22,12,0,0,0,0.945,0,0,0
SE_Above_ground_storage,1,0,0,0,0,0,1,1,1,0.385,0,0,0,126773.5361,34379.26403,0,0,1132.494,33.3,33.3,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,0.71,0,0,1,1,0,0,0,0,0,0,0,0,0,0
