Syn_Fuel_Resource,Zone,mmbtu_sf_diesel_p_tonne_co2,mmbtu_sf_jetfuel_p_tonne_co2,mmbtu_sf_gasoline_p_tonne_co2,tonnes_h2_p_tonne_co2,mwh_p_tonne_co2,Inv_Cost_p_tonne_co2_p_hr_yr,Fixed_OM_cost_p_tonne_co2_hr_yr,Var_OM_cost_p_tonne_co2,mmbtu_p_tonne_co2_p1,price_p_mmbtu_p1,co2_out_p_mmbtu_p1,CCS_Rate,MinCapacity_tonne_p_hr,MaxCapacity_tonne_p_hr
SE_Synfuel_Plant,1,1.6913,3.0568,1.7908,0.0934,0.036,247898,214819,8.62E+00,0,0,0,0,0,10000000000
SE_Synfuel_Plant_wCCS_Recycled_99pct,1,3.5406,6.399,3.7489,0.1956,1.337,685206,535597,23.51,0,0,0,0,0,10000000000
