ng_co2_per_mmbtu,Time_Index,Load_mmbtu_z1
0.05306,1,81008
,2,81008
,2,81008
,4,81008
,5,81008
,6,81008
,7,81008
,8,81008
,9,81008
,10,81008
,11,81008
,12,81008
,13,81008
,14,81008
,15,81008
,16,81008
,17,81008
,18,81008
,19,81008
,20,81008
,21,81008
,22,81008
,23,81008
,24,81008
,25,81008
,26,81008
,27,81008
,28,81008
,29,81008
,30,81008
,31,81008
,32,81008
,33,81008
,34,81008
,35,81008
,36,81008
,37,81008
,38,81008
,39,81008
,40,81008
,41,81008
,42,81008
,43,81008
,44,81008
,45,81008
,46,81008
,47,81008
,48,81008
,49,81008
,50,81008
,51,81008
,52,81008
,53,81008
,54,81008
,55,81008
,56,81008
,57,81008
,58,81008
,59,81008
,60,81008
,61,81008
,62,81008
,63,81008
,64,81008
,65,81008
,66,81008
,67,81008
,68,81008
,69,81008
,70,81008
,71,81008
,72,81008
,73,81008
,74,81008
,75,81008
,76,81008
,77,81008
,78,81008
,79,81008
,80,81008
,81,81008
,82,81008
,83,81008
,84,81008
,85,81008
,86,81008
,87,81008
,88,81008
,89,81008
,90,81008
,91,81008
,92,81008
,93,81008
,94,81008
,95,81008
,96,81008
,97,81008
,98,81008
,99,81008
,100,81008
,101,81008
,102,81008
,103,81008
,104,81008
,105,81008
,106,81008
,107,81008
,108,81008
,109,81008
,110,81008
,111,81008
,112,81008
,113,81008
,114,81008
,115,81008
,116,81008
,117,81008
,118,81008
,119,81008
,120,81008
,121,81008
,122,81008
,123,81008
,124,81008
,125,81008
,126,81008
,127,81008
,128,81008
,129,81008
,130,81008
,131,81008
,132,81008
,133,81008
,134,81008
,135,81008
,136,81008
,137,81008
,138,81008
,139,81008
,140,81008
,141,81008
,142,81008
,143,81008
,144,81008
,145,81008
,146,81008
,147,81008
,148,81008
,149,81008
,150,81008
,151,81008
,152,81008
,153,81008
,154,81008
,155,81008
,156,81008
,157,81008
,158,81008
,159,81008
,160,81008
,161,81008
,162,81008
,163,81008
,164,81008
,165,81008
,166,81008
,167,81008
,168,81008
,169,81008
,170,81008
,171,81008
,172,81008
,173,81008
,174,81008
,175,81008
,176,81008
,177,81008
,178,81008
,179,81008
,180,81008
,181,81008
,182,81008
,183,81008
,184,81008
,185,81008
,186,81008
,187,81008
,188,81008
,189,81008
,190,81008
,191,81008
,192,81008
,193,81008
,194,81008
,195,81008
,196,81008
,197,81008
,198,81008
,199,81008
,200,81008
,201,81008
,202,81008
,203,81008
,204,81008
,205,81008
,206,81008
,207,81008
,208,81008
,209,81008
,210,81008
,211,81008
,212,81008
,213,81008
,214,81008
,215,81008
,216,81008
,217,81008
,218,81008
,219,81008
,220,81008
,221,81008
,222,81008
,223,81008
,224,81008
,225,81008
,226,81008
,227,81008
,228,81008
,229,81008
,230,81008
,231,81008
,232,81008
,233,81008
,234,81008
,235,81008
,236,81008
,237,81008
,238,81008
,239,81008
,240,81008
,241,81008
,242,81008
,243,81008
,244,81008
,245,81008
,246,81008
,247,81008
,248,81008
,249,81008
,250,81008
,251,81008
,252,81008
,253,81008
,254,81008
,255,81008
,256,81008
,257,81008
,258,81008
,259,81008
,260,81008
,261,81008
,262,81008
,263,81008
,264,81008
,265,81008
,266,81008
,267,81008
,268,81008
,269,81008
,270,81008
,271,81008
,272,81008
,273,81008
,274,81008
,275,81008
,276,81008
,277,81008
,278,81008
,279,81008
,280,81008
,281,81008
,282,81008
,283,81008
,284,81008
,285,81008
,286,81008
,287,81008
,288,81008
,289,81008
,290,81008
,291,81008
,292,81008
,293,81008
,294,81008
,295,81008
,296,81008
,297,81008
,298,81008
,299,81008
,300,81008
,301,81008
,302,81008
,303,81008
,304,81008
,305,81008
,306,81008
,307,81008
,308,81008
,309,81008
,310,81008
,311,81008
,312,81008
,313,81008
,314,81008
,315,81008
,316,81008
,317,81008
,318,81008
,319,81008
,320,81008
,321,81008
,322,81008
,323,81008
,324,81008
,325,81008
,326,81008
,327,81008
,328,81008
,329,81008
,330,81008
,331,81008
,332,81008
,333,81008
,334,81008
,335,81008
,336,81008
,337,81008
,338,81008
,339,81008
,340,81008
,341,81008
,342,81008
,343,81008
,344,81008
,345,81008
,346,81008
,347,81008
,348,81008
,349,81008
,350,81008
,351,81008
,352,81008
,353,81008
,354,81008
,355,81008
,356,81008
,357,81008
,358,81008
,359,81008
,360,81008
,361,81008
,362,81008
,363,81008
,364,81008
,365,81008
,366,81008
,367,81008
,368,81008
,369,81008
,370,81008
,371,81008
,372,81008
,373,81008
,374,81008
,375,81008
,376,81008
,377,81008
,378,81008
,379,81008
,380,81008
,381,81008
,382,81008
,383,81008
,384,81008
,385,81008
,386,81008
,387,81008
,388,81008
,389,81008
,390,81008
,391,81008
,392,81008
,393,81008
,394,81008
,395,81008
,396,81008
,397,81008
,398,81008
,399,81008
,400,81008
,401,81008
,402,81008
,403,81008
,404,81008
,405,81008
,406,81008
,407,81008
,408,81008
,409,81008
,410,81008
,411,81008
,412,81008
,413,81008
,414,81008
,415,81008
,416,81008
,417,81008
,418,81008
,419,81008
,420,81008
,421,81008
,422,81008
,423,81008
,424,81008
,425,81008
,426,81008
,427,81008
,428,81008
,429,81008
,430,81008
,431,81008
,432,81008
,433,81008
,434,81008
,435,81008
,436,81008
,437,81008
,438,81008
,439,81008
,440,81008
,441,81008
,442,81008
,443,81008
,444,81008
,445,81008
,446,81008
,447,81008
,448,81008
,449,81008
,450,81008
,451,81008
,452,81008
,453,81008
,454,81008
,455,81008
,456,81008
,457,81008
,458,81008
,459,81008
,460,81008
,461,81008
,462,81008
,463,81008
,464,81008
,465,81008
,466,81008
,467,81008
,468,81008
,469,81008
,470,81008
,471,81008
,472,81008
,473,81008
,474,81008
,475,81008
,476,81008
,477,81008
,478,81008
,479,81008
,480,81008
,481,81008
,482,81008
,483,81008
,484,81008
,485,81008
,486,81008
,487,81008
,488,81008
,489,81008
,490,81008
,491,81008
,492,81008
,493,81008
,494,81008
,495,81008
,496,81008
,497,81008
,498,81008
,499,81008
,500,81008
,501,81008
,502,81008
,503,81008
,504,81008
,505,81008
,506,81008
,507,81008
,508,81008
,509,81008
,510,81008
,511,81008
,512,81008
,513,81008
,514,81008
,515,81008
,516,81008
,517,81008
,518,81008
,519,81008
,520,81008
,521,81008
,522,81008
,523,81008
,524,81008
,525,81008
,526,81008
,527,81008
,528,81008
,529,81008
,530,81008
,531,81008
,532,81008
,533,81008
,534,81008
,535,81008
,536,81008
,537,81008
,538,81008
,539,81008
,540,81008
,541,81008
,542,81008
,543,81008
,544,81008
,545,81008
,546,81008
,547,81008
,548,81008
,549,81008
,550,81008
,551,81008
,552,81008
,553,81008
,554,81008
,555,81008
,556,81008
,557,81008
,558,81008
,559,81008
,560,81008
,561,81008
,562,81008
,563,81008
,564,81008
,565,81008
,566,81008
,567,81008
,568,81008
,569,81008
,570,81008
,571,81008
,572,81008
,573,81008
,574,81008
,575,81008
,576,81008
,577,81008
,578,81008
,579,81008
,580,81008
,581,81008
,582,81008
,583,81008
,584,81008
,585,81008
,586,81008
,587,81008
,588,81008
,589,81008
,590,81008
,591,81008
,592,81008
,593,81008
,594,81008
,595,81008
,596,81008
,597,81008
,598,81008
,599,81008
