Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3
50000000,1,1,0,7,24,792.0,1,1.69,9.92,3.74
,,,,,,1920.0,2,1.24,7.28,2.74
,,,,,,1512.0,3,1.74,10.25,3.86
,,,,,,1464.0,4,4.05,23.82,8.97
,,,,,,576.0,5,8.71,51.27,19.31
,,,,,,1080.0,6,14.0,82.37,31.02
,,,,,,1416.0,7,17.32,101.88,38.37
,,,,,,,8,19.85,116.77,43.97
,,,,,,,9,20.91,123.06,46.34
,,,,,,,10,20.01,117.76,44.35
,,,,,,,11,19.9,117.1,44.1
,,,,,,,12,20.63,121.4,45.72
,,,,,,,13,21.93,129.01,48.58
,,,,,,,14,22.77,133.97,50.45
,,,,,,,15,24.62,144.89,54.56
,,,,,,,16,26.14,153.82,57.93
,,,,,,,17,25.41,149.52,56.31
,,,,,,,18,23.89,140.59,52.94
,,,,,,,19,19.68,115.78,43.6
,,,,,,,20,14.45,85.01,32.02
,,,,,,,21,10.46,61.53,23.17
,,,,,,,22,7.87,46.31,17.44
,,,,,,,23,4.67,27.46,10.34
,,,,,,,24,2.64,15.55,5.85
,,,,,,,25,1.76,10.36,3.9
,,,,,,,26,1.29,7.6,2.86
,,,,,,,27,1.82,10.71,4.03
,,,,,,,28,4.23,24.87,9.36
,,,,,,,29,9.1,53.54,20.16
,,,,,,,30,14.62,86.0,32.39
,,,,,,,31,18.08,106.38,40.06
,,,,,,,32,20.72,121.92,45.91
,,,,,,,33,21.84,128.48,48.39
,,,,,,,34,20.9,122.96,46.3
,,,,,,,35,20.78,122.27,46.04
,,,,,,,36,21.54,126.76,47.74
,,,,,,,37,22.89,134.7,50.73
,,,,,,,38,23.77,139.88,52.68
,,,,,,,39,25.71,151.28,56.97
,,,,,,,40,27.3,160.61,60.48
,,,,,,,41,26.53,156.12,58.79
,,,,,,,42,24.95,146.79,55.28
,,,,,,,43,20.54,120.89,45.52
,,,,,,,44,15.09,88.76,33.43
,,,,,,,45,10.92,64.24,24.19
,,,,,,,46,8.22,48.35,18.21
,,,,,,,47,4.87,28.67,10.8
,,,,,,,48,2.76,16.23,6.11
,,,,,,,49,2.49,14.67,5.53
,,,,,,,50,1.8,10.6,3.99
,,,,,,,51,1.66,9.78,3.68
,,,,,,,52,2.46,14.47,5.45
,,,,,,,53,4.43,26.09,9.82
,,,,,,,54,7.27,42.8,16.12
,,,,,,,55,10.98,64.61,24.33
,,,,,,,56,15.0,88.25,33.23
,,,,,,,57,18.95,111.48,41.98
,,,,,,,58,21.02,123.71,46.59
,,,,,,,59,21.68,127.58,48.05
,,,,,,,60,22.62,133.08,50.12
,,,,,,,61,24.07,141.64,53.34
,,,,,,,62,25.15,147.96,55.72
,,,,,,,63,26.32,154.89,58.33
