Period_Index,Rep_Period,Rep_Period_Index
1,79,3
2,163,4
3,79,3
4,74,2
5,79,3
6,79,3
7,79,3
8,79,3
9,295,7
10,295,7
11,79,3
12,79,3
13,163,4
14,79,3
15,79,3
16,295,7
17,295,7
18,295,7
19,79,3
20,79,3
21,295,7
22,295,7
23,295,7
24,38,1
25,79,3
26,79,3
27,74,2
28,74,2
29,74,2
30,79,3
31,79,3
32,79,3
33,295,7
34,74,2
35,163,4
36,295,7
37,295,7
38,79,3
39,79,3
40,74,2
41,163,4
42,74,2
43,295,7
44,79,3
45,79,3
46,38,1
47,79,3
48,79,3
49,74,2
50,74,2
51,163,4
52,163,4
53,79,3
54,79,3
55,74,2
56,219,6
57,38,1
58,219,6
59,163,4
60,163,4
61,295,7
62,79,3
63,79,3
64,79,3
65,74,2
66,74,2
67,74,2
68,163,4
69,79,3
70,74,2
71,163,4
72,163,4
73,163,4
74,163,4
75,74,2
76,79,3
77,79,3
78,74,2
79,163,4
80,74,2
81,194,5
82,194,5
83,194,5
84,219,6
85,79,3
86,219,6
87,163,4
88,163,4
89,219,6
90,38,1
91,194,5
92,219,6
93,219,6
94,219,6
95,219,6
96,219,6
97,194,5
98,194,5
99,219,6
100,219,6
101,219,6
102,219,6
103,219,6
104,219,6
105,194,5
106,194,5
107,219,6
108,219,6
109,194,5
110,194,5
111,194,5
112,295,7
113,38,1
114,219,6
115,74,2
116,74,2
117,74,2
118,194,5
119,194,5
120,219,6
121,219,6
122,219,6
123,219,6
124,163,4
125,74,2
126,219,6
127,219,6
128,219,6
129,194,5
130,194,5
131,194,5
132,194,5
133,194,5
134,219,6
135,163,4
136,194,5
137,194,5
138,194,5
139,219,6
140,219,6
141,194,5
142,219,6
143,219,6
144,194,5
145,219,6
146,38,1
147,74,2
148,74,2
149,219,6
150,219,6
151,219,6
152,219,6
153,219,6
154,219,6
155,74,2
156,219,6
157,38,1
158,194,5
159,163,4
160,163,4
161,163,4
162,219,6
163,74,2
164,74,2
165,219,6
166,219,6
167,219,6
168,38,1
169,219,6
170,38,1
171,79,3
172,295,7
173,79,3
174,74,2
175,163,4
176,163,4
177,295,7
178,79,3
179,163,4
180,79,3
181,38,1
182,295,7
183,79,3
184,74,2
185,79,3
186,79,3
187,74,2
188,295,7
189,163,4
190,38,1
191,79,3
192,74,2
193,74,2
194,74,2
195,295,7
196,74,2
197,74,2
198,74,2
199,74,2
200,295,7
201,295,7
202,79,3
203,74,2
204,74,2
205,163,4
206,295,7
207,295,7
208,79,3
209,295,7
210,38,1
211,295,7
212,295,7
213,79,3
214,163,4
215,38,1
216,79,3
217,295,7
218,295,7
219,79,3
220,74,2
221,74,2
222,74,2
223,38,1
224,163,4
225,74,2
226,295,7
227,295,7
228,295,7
229,79,3
230,74,2
231,74,2
232,295,7
233,295,7
234,74,2
235,163,4
236,74,2
237,163,4
238,38,1
239,163,4
240,74,2
241,74,2
242,74,2
243,163,4
244,74,2
245,74,2
246,163,4
247,74,2
248,74,2
249,74,2
250,74,2
251,74,2
252,74,2
253,74,2
254,74,2
255,163,4
256,38,1
257,163,4
258,74,2
259,74,2
260,74,2
261,74,2
262,74,2
263,74,2
264,74,2
265,74,2
266,74,2
267,163,4
268,38,1
269,163,4
270,163,4
271,74,2
272,79,3
273,38,1
274,74,2
275,74,2
276,74,2
277,163,4
278,79,3
279,295,7
280,163,4
281,38,1
282,38,1
283,38,1
284,163,4
285,38,1
286,163,4
287,38,1
288,163,4
289,163,4
290,79,3
291,163,4
292,38,1
293,38,1
294,163,4
295,38,1
296,38,1
297,38,1
298,38,1
299,163,4
300,219,6
301,163,4
302,163,4
303,163,4
304,38,1
305,38,1
306,163,4
307,74,2
308,74,2
309,163,4
310,295,7
311,163,4
312,295,7
313,295,7
314,163,4
315,295,7
316,295,7
317,163,4
318,295,7
319,295,7
320,163,4
321,295,7
322,163,4
323,38,1
324,163,4
325,38,1
326,79,3
327,295,7
328,163,4
329,295,7
330,295,7
331,295,7
332,79,3
333,79,3
334,295,7
335,79,3
336,79,3
337,79,3
338,74,2
339,74,2
340,79,3
341,79,3
342,79,3
343,79,3
344,295,7
345,79,3
346,79,3
347,295,7
348,79,3
349,74,2
350,295,7
351,295,7
352,74,2
353,163,4
354,295,7
355,163,4
356,74,2
357,74,2
358,295,7
359,295,7
360,295,7
361,295,7
362,295,7
363,295,7
364,79,3
365,295,7
