Voll,Demand_Segment,Cost_of_Demand_Curtailment_p_MWh,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_liqH2_MW_z1,Load_liqH2_MW_z2,Load_liqH2_MW_z3
,,,,,,,123,32.6854,192.5682,72.45920000000001
,,,,,,,124,48.437400000000004,284.9143,107.3105
,,,,,,,125,87.2267,513.7121000000001,193.35580000000002
,,,,,,,126,143.1463,842.732,317.4028
,,,,,,,127,216.19620000000003,1272.1709,479.0577
,,,,,,,128,295.35,1737.6425000000002,654.2986999999999
,,,,,,,129,373.1255,2195.0412,826.5862
,,,,,,,130,413.8838,2435.8499,917.3571000000002
,,,,,,,131,426.8792,2512.0502,946.1045
,,,,,,,132,445.3878,2620.3452,986.8628
,,,,,,,133,473.9383,2788.8916,1050.2646000000002
,,,,,,,134,495.2035,2913.3324000000002,1097.1268
,,,,,,,135,518.2408,3049.7841,1148.5177
,,,,,,,136,531.2362,3125.9844,1177.2651
,,,,,,,137,505.44230000000005,2973.5838000000003,1119.7703000000001
,,,,,,,138,457.5956,2692.6075,1014.0350000000001
,,,,,,,139,379.8201,2235.2088,841.7475000000001
,,,,,,,140,293.9717,1729.5696000000003,651.3452
,,,,,,,141,224.466,1320.2145,497.1725
,,,,,,,142,173.86270000000002,1023.2893,385.3333
,,,,,,,143,122.07800000000002,718.2912,270.54060000000004
,,,,,,,144,77.77550000000001,457.3987,172.28750000000002
,,,,,,,145,31.897800000000004,187.2519,70.4902
,,,,,,,146,24.021800000000002,141.1773,53.163000000000004
,,,,,,,147,34.4575,202.6101,76.3972
,,,,,,,148,78.76,463.69950000000006,174.6503
,,,,,,,149,162.24560000000002,954.965,359.7363
,,,,,,,150,264.04290000000003,1553.9348000000002,585.1868000000001
,,,,,,,151,330.5951,1945.372,732.6649000000001
,,,,,,,152,378.8356,2229.4987,839.5816000000001
,,,,,,,153,398.5256,2344.6852,882.8996000000001
,,,,,,,154,421.9567,2482.909,935.0781000000001
,,,,,,,155,500.32290000000006,2943.4581000000003,1108.547
,,,,,,,156,532.8114,3135.4356000000002,1180.8093000000001
,,,,,,,157,548.5634,3227.5848,1215.4637
,,,,,,,158,538.1277,3166.1520000000005,1192.2295
,,,,,,,159,532.8114,3135.4356000000002,1180.8093000000001
,,,,,,,160,510.75860000000006,3004.8909000000003,1131.5843
,,,,,,,161,484.5709,2851.3089000000004,1073.6957
,,,,,,,162,428.4544000000001,2521.1076,949.4518
,,,,,,,163,356.78280000000007,2098.954,790.3566000000001
,,,,,,,164,271.9189,1600.0094000000001,602.5140000000001
,,,,,,,165,206.745,1216.0544,457.98940000000005
,,,,,,,166,144.13080000000002,847.6545,319.17490000000004
,,,,,,,167,89.19570000000002,525.1323000000001,197.6876
,,,,,,,168,52.769200000000005,310.1175,116.7617
