Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_liqH2_tonne_per_hr_z1,Load_liqH2_tonne_per_hr_z2,Load_liqH2_tonne_per_hr_z3
50000000,1,1,0,7,24,792.0,1,0.845,4.96,1.87
,,,,,,1920.0,2,0.62,3.64,1.37
,,,,,,1512.0,3,0.87,5.125,1.93
,,,,,,1464.0,4,2.025,11.91,4.485
,,,,,,576.0,5,4.355,25.635,9.655
,,,,,,1080.0,6,7.0,41.185,15.51
,,,,,,1416.0,7,8.66,50.94,19.185
,,,,,,,8,9.925,58.385,21.985
,,,,,,,9,10.455,61.53,23.17
,,,,,,,10,10.005,58.88,22.175
,,,,,,,11,9.95,58.55,22.05
,,,,,,,12,10.315,60.7,22.86
,,,,,,,13,10.965,64.505,24.29
,,,,,,,14,11.385,66.985,25.225
,,,,,,,15,12.31,72.445,27.28
,,,,,,,16,13.07,76.91,28.965
,,,,,,,17,12.705,74.76,28.155
,,,,,,,18,11.945,70.295,26.47
,,,,,,,19,9.84,57.89,21.8
,,,,,,,20,7.225,42.505,16.01
,,,,,,,21,5.23,30.765,11.585
,,,,,,,22,3.935,23.155,8.72
,,,,,,,23,2.335,13.73,5.17
,,,,,,,24,1.32,7.775,2.925
,,,,,,,25,0.88,5.18,1.95
,,,,,,,26,0.645,3.8,1.43
,,,,,,,27,0.91,5.355,2.015
,,,,,,,28,2.115,12.435,4.68
,,,,,,,29,4.55,26.77,10.08
,,,,,,,30,7.31,43.0,16.195
,,,,,,,31,9.04,53.19,20.03
,,,,,,,32,10.36,60.96,22.955
,,,,,,,33,10.92,64.24,24.195
,,,,,,,34,10.45,61.48,23.15
,,,,,,,35,10.39,61.135,23.02
,,,,,,,36,10.77,63.38,23.87
,,,,,,,37,11.445,67.35,25.365
,,,,,,,38,11.885,69.94,26.34
,,,,,,,39,12.855,75.64,28.485
,,,,,,,40,13.65,80.305,30.24
,,,,,,,41,13.265,78.06,29.395
,,,,,,,42,12.475,73.395,27.64
,,,,,,,43,10.27,60.445,22.76
,,,,,,,44,7.545,44.38,16.715
,,,,,,,45,5.46,32.12,12.095
,,,,,,,46,4.11,24.175,9.105
,,,,,,,47,2.435,14.335,5.4
,,,,,,,48,1.38,8.115,3.055
,,,,,,,49,1.245,7.335,2.765
,,,,,,,50,0.9,5.3,1.995
,,,,,,,51,0.83,4.89,1.84
,,,,,,,52,1.23,7.235,2.725
,,,,,,,53,2.215,13.045,4.91
,,,,,,,54,3.635,21.4,8.06
,,,,,,,55,5.49,32.305,12.165
,,,,,,,56,7.5,44.125,16.615
,,,,,,,57,9.475,55.74,20.99
,,,,,,,58,10.51,61.855,23.295
,,,,,,,59,10.84,63.79,24.025
,,,,,,,60,11.31,66.54,25.06
,,,,,,,61,12.035,70.82,26.67
,,,,,,,62,12.575,73.98,27.86
,,,,,,,63,13.16,77.445,29.165
,,,,,,,64,13.49,79.38,29.895
,,,,,,,65,12.835,75.51,28.435
,,,,,,,66,11.62,68.375,25.75
,,,,,,,67,9.645,56.76,21.375
,,,,,,,68,7.465,43.92,16.54
,,,,,,,69,5.7,33.525,12.625
,,,,,,,70,4.415,25.985,9.785
,,,,,,,71,3.1,18.24,6.87
,,,,,,,72,1.975,11.615,4.375
,,,,,,,73,1.245,7.335,2.765
,,,,,,,74,0.9,5.3,1.995
,,,,,,,75,0.83,4.89,1.84
,,,,,,,76,1.23,7.235,2.725
,,,,,,,77,2.215,13.045,4.91
,,,,,,,78,3.635,21.4,8.06
,,,,,,,79,5.49,32.305,12.165
,,,,,,,80,7.5,44.125,16.615
,,,,,,,81,9.475,55.74,20.99
,,,,,,,82,10.51,61.855,23.295
,,,,,,,83,10.84,63.79,24.025
,,,,,,,84,11.31,66.54,25.06
,,,,,,,85,12.035,70.82,26.67
,,,,,,,86,12.575,73.98,27.86
,,,,,,,87,13.16,77.445,29.165
,,,,,,,88,13.49,79.38,29.895
,,,,,,,89,12.835,75.51,28.435
,,,,,,,90,11.62,68.375,25.75
,,,,,,,91,9.645,56.76,21.375
,,,,,,,92,7.465,43.92,16.54
,,,,,,,93,5.7,33.525,12.625
,,,,,,,94,4.415,25.985,9.785
,,,,,,,95,3.1,18.24,6.87
,,,,,,,96,1.975,11.615,4.375
,,,,,,,97,0.93,5.475,2.06
,,,,,,,98,0.68,4.015,1.51
,,,,,,,99,0.96,5.655,2.13
,,,,,,,100,2.23,13.135,4.945
,,,,,,,101,4.805,28.275,10.65
,,,,,,,102,7.72,45.425,17.105
,,,,,,,103,9.55,56.185,21.16
,,,,,,,104,10.945,64.395,24.25
,,,,,,,105,11.535,67.86,25.555
,,,,,,,106,11.035,64.945,24.455
,,,,,,,107,10.975,64.58,24.32
,,,,,,,108,11.38,66.95,25.21
,,,,,,,109,12.09,71.145,26.79
,,,,,,,110,12.555,73.88,27.825
,,,,,,,111,13.58,79.9,30.09
,,,,,,,112,14.415,84.825,31.945
,,,,,,,113,14.015,82.455,31.05
,,,,,,,114,13.175,77.53,29.195
,,,,,,,115,10.85,63.85,24.045
,,,,,,,116,7.97,46.885,17.655
,,,,,,,117,5.765,33.93,12.78
,,,,,,,118,4.34,25.54,9.62
,,,,,,,119,2.575,15.14,5.7
,,,,,,,120,1.455,8.575,3.23
,,,,,,,121,1.245,7.335,2.765
,,,,,,,122,0.9,5.3,1.995
,,,,,,,123,0.83,4.89,1.84
,,,,,,,124,1.23,7.235,2.725
,,,,,,,125,2.215,13.045,4.91
,,,,,,,126,3.635,21.4,8.06
,,,,,,,127,5.49,32.305,12.165
,,,,,,,128,7.5,44.125,16.615
,,,,,,,129,9.475,55.74,20.99
,,,,,,,130,10.51,61.855,23.295
,,,,,,,131,10.84,63.79,24.025
,,,,,,,132,11.31,66.54,25.06
,,,,,,,133,12.035,70.82,26.67
,,,,,,,134,12.575,73.98,27.86
,,,,,,,135,13.16,77.445,29.165
,,,,,,,136,13.49,79.38,29.895
,,,,,,,137,12.835,75.51,28.435
,,,,,,,138,11.62,68.375,25.75
,,,,,,,139,9.645,56.76,21.375
,,,,,,,140,7.465,43.92,16.54
,,,,,,,141,5.7,33.525,12.625
,,,,,,,142,4.415,25.985,9.785
,,,,,,,143,3.1,18.24,6.87
,,,,,,,144,1.975,11.615,4.375
,,,,,,,145,0.81,4.755,1.79
,,,,,,,146,0.61,3.585,1.35
,,,,,,,147,0.875,5.145,1.94
,,,,,,,148,2.0,11.775,4.435
,,,,,,,149,4.12,24.25,9.135
,,,,,,,150,6.705,39.46,14.86
,,,,,,,151,8.395,49.4,18.605
,,,,,,,152,9.62,56.615,21.32
,,,,,,,153,10.12,59.54,22.42
,,,,,,,154,10.715,63.05,23.745
,,,,,,,155,12.705,74.745,28.15
,,,,,,,156,13.53,79.62,29.985
,,,,,,,157,13.93,81.96,30.865
,,,,,,,158,13.665,80.4,30.275
,,,,,,,159,13.53,79.62,29.985
,,,,,,,160,12.97,76.305,28.735
,,,,,,,161,12.305,72.405,27.265
,,,,,,,162,10.88,64.02,24.11
,,,,,,,163,9.06,53.3,20.07
,,,,,,,164,6.905,40.63,15.3
,,,,,,,165,5.25,30.88,11.63
,,,,,,,166,3.66,21.525,8.105
,,,,,,,167,2.265,13.335,5.02
,,,,,,,168,1.34,7.875,2.965
