Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
1,1.0,0.0,1.0,0.870074809,0.0,1.0,0.775892258,1.0,1.0,1.0
2,1.0,0.0,1.0,0.993131042,0.0,1.0,0.751547635,1.0,1.0,1.0
3,1.0,0.0,1.0,0.966885746,0.0,1.0,0.772873163,1.0,1.0,1.0
4,1.0,0.0,1.0,0.952266693,0.0,1.0,0.812200904,1.0,1.0,1.0
5,1.0,0.0,1.0,0.785362065,0.0,1.0,0.781038046,1.0,1.0,1.0
6,1.0,0.0,1.0,0.542045534,0.0,1.0,0.952202082,1.0,1.0,1.0
7,1.0,0.0,1.0,0.649721563,0.0,1.0,0.860494018,1.0,1.0,1.0
8,1.0,0.0032,1.0,0.757848263,0.0,1.0,0.786825061,1.0,1.0,1.0
9,1.0,0.2384,1.0,0.52270031,0.2432,1.0,0.747753084,1.0,1.0,1.0
10,1.0,0.4037,1.0,0.278034478,0.4211,1.0,0.891163349,1.0,1.0,1.0
11,1.0,0.4987,1.0,0.550669134,0.5184,1.0,0.697574377,1.0,1.0,1.0
12,1.0,0.5164,1.0,0.887624919,0.507,1.0,0.704690576,1.0,1.0,1.0
13,1.0,0.5155,1.0,0.900511742,0.5207,1.0,0.78763783,1.0,1.0,1.0
14,1.0,0.5077,1.0,0.872739136,0.5885,1.0,0.657645702,1.0,1.0,1.0
15,1.0,0.4962,1.0,0.961140275,0.5703,1.0,0.865047574,1.0,1.0,1.0
16,1.0,0.3746,1.0,0.931884527,0.4369,1.0,0.959613502,1.0,1.0,1.0
17,1.0,0.2158,1.0,0.907707751,0.255,1.0,0.982016504,1.0,1.0,1.0
18,1.0,0.0,1.0,0.949206114,0.0015,1.0,0.993035913,1.0,1.0,1.0
19,1.0,0.0,1.0,0.83072561,0.0,1.0,0.942026377,1.0,1.0,1.0
20,1.0,0.0,1.0,0.611792326,0.0,1.0,0.94190979,1.0,1.0,1.0
21,1.0,0.0,1.0,0.597410083,0.0,1.0,0.971319258,1.0,1.0,1.0
22,1.0,0.0,1.0,0.835335076,0.0,1.0,0.971747637,1.0,1.0,1.0
23,1.0,0.0,1.0,0.6421296,0.0,1.0,0.852192342,1.0,1.0,1.0
24,1.0,0.0,1.0,0.503539562,0.0,1.0,0.847717762,1.0,1.0,1.0
25,1.0,0.0,1.0,0.516684294,0.0,1.0,0.18132101,1.0,1.0,1.0
26,1.0,0.0,1.0,0.200676456,0.0,1.0,0.139478579,1.0,1.0,1.0
27,1.0,0.0,1.0,0.124332264,0.0,1.0,0.158513397,1.0,1.0,1.0
28,1.0,0.0,1.0,0.040397804,0.0,1.0,0.258819371,1.0,1.0,1.0
29,1.0,0.0,1.0,0.031570446,0.0,1.0,0.347566664,1.0,1.0,1.0
30,1.0,0.0,1.0,0.119748175,0.0,1.0,0.335642815,1.0,1.0,1.0
31,1.0,0.0,1.0,0.099887632,0.0,1.0,0.28139779,1.0,1.0,1.0
32,1.0,0.1353,1.0,0.057780869,0.1354,1.0,0.215508968,1.0,1.0,1.0
33,1.0,0.3241,1.0,0.034937978,0.3278,1.0,0.411743343,1.0,1.0,1.0
34,1.0,0.4493,1.0,0.021822968,0.4588,1.0,0.360333353,1.0,1.0,1.0
35,1.0,0.5111,1.0,0.016833968,0.5147,1.0,0.274066985,1.0,1.0,1.0
36,1.0,0.5157,1.0,0.033941843,0.5454,1.0,0.119847938,1.0,1.0,1.0
37,1.0,0.5283,1.0,0.042937491,0.5871,1.0,0.131144375,1.0,1.0,1.0
38,1.0,0.5478,1.0,0.07188642,0.6394,1.0,0.142771155,1.0,1.0,1.0
39,1.0,0.5083,1.0,0.177145556,0.6015,1.0,0.107926778,1.0,1.0,1.0
40,1.0,0.4275,1.0,0.235143512,0.4526,1.0,0.099619679,1.0,1.0,1.0
41,1.0,0.2737,1.0,0.288483322,0.2548,1.0,0.124753639,1.0,1.0,1.0
42,1.0,0.0788,1.0,0.241350159,0.0717,1.0,0.151884228,1.0,1.0,1.0
43,1.0,0.0,1.0,0.079196244,0.0,1.0,0.351649582,1.0,1.0,1.0
44,1.0,0.0,1.0,0.203926861,0.0,1.0,0.419323832,1.0,1.0,1.0
45,1.0,0.0,1.0,0.190272316,0.0,1.0,0.256727844,1.0,1.0,1.0
46,1.0,0.0,1.0,0.238685489,0.0,1.0,0.322941542,1.0,1.0,1.0
47,1.0,0.0,1.0,0.346415222,0.0,1.0,0.364507675,1.0,1.0,1.0
48,1.0,0.0,1.0,0.324332952,0.0,1.0,0.364395738,1.0,1.0,1.0
49,1.0,0.0,1.0,0.622024417,0.0,1.0,0.555813074,1.0,1.0,1.0
50,1.0,0.0,1.0,0.764623284,0.0,1.0,0.538930714,1.0,1.0,1.0
51,1.0,0.0,1.0,0.715029895,0.0,1.0,0.462965727,1.0,1.0,1.0
52,1.0,0.0,1.0,0.372809708,0.0,1.0,0.360287905,1.0,1.0,1.0
53,1.0,0.0,1.0,0.113940589,0.0,1.0,0.488380849,1.0,1.0,1.0
54,1.0,0.0,1.0,0.056374628,0.0,1.0,0.599999964,1.0,1.0,1.0
55,1.0,0.0,1.0,0.016238747,0.0,1.0,0.561654091,1.0,1.0,1.0
56,1.0,0.1809,1.0,0.333949357,0.1937,1.0,0.482259929,1.0,1.0,1.0
57,1.0,0.3869,1.0,0.144480377,0.4011,1.0,0.261952311,1.0,1.0,1.0
58,1.0,0.5486,1.0,2.18e-5,0.5435,1.0,0.171321541,1.0,1.0,1.0
