H2_Resource,Zone,H2_FLEX,H2_GEN_TYPE,H2_Electrolyzer,Blue_H2,Grey_H2,H2_STOR,LDS,New_Build,etaP2G_MWh_p_tonne,etaFuel_MMBtu_p_tonne,Inv_Cost_p_tonne_p_hr_yr,Inv_Cost_Charge_p_tonne_p_hr_yr,Inv_Cost_Energy_p_tonne_yr,Fixed_OM_Cost_p_tonne_p_hr_yr,Fixed_OM_Cost_Charge_p_tonne_p_hr_yr,Fixed_OM_Cost_Energy_p_tonne_yr,Var_OM_Cost_p_tonne,Var_OM_Cost_Charge_p_tonne,Fuel,Max_Cap_tonne_p_hr,Min_Cap_tonne_p_hr,Max_Charge_Cap_tonne_p_hr,Min_Charge_Cap_tonne_p_hr,Max_Energy_Cap_tonne,Min_Energy_Cap_tonne,Existing_Cap_tonne_p_hr,Existing_Charge_Cap_tonne_p_hr,Existing_Energy_Cap_tonne,Cap_Size_tonne_p_hr,Ramp_Up_Percentage,Ramp_Down_Percentage,H2Gen_min_output,H2Stor_min_level,H2Stor_max_level,H2Stor_self_discharge_rate_p_hour,H2Stor_Charge_MWh_p_tonne,H2Stor_Charge_MMBtu_p_tonne,H2Stor_eff_charge,H2Stor_eff_discharge,Start_Cost_per_tonne_p_hr,Up_Time,Down_Time,Flexible_Demand_Energy_Eff,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,CCS_Rate,CapRes_1,CapRes_2,CapRes_3,CapRes_4,CapRes_5,CapRes_6,CapRes_7,CapRes_8,CapRes_9,CapRes_10,CapRes_11
MIS_INKY_Electrolyzer,1,0,2,1,0,0,0,0,1,48.26,0,2700959.77,0,0,69144.57,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0
PJM_WMAC_Electrolyzer,2,0,2,1,0,0,0,0,1,48.26,0,2700959.77,0,0,69144.57,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0
PJM_SMAC_Electrolyzer,3,0,2,1,0,0,0,0,1,48.26,0,2700959.77,0,0,69144.57,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0
PJM_West_Electrolyzer,4,0,2,1,0,0,0,0,1,48.26,0,2700959.77,0,0,69144.57,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0
PJM_AP_Electrolyzer,5,0,2,1,0,0,0,0,1,48.26,0,2700959.77,0,0,69144.57,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0
PJM_COMD_Electrolyzer,6,0,2,1,0,0,0,0,1,48.26,0,2700959.77,0,0,69144.57,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0
PJM_ATSI_Electrolyzer,7,0,2,1,0,0,0,0,1,48.26,0,2700959.77,0,0,69144.57,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0
PJM_Dom_Electrolyzer,8,0,2,1,0,0,0,0,1,48.26,0,2700959.77,0,0,69144.57,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0
PJM_PENE_Electrolyzer,9,0,2,1,0,0,0,0,1,48.26,0,2700959.77,0,0,69144.57,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0
S_C_KY_Electrolyzer,10,0,2,1,0,0,0,0,1,48.26,0,2700959.77,0,0,69144.57,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0
PJM_EMAC_Electrolyzer,11,0,2,1,0,0,0,0,1,48.26,0,2700959.77,0,0,69144.57,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,0.04,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
MIS_INKY_Large_SMR,1,0,2,0,0,1,0,0,1,0.646,174.811,1177544.791,0,0,538939.6064,0,0,88.638,0,east_north_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WMAC_Large_SMR,2,0,2,0,0,1,0,0,1,0.646,174.811,1177544.791,0,0,538939.6064,0,0,88.638,0,middle_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_SMAC_Large_SMR,3,0,2,0,0,1,0,0,1,0.646,174.811,1177544.791,0,0,538939.6064,0,0,88.638,0,middle_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_West_Large_SMR,4,0,2,0,0,1,0,0,1,0.646,174.811,1177544.791,0,0,538939.6064,0,0,88.638,0,east_north_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_AP_Large_SMR,5,0,2,0,0,1,0,0,1,0.646,174.811,1177544.791,0,0,538939.6064,0,0,88.638,0,south_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_COMD_Large_SMR,6,0,2,0,0,1,0,0,1,0.646,174.811,1177544.791,0,0,538939.6064,0,0,88.638,0,east_north_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_ATSI_Large_SMR,7,0,2,0,0,1,0,0,1,0.646,174.811,1177544.791,0,0,538939.6064,0,0,88.638,0,east_north_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_Dom_Large_SMR,8,0,2,0,0,1,0,0,1,0.646,174.811,1177544.791,0,0,538939.6064,0,0,88.638,0,south_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_PENE_Large_SMR,9,0,2,0,0,1,0,0,1,0.646,174.811,1177544.791,0,0,538939.6064,0,0,88.638,0,middle_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_C_KY_Large_SMR,10,0,2,0,0,1,0,0,1,0.646,174.811,1177544.791,0,0,538939.6064,0,0,88.638,0,east_south_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_EMAC_Large_SMR,11,0,2,0,0,1,0,0,1,0.646,174.811,1177544.791,0,0,538939.6064,0,0,88.638,0,middle_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIS_INKY_Large_SMR_wCCS_96pct,1,0,2,0,1,0,0,0,1,2.037,185.877,2864802.371,0,0,1182564.323,0,0,246.8298,0,east_north_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,10,3,3,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0
PJM_WMAC_Large_SMR_wCCS_96pct,2,0,2,0,1,0,0,0,1,2.037,185.877,2864802.371,0,0,1182564.323,0,0,246.8298,0,middle_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,10,3,3,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0
PJM_SMAC_Large_SMR_wCCS_96pct,3,0,2,0,1,0,0,0,1,2.037,185.877,2864802.371,0,0,1182564.323,0,0,246.8298,0,middle_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,10,3,3,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0
PJM_West_Large_SMR_wCCS_96pct,4,0,2,0,1,0,0,0,1,2.037,185.877,2864802.371,0,0,1182564.323,0,0,246.8298,0,east_north_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,10,3,3,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0
PJM_AP_Large_SMR_wCCS_96pct,5,0,2,0,1,0,0,0,1,2.037,185.877,2864802.371,0,0,1182564.323,0,0,246.8298,0,south_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,10,3,3,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0
PJM_COMD_Large_SMR_wCCS_96pct,6,0,2,0,1,0,0,0,1,2.037,185.877,2864802.371,0,0,1182564.323,0,0,246.8298,0,east_north_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,10,3,3,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0
PJM_ATSI_Large_SMR_wCCS_96pct,7,0,2,0,1,0,0,0,1,2.037,185.877,2864802.371,0,0,1182564.323,0,0,246.8298,0,east_north_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,10,3,3,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0
PJM_Dom_Large_SMR_wCCS_96pct,8,0,2,0,1,0,0,0,1,2.037,185.877,2864802.371,0,0,1182564.323,0,0,246.8298,0,south_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,10,3,3,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0
PJM_PENE_Large_SMR_wCCS_96pct,9,0,2,0,1,0,0,0,1,2.037,185.877,2864802.371,0,0,1182564.323,0,0,246.8298,0,middle_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,10,3,3,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0
S_C_KY_Large_SMR_wCCS_96pct,10,0,2,0,1,0,0,0,1,2.037,185.877,2864802.371,0,0,1182564.323,0,0,246.8298,0,east_south_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,10,3,3,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0
PJM_EMAC_Large_SMR_wCCS_96pct,11,0,2,0,1,0,0,0,1,2.037,185.877,2864802.371,0,0,1182564.323,0,0,246.8298,0,middle_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,20.1,0.5,0.5,0.85,0,0,0,0,0,0,0,10,3,3,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0
MIS_INKY_ATR_wCCS_94pct,1,0,2,0,1,0,0,0,1,4,174.706,2264267.963,0,0,917249.7054,0,0,364.752,0,east_north_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,27.5,0.5,0.5,0.85,0,0,0,0,0,0,0,10,22,12,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0
PJM_WMAC_ATR_wCCS_94pct,2,0,2,0,1,0,0,0,1,4,174.706,2264267.963,0,0,917249.7054,0,0,364.752,0,middle_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,27.5,0.5,0.5,0.85,0,0,0,0,0,0,0,10,22,12,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0
PJM_SMAC_ATR_wCCS_94pct,3,0,2,0,1,0,0,0,1,4,174.706,2264267.963,0,0,917249.7054,0,0,364.752,0,middle_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,27.5,0.5,0.5,0.85,0,0,0,0,0,0,0,10,22,12,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0
PJM_West_ATR_wCCS_940pct,4,0,2,0,1,0,0,0,1,4,174.706,2264267.963,0,0,917249.7054,0,0,364.752,0,east_north_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,27.5,0.5,0.5,0.85,0,0,0,0,0,0,0,10,22,12,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0
PJM_AP_ATR_wCCS_94pct,5,0,2,0,1,0,0,0,1,4,174.706,2264267.963,0,0,917249.7054,0,0,364.752,0,south_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,27.5,0.5,0.5,0.85,0,0,0,0,0,0,0,10,22,12,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0
PJM_COMD_ATR_wCCS_94pct,6,0,2,0,1,0,0,0,1,4,174.706,2264267.963,0,0,917249.7054,0,0,364.752,0,east_north_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,27.5,0.5,0.5,0.85,0,0,0,0,0,0,0,10,22,12,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0
PJM_ATSI_ATR_wCCS_94pct,7,0,2,0,1,0,0,0,1,4,174.706,2264267.963,0,0,917249.7054,0,0,364.752,0,east_north_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,27.5,0.5,0.5,0.85,0,0,0,0,0,0,0,10,22,12,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0
PJM_Dom_ATR_wCCS_94pct,8,0,2,0,1,0,0,0,1,4,174.706,2264267.963,0,0,917249.7054,0,0,364.752,0,south_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,27.5,0.5,0.5,0.85,0,0,0,0,0,0,0,10,22,12,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0
PJM_PENE_ATR_wCCS_94pct,9,0,2,0,1,0,0,0,1,4,174.706,2264267.963,0,0,917249.7054,0,0,364.752,0,middle_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,27.5,0.5,0.5,0.85,0,0,0,0,0,0,0,10,22,12,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0
S_C_KY_ATR_wCCS_94pct,10,0,2,0,1,0,0,0,1,4,174.706,2264267.963,0,0,917249.7054,0,0,364.752,0,east_south_central_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,27.5,0.5,0.5,0.85,0,0,0,0,0,0,0,10,22,12,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0
PJM_EMAC_ATR_wCCS_94pct,11,0,2,0,1,0,0,0,1,4,174.706,2264267.963,0,0,917249.7054,0,0,364.752,0,middle_atlantic_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,27.5,0.5,0.5,0.85,0,0,0,0,0,0,0,10,22,12,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0
MIS_INKY_Above_ground_storage,1,0,0,0,0,0,1,1,1,0.385,0,0,126773.5361,34379.26403,0,0,1132.494,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WMAC_Above_ground_storage,2,0,0,0,0,0,1,1,1,0.385,0,0,126773.5361,34379.26403,0,0,1132.494,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_SMAC_Above_ground_storage,3,0,0,0,0,0,1,1,1,0.385,0,0,126773.5361,34379.26403,0,0,1132.494,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_West_Above_ground_storage,4,0,0,0,0,0,1,1,1,0.385,0,0,126773.5361,34379.26403,0,0,1132.494,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_AP_Above_ground_storage,5,0,0,0,0,0,1,1,1,0.385,0,0,126773.5361,34379.26403,0,0,1132.494,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_COMD_Above_ground_storage,6,0,0,0,0,0,1,1,1,0.385,0,0,126773.5361,34379.26403,0,0,1132.494,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_ATSI_Above_ground_storage,7,0,0,0,0,0,1,1,1,0.385,0,0,126773.5361,34379.26403,0,0,1132.494,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_Dom_Above_ground_storage,8,0,0,0,0,0,1,1,1,0.385,0,0,126773.5361,34379.26403,0,0,1132.494,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_PENE_Above_ground_storage,9,0,0,0,0,0,1,1,1,0.385,0,0,126773.5361,34379.26403,0,0,1132.494,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_C_KY_Above_ground_storage,10,0,0,0,0,0,1,1,1,0.385,0,0,126773.5361,34379.26403,0,0,1132.494,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_EMAC_Above_ground_storage,11,0,0,0,0,0,1,1,1,0.385,0,0,126773.5361,34379.26403,0,0,1132.494,0,0,None,-1,0,-1,0,-1,0,0,0,0,0,1,1,0,0.3,1,0,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
