CO2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,s1,s2,s3,s4,s5,s6,s7,s8,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_hr_Per_Pipe,Pipe_length_miles,CO2PipeLoss_tonne_per_mile_per_tonne,CO2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,CO2_len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,CO2Pipe_Inv_Cost_per_mile_yr_Mean,CO2Pipe_Fixed_OM_Cost_per_mile_yr_Mean,CO2Pipe_Energy_MWh_per_mile_per_tonne_Mean,transmission_path_name
1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1000,0,1141.552511,86.5,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_INKY_to_Knox3
2,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1000,0,1141.552511,168.5,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_INKY_to_Knox4
3,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1000,0,1141.552511,218.2,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_INKY_to_Knox5
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1000,0,1141.552511,221.7,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_INKY_to_Knox6
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1000,0,1141.552511,75.2,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_INKY_to_Mount_Simon5
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1000,0,1141.552511,104.2,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_INKY_to_Mount_Simon6
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1000,0,1141.552511,309,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_West_to_Mount_Simon6
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,1000,0,1141.552511,174.8,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_ATSI_to_Mount_Simon10
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1000,0,1141.552511,155.9,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_West_to_Mount_Simon10
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1000,0,1141.552511,135,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_EMAC_to_Waste_Gate1
