H2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_Hr_Per_Pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,H2PipeCompCapex,H2PipeCompEnergy,transmission_path_name
39,0,0,0,-1,1,0,0,0,0,0,0,1000,0,97.3865625,90608.46497,185,0.36,0,31,5.07E+04,0.15,225783.9223,0.289,PJM_AP_to_PJM_West
40,0,0,0,-1,0,0,0,0,1,0,0,1000,0,97.3865625,90608.46497,185,0.36,0,31,5.07E+04,0.15,225783.9223,0.289,PJM_PENE_to_PJM_West
41,0,1,0,-1,0,0,0,0,0,0,0,1000,0,97.3865625,90608.46497,185,0.36,0,31,5.07E+04,0.15,225783.9223,0.289,PJM_WMAC_to_PJM_West
42,0,0,0,0,1,0,0,-1,0,0,0,1000,0,24.236,90608.46497,180,0.36,0,31,5.07E+04,0.15,225783.9223,0.289,PJM_AP_to_PJM_Dom
43,0,0,0,0,0,0,0,-1,1,0,0,1000,0,24.236,90608.46497,180,0.36,0,31,5.07E+04,0.15,225783.9223,0.289,PJM_PENE_to_PJM_Dom
44,0,1,0,0,0,0,0,-1,0,0,0,1000,0,24.236,90608.46497,180,0.36,0,31,5.07E+04,0.15,225783.9223,0.289,PJM_WMAC_to_PJM_Dom
45,0,-1,0,0,0,0,0,0,0,0,1,1000,0,23.5,90608.46497,65,0.36,0,31,5.07E+04,0.15,225783.9223,0.289,PJM_EMAC_to_PJM_WMAC
46,0,0,0,0,-1,0,0,0,0,0,1,1000,0,23.5,90608.46497,295,0.36,0,31,5.07E+04,0.15,225783.9223,0.289,PJM_EMAC_to_PJM_AP
47,0,1,0,0,0,0,0,0,0,0,-1,1000,0,51.25,90608.46497,65,0.36,0,31,5.07E+04,0.15,225783.9223,0.289,PJM_WMAC_to_PJM_EMAC
48,0,0,0,0,1,0,0,0,0,0,-1,1000,0,51.25,90608.46497,295,0.36,0,31,5.07E+04,0.15,225783.9223,0.289,PJM_AP_to_PJM_EMAC
