Resource,Zone,StartCap,RetCap,NewCap,EndCap,MaxAnnualGeneration,AnnualGeneration,CapacityFactor
SE_CCGT-H2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_CCGT-H2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
NE_CCGT-H2,3,0,0.0,488.21973143710636,488.21973143710636,4.276804847389052e6,859593.9866503625,0.20098976159156207
SE_Fuel_Cell,1,0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_Fuel_Cell,2,0,0.0,0.0,0.0,0.0,0.0,0.0
NE_Fuel_Cell,3,0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,0,0.0,488.21973143710636,488.21973143710636,4.276804847389052e6,859593.9866503625,-
