,Generation,Biohydrogen Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Biohydrogen Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Biohydrogen Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand
Zone,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
AnnualSum,5.131888153154123e6,1.972610894464925e6,1251.4285714285716,-1390.4761904761904,1.0839415473526358e6,-1.0839415473526348e6,0.0,0.0,0.0,0.0,-7.104359999999994e6,6.771480000000001e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.771480000000001e6,3.6132124833980817e6,0.0,0.0,0.0,230443.744005203,-230443.7440052031,0.0,0.0,0.0,56652.4833980831,-3.55656e6
t1,352.99832409284573,225.18389206220613,4.0,-0.0,228.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,419.61190021886347,0.0,0,0,0.0,-3.63324506636405,0.0,0.0,0,9.978655152499414,-406.0
t2,352.99832409284573,225.18389206220613,4.0,-0.0,228.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,435.47631540039254,0.0,0,0,0.0,-29.476315400392537,0.0,0.0,0,0.0,-406.0
t3,708.4012895806304,225.18389206220613,0.0,-8.0,0.0,-114.58518164283663,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t4,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968562,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t5,875.1927286219984,225.18389206220613,0.0,-5.333333333333333,0.0,-284.04328735087114,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t6,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,-2.8421709430404007e-13,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t7,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.48501759685587,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t8,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t9,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t10,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t11,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t12,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t13,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t14,494.4631756427804,225.18389206220613,0.0,-0.0,91.35293229501347,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
