Resource,SE_Flex_Demand,SE_Electrolyzer,MIDAT_Electrolyzer,NE_Electrolyzer,SE_Large_SMR,MIDAT_Large_SMR,NE_Large_SMR,SE_Large_SMR_wCCS_90pct,MIDAT_Large_SMR_wCCS_90pct,NE_Large_SMR_wCCS_90pct,SE_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct,NE_ATR_wCCS_90pct,SE_Above_ground_storage,MIDAT_Above_ground_storage,NE_Above_ground_storage
Zone,1,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
AnnualSum,1390.4762,2.1307488e6,0.0,350467.06,0.0,0.0,0.0,0.0,0.0,0.0,3.0011395e6,6.77148e6,3.2627455e6,1.0839415e6,0.0,230443.75
t1,0.0,0.0,0.0,46.80838672651941,0.0,0.0,0.0,0.0,0.0,0.0,352.99832409284573,773.0,372.80351349234405,228.81778384494814,0.0,0.0
t2,0.0,0.0,0.0,62.672801908048484,0.0,0.0,0.0,0.0,0.0,0.0,352.99832409284573,773.0,372.80351349234405,228.81778384494814,0.0,0.0
t3,8.0,355.40296548778474,0.0,107.23794361678472,0.0,0.0,0.0,0.0,0.0,0.0,352.99832409284573,773.0,372.80351349234405,0.0,0.0,0.0
t4,0.0,540.3028014418044,0.0,107.23794361678472,0.0,0.0,0.0,0.0,0.0,0.0,352.99832409284573,773.0,372.80351349234405,0.0,0.0,0.0
t5,5.333333333333333,522.1944045291526,0.0,107.23794361678472,0.0,0.0,0.0,0.0,0.0,0.0,352.99832409284573,773.0,372.80351349234405,0.0,0.0,0.0
t6,0.0,540.3028014418044,0.0,107.23794361678472,0.0,0.0,0.0,0.0,0.0,0.0,352.99832409284573,773.0,372.80351349234405,0.0,0.0,-2.8421709430404007e-13
t7,0.0,540.3028014418044,0.0,107.23794361678472,0.0,0.0,0.0,0.0,0.0,0.0,352.99832409284573,773.0,372.80351349234405,0.0,0.0,0.0
t8,0.0,540.3028014418044,0.0,107.23794361678472,0.0,0.0,0.0,0.0,0.0,0.0,352.99832409284573,773.0,372.80351349234405,0.0,0.0,0.0
t9,0.0,540.3028014418044,0.0,107.23794361678472,0.0,0.0,0.0,0.0,0.0,0.0,352.99832409284573,773.0,372.80351349234405,0.0,0.0,0.0
t10,0.0,540.3028014418044,0.0,107.23794361678472,0.0,0.0,0.0,0.0,0.0,0.0,352.99832409284573,773.0,372.80351349234405,0.0,0.0,0.0
t11,0.0,540.3028014418044,0.0,107.23794361678472,0.0,0.0,0.0,0.0,0.0,0.0,352.99832409284573,773.0,372.80351349234405,0.0,0.0,0.0
t12,0.0,540.3028014418044,0.0,107.23794361678472,0.0,0.0,0.0,0.0,0.0,0.0,352.99832409284573,773.0,372.80351349234405,0.0,0.0,0.0
