Resource,Zone,StartCap,RetCap,NewCap,EndCap
G2P_1,1,0,0.0,0.0,0.0
G2P_2,2,0,0.0,0.0,0.0
G2P_3,3,0,0.0,0.0,0.0
Total,n/a,0,0.0,0.0,0.0
