,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand
t16,0.0,0,0,6.568527117025219,-0.0,0.0,19.371472882974782,0,0.0,-25.94,25.429166666666646,0.0,-0.0,27.82000000000002,-0.0,0.0,99.36083333333335,0,0.0,-152.61,211.1908887594737,0,0,0.0,-68.10402954022797,0.0,-85.61685921924573,0,0.0,-57.47
t17,0.0,0,0,5.2385271170252174,-0.0,0.0,19.371472882974782,0,0.0,-24.61,25.429166666666646,4.0,-0.0,16.02000000000001,-0.0,0.0,99.36083333333335,0,0.0,-144.81,211.1908887594737,0,0,0.0,-89.43858254316555,0.0,-67.22230621630814,0,0.0,-54.53
t18,0.0,0,0,2.3885271170252196,-0.0,0.0,19.371472882974782,0,0.0,-21.76,25.429166666666646,3.2500000000000053,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-128.04,211.1908887594737,0,0,0.0,-89.43858254316555,0.0,-73.53230621630814,0,0.0,-48.22
t19,0.0,0,0,0.0,-1.251472882974781,0.0,19.371472882974782,0,0.0,-18.12,7.239166666666648,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-106.6,211.1908887594737,0,0,0.0,-89.43858254316555,0.0,-81.61230621630816,0,0.0,-40.14
t20,0.0,0,0,0.0,-0.0,0.0,13.81,0,0.0,-13.81,0.0,0.0,-4.0,0.0,-14.100833333333341,0.0,99.36083333333335,0,0.0,-81.26,211.1908887594737,0,0,0.0,-89.43858254316555,0.0,-91.15230621630815,0,0.0,-30.6
t21,0.0,0,0,0.0,-0.0,0.0,10.5,0,0.0,-10.5,0.0,0.0,-3.2500000000000053,0.0,-20.440833333333337,0.0,85.45083333333334,0,0.0,-61.76,211.1908887594737,0,0,0.0,-89.43858254316555,0.0,-98.49230621630815,0,0.0,-23.26
t22,0.0,0,0,0.0,-4.860721267617902,0.0,12.180721267617866,0,0.0,-7.32,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,63.490833333333335,0,0.0,-43.05,211.1908887594737,0,0,0.0,-89.43858254316555,0.0,-105.54230621630813,0,0.0,-16.21
t23,0.0,0,0,0.0,-4.860721267617902,0.0,9.390721267617902,0,0.0,-4.53,0.0,0.0,-0.40000000000000036,0.0,-20.440833333333337,0.0,47.51083333333334,0,0.0,-26.67,211.1908887594737,0,0,0.0,-89.43858254316555,0.0,-111.71230621630815,0,0.0,-10.04
t24,0.0,0,0,0.0,-4.860721267617902,0.0,7.5407212676179025,0,0.0,-2.68,0.0,0.0,-0.4055555555555563,0.0,-20.440833333333337,0.0,36.596388888888896,0,0.0,-15.75,211.1908887594737,0,0,0.0,-89.43858254316555,0.0,-115.82230621630814,0,0.0,-5.93
t25,0.0,0,0,0.0,-4.860721267617902,0.0,7.350721267617903,0,0.0,-2.49,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,35.110833333333346,0,0.0,-14.67,211.1908887594737,0,0,0.0,-89.43858254316555,0.0,-116.22230621630814,0,0.0,-5.53
t26,0.0,0,0,0.0,-4.860721267617902,0.0,6.660721267617902,0,0.0,-1.8,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,31.04083333333334,0,0.0,-10.6,211.1908887594737,0,0,0.0,-89.43858254316555,0.0,-117.76230621630813,0,0.0,-3.99
t27,0.0,0,0,0.0,-4.860721267617902,0.0,6.520721267617901,0,0.0,-1.66,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,30.22083333333334,0,0.0,-9.78,211.07158240127157,0,0,0.0,-88.65927618496346,0.0,-118.73230621630813,0,0.0,-3.68
t28,0.0,0,0,0.0,-4.860721267617902,0.0,7.320721267617902,0,0.0,-2.46,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,34.910833333333336,0,0.0,-14.47,204.88726427926304,0,0,0.0,-80.70495806295489,0.0,-118.73230621630813,0,0.0,-5.45
t29,0.0,0,0,0.0,-4.860721267617902,0.0,9.2907212676179,0,0.0,-4.43,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,46.530833333333334,0,0.0,-26.09,211.1908887594737,0,0,0.0,-82.63858254316557,0.0,-118.73230621630813,0,0.0,-9.82
t30,0.0,0,0,0.0,-4.860721267617902,0.0,12.1307212676179,0,0.0,-7.27,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,63.240833333333335,0,0.0,-42.8,203.24717275310238,0,0,0.0,-68.3948665367943,0.0,-118.73230621630813,0,0.0,-16.12
t31,0.0,0,0,0.0,-4.860721267617902,0.0,15.840721267617901,0,0.0,-10.98,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,85.05083333333334,0,0.0,-64.61,117.72470994190999,0,0,0.0,-0.0,0.0,-93.39470994191001,0,0.0,-24.33
t32,0.0,0,0,0.0,-4.371472882974782,0.0,19.371472882974782,0,0.0,-15.0,0.0,0.0,-0.0,0.0,-11.110833333333346,0.0,99.36083333333335,0,0.0,-88.25,38.31740207684334,0,0,0.0,-0.0,0.0,-5.08740207684334,0,0.0,-33.23
t33,0.0,0,0,0.0,-0.4214728829747827,0.0,19.371472882974782,0,0.0,-18.95,12.119166666666658,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-111.48,25.193116960373928,0,0,16.78688303962607,-0.0,0.0,0.0,0,0.0,-41.98
t34,0.0,0,0,1.6485271170252176,-0.0,0.0,19.371472882974782,0,0.0,-21.02,24.349166666666648,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-123.71,29.61004139778373,0,0,128.36114683521248,-0.0,0.0,-111.38118823299621,0,0.0,-46.59
t35,0.0,0,0,2.3085271170252177,-0.0,0.0,19.371472882974782,0,0.0,-21.68,25.429166666666646,0.0,-0.0,2.7900000000000063,-0.0,0.0,99.36083333333335,0,0.0,-127.58,39.919084512182884,0,0,29.04507787209903,-0.0,0.0,-20.914162384281912,0,0.0,-48.05
t36,0.0,0,0,3.248527117025219,-0.0,0.0,19.371472882974782,0,0.0,-22.62,25.429166666666646,0.0,-0.0,8.29000000000002,-0.0,0.0,99.36083333333335,0,0.0,-133.08,84.86301805992848,0,0,0.0,-0.0,0.0,-34.74301805992849,0,0.0,-50.12
t37,0.0,0,0,4.698527117025218,-0.0,0.0,19.371472882974782,0,0.0,-24.07,25.429166666666646,0.0,-0.0,16.849999999999568,-0.0,0.0,99.36083333333335,0,0.0,-141.64,83.29066695257454,0,0,69.41016638075884,-0.0,0.0,-99.36083333333335,0,0.0,-53.34
t38,0.0,0,0,5.778527117025217,-0.0,0.0,19.371472882974782,0,0.0,-25.15,25.429166666666646,0.0,-0.0,23.170000000000016,-0.0,0.0,99.36083333333335,0,0.0,-147.96,138.90191590782052,0,0,16.17891742551285,-0.0,0.0,-99.36083333333335,0,0.0,-55.72
t39,0.0,0,0,6.948527117025218,-0.0,0.0,19.371472882974782,0,0.0,-26.32,25.429166666666646,0.0,-0.0,30.099999999999994,-0.0,0.0,99.36083333333335,0,0.0,-154.89,156.4146084824037,0,0,0.0,-0.0,0.0,-98.08460848240368,0,0.0,-58.33
t40,0.0,0,0,7.6085271170252184,-0.0,0.0,19.371472882974782,0,0.0,-26.98,25.429166666666646,0.0,-0.0,33.97,-0.0,0.0,99.36083333333335,0,0.0,-158.76,166.91861149506414,0,0,0.0,-0.0,0.0,-107.12861149506418,0,0.0,-59.79
t41,0.0,0,0,6.29852711702522,-0.0,0.0,19.371472882974782,0,0.0,-25.67,25.429166666666646,0.0,-0.0,26.230000000000018,-0.0,0.0,99.36083333333335,0,0.0,-151.02,147.6186113514351,0,0,0.0,-0.0,0.0,-90.74861135143512,0,0.0,-56.87
t42,0.0,0,0,3.8685271170252165,-0.0,0.0,19.371472882974782,0,0.0,-23.24,25.429166666666646,0.0,-0.0,11.960000000000008,-0.0,0.0,99.36083333333335,0,0.0,-136.75,59.524684857313815,0,0,0.0,-0.0,0.0,-8.024684857313812,0,0.0,-51.5
t43,0.0,0,0,0.0,-0.0,0.0,19.29,0,0.0,-19.29,14.15916666666665,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-113.52,200.54947988671083,0,0,0.0,-39.06717367040274,0.0,-118.73230621630813,0,0.0,-42.75
t44,0.0,0,0,0.0,-0.0,0.0,14.93,0,0.0,-14.93,0.0,0.0,-0.0,0.0,-11.520833333333343,0.0,99.36083333333335,0,0.0,-87.84,211.1908887594737,0,0,0.0,-59.37858254316558,0.0,-118.73230621630813,0,0.0,-33.08
t45,0.0,0,0,0.0,-0.0,0.0,11.4,0,0.0,-11.4,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,87.49083333333334,0,0.0,-67.05,211.1908887594737,0,0,0.0,-67.20858254316556,0.0,-118.73230621630813,0,0.0,-25.25
t46,0.0,0,0,0.0,-4.860721267617902,0.0,13.690721267617903,0,0.0,-8.83,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,72.41083333333333,0,0.0,-51.97,211.1908887594737,0,0,0.0,-72.88858254316557,0.0,-118.73230621630813,0,0.0,-19.57
t47,0.0,0,0,0.0,-4.860721267617902,0.0,11.060721267617902,0,0.0,-6.2,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,56.920833333333334,0,0.0,-36.48,184.82636748573444,0,0,0.0,-52.354061269426296,0.0,-118.73230621630813,0,0.0,-13.74
