Syn_Fuel_Resource,Zone,mmbtu_sf_diesel_p_tonne_co2,mmbtu_sf_jetfuel_p_tonne_co2,mmbtu_sf_gasoline_p_tonne_co2,tonnes_h2_p_tonne_co2,mmbtu_ng_p_tonne_co2,mwh_p_tonne_co2,Inv_Cost_p_tonne_co2_p_hr_yr,Fixed_OM_cost_p_tonne_co2_hr_yr,Var_OM_cost_p_tonne_co2,mmbtu_p_tonne_co2_p1,price_p_mmbtu_p1,co2_out_p_mmbtu_p1,max_co2_out_p_co2_in,co2_captured_p_co2_in,Fuel,MinCapacity_tonne_p_hr,MaxCapacity_tonne_p_hr
SE_Synfuel_Plant,1,1.790763972,3.056648848,1.691277084,0.0934,0,0.036,219430.6595,214160.0335,8.52E+00,0,0,0,0.527041053,0,None,0,-1
SE_Synfuel_Plant_wCCS_Recycled_90pct,1,3.406676508,5.814844385,3.217416702,0.177680359,0,0.199784616,645023.1874,512866.5587,18.11046061,0,0,0,0.100262145,0,None,0,-1
