Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1
1666500,1,1,0,1,8760,8760,1,14771
,,,,,,,2,14771
,,,,,,,3,14771
,,,,,,,4,14771
,,,,,,,5,14771
,,,,,,,6,14771
,,,,,,,7,14771
,,,,,,,8,14771
,,,,,,,9,14771
,,,,,,,10,14771
,,,,,,,11,14771
,,,,,,,12,14771
,,,,,,,13,14771
,,,,,,,14,14771
,,,,,,,15,14771
,,,,,,,16,14771
,,,,,,,17,14771
,,,,,,,18,14771
,,,,,,,19,14771
,,,,,,,20,14771
,,,,,,,21,14771
,,,,,,,22,14771
,,,,,,,23,14771
,,,,,,,24,14771
,,,,,,,25,14771
,,,,,,,26,14771
,,,,,,,27,14771
,,,,,,,28,14771
,,,,,,,29,14771
,,,,,,,30,14771
,,,,,,,31,14771
,,,,,,,32,14771
,,,,,,,33,14771
,,,,,,,34,14771
,,,,,,,35,14771
,,,,,,,36,14771
,,,,,,,37,14771
,,,,,,,38,14771
,,,,,,,39,14771
,,,,,,,40,14771
,,,,,,,41,14771
,,,,,,,42,14771
,,,,,,,43,14771
,,,,,,,44,14771
,,,,,,,45,14771
,,,,,,,46,14771
,,,,,,,47,14771
,,,,,,,48,14771
,,,,,,,49,14771
,,,,,,,50,14771
,,,,,,,51,14771
,,,,,,,52,14771
,,,,,,,53,14771
,,,,,,,54,14771
,,,,,,,55,14771
,,,,,,,56,14771
,,,,,,,57,14771
,,,,,,,58,14771
,,,,,,,59,14771
,,,,,,,60,14771
,,,,,,,61,14771
,,,,,,,62,14771
,,,,,,,63,14771
,,,,,,,64,14771
,,,,,,,65,14771
,,,,,,,66,14771
,,,,,,,67,14771
,,,,,,,68,14771
,,,,,,,69,14771
,,,,,,,70,14771
,,,,,,,71,14771
,,,,,,,72,14771
,,,,,,,73,14771
,,,,,,,74,14771
,,,,,,,75,14771
,,,,,,,76,14771
,,,,,,,77,14771
,,,,,,,78,14771
,,,,,,,79,14771
,,,,,,,80,14771
,,,,,,,81,14771
,,,,,,,82,14771
,,,,,,,83,14771
,,,,,,,84,14771
,,,,,,,85,14771
,,,,,,,86,14771
,,,,,,,87,14771
,,,,,,,88,14771
,,,,,,,89,14771
,,,,,,,90,14771
,,,,,,,91,14771
,,,,,,,92,14771
,,,,,,,93,14771
,,,,,,,94,14771
,,,,,,,95,14771
,,,,,,,96,14771
,,,,,,,97,14771
,,,,,,,98,14771
,,,,,,,99,14771
,,,,,,,100,14771
,,,,,,,101,14771
,,,,,,,102,14771
,,,,,,,103,14771
,,,,,,,104,14771
,,,,,,,105,14771
,,,,,,,106,14771
,,,,,,,107,14771
,,,,,,,108,14771
,,,,,,,109,14771
,,,,,,,110,14771
,,,,,,,111,14771
,,,,,,,112,14771
,,,,,,,113,14771
,,,,,,,114,14771
,,,,,,,115,14771
,,,,,,,116,14771
,,,,,,,117,14771
,,,,,,,118,14771
,,,,,,,119,14771
,,,,,,,120,14771
,,,,,,,121,14771
,,,,,,,122,14771
,,,,,,,123,14771
,,,,,,,124,14771
,,,,,,,125,14771
,,,,,,,126,14771
,,,,,,,127,14771
,,,,,,,128,14771
,,,,,,,129,14771
,,,,,,,130,14771
,,,,,,,131,14771
,,,,,,,132,14771
,,,,,,,133,14771
,,,,,,,134,14771
,,,,,,,135,14771
,,,,,,,136,14771
,,,,,,,137,14771
,,,,,,,138,14771
,,,,,,,139,14771
,,,,,,,140,14771
,,,,,,,141,14771
,,,,,,,142,14771
,,,,,,,143,14771
,,,,,,,144,14771
,,,,,,,145,14771
,,,,,,,146,14771
,,,,,,,147,14771
,,,,,,,148,14771
,,,,,,,149,14771
,,,,,,,150,14771
,,,,,,,151,14771
,,,,,,,152,14771
,,,,,,,153,14771
,,,,,,,154,14771
,,,,,,,155,14771
,,,,,,,156,14771
,,,,,,,157,14771
,,,,,,,158,14771
,,,,,,,159,14771
,,,,,,,160,14771
,,,,,,,161,14771
,,,,,,,162,14771
,,,,,,,163,14771
,,,,,,,164,14771
,,,,,,,165,14771
,,,,,,,166,14771
,,,,,,,167,14771
,,,,,,,168,14771
,,,,,,,169,14771
,,,,,,,170,14771
,,,,,,,171,14771
