Zone,Emissions_tonne_per_tonne,Cost_per_tonne_per_hr,Max_tonne_per_hr
1,0.040411983,138.8589619,5043.431012
2,0.029743029,110.9626951,2195.056507
3,0.029035441,113.1457136,634.4598416
