Emission_tonne_per_hr_z1,Emission_tonne_per_hr_z2,Emission_tonne_per_hr_z3
0.208106772,0.000221545,0.011653598
0.288674021,0.001142065,0.015717022
0.45573116,0.002237172,0.023649884
0.553458484,0.294960732,0.026854664
0.764312967,0.349381345,0.058127116
0.767211162,0.459362164,0.061536687
1.033423466,0.63692332,0.06311697
1.374365556,0.644380564,0.070172366
1.754213561,0.699465081,0.071863821
1.76068394,0.9774733,0.072832631
1.862850148,1.029484225,0.074181562
2.054655134,1.030934593,0.07976387
2.25158463,1.110556894,0.131512103
2.516278472,1.405795548,0.348402446
2.591322799,1.407913515,0.398804163
2.652693222,1.408478133,0.420203595
2.746555774,1.414906637,0.505290506
2.748109711,1.416311352,0.564803542
2.750713684,1.419519459,0.61580129
2.815938061,1.455391502,1.385693543
3.144085773,1.553441484,1.387610745
3.274401143,1.811476378,1.421880432
3.323744411,1.837341203,1.459014036
3.432361758,1.838670894,1.555673231
4.226782608,1.839168129,1.584273897
4.325739463,1.839366108,1.61696092
4.325789534,2.000449607,1.666604047
4.559141263,2.001237236,1.677470326
4.65330863,2.015393805,1.679391255
4.692666098,2.161036498,2.059960421
5.008603372,2.183932924,2.077944458
5.053697739,2.225110527,2.122749716
5.137458124,2.262823515,2.182875823
6.053317715,2.408886366,2.231338682
6.056661833,2.847862278,2.550248719
6.070375777,2.848310329,2.551731909
6.279601609,2.849024053,2.557248988
6.414912138,2.885310434,2.676409365
7.002956692,3.399157066,2.767883535
7.088631325,3.399804149,2.838130869
7.241163692,3.567337976,2.840635763
7.948351508,3.569002334,2.856869038
8.175944022,3.569510056,2.858880465
8.220629342,3.571313834,2.859843708
8.32153586,3.5790606,3.210197995
8.435133447,3.594568465,3.707341995
9.386464445,3.614562106,3.724729101
9.510537147,4.037132257,3.797174029
9.765945691,4.084375507,3.799392464
9.849357855,4.144535805,3.7995421
10.03489395,4.432128678,4.132093651
10.52768648,4.437229438,4.245294981
10.92226537,4.90785779,4.300931794
11.75187597,4.953632149,4.871499925
12.63090474,4.975784677,4.948742275
12.66343029,4.991814025,5.072033771
12.7032157,5.044804427,5.096313197
12.70441047,5.04779303,5.140996829
13.6610712,5.061526076,5.168007985
14.79407635,5.125809162,5.389564308
15.03040707,5.229157024,5.69147246
15.24987229,5.304747789,6.095629713
15.33541615,5.67511423,6.141342735
16.33411691,5.675420996,6.142569363
16.41708269,5.712421379,6.144277337
16.4737777,5.742575255,6.37457829
16.59289468,5.775133564,6.81868348
16.72410491,5.814294767,6.93551086
16.72774629,6.538098562,6.963051003
18.46282582,6.538559281,7.015466377
18.67114674,6.575776905,7.041015684
18.68694864,6.578523303,7.479607952
19.06523994,7.242373886,7.50138146
19.12749938,7.373656947,7.529018271
19.30642892,7.497504266,7.534840531
19.31167504,7.525229764,7.555288119
20.68419801,7.531111816,7.557082765
21.09350765,7.533089449,7.975265411
21.10872337,7.53415439,7.994238715
21.19853258,8.110231321,7.997284745
21.21757256,8.244620207,
21.60715101,9.060583451,
21.77365587,9.090725157,
21.79812555,9.09127649,
21.80139732,9.394946894,
21.87243836,9.508387947,
22.19625873,9.556259023,
22.28202353,9.556742019,
22.55354054,9.557849544,
24.15678142,9.718604326,
24.40459334,9.941477114,
25.82611752,9.942834099,
25.97627032,9.970420279,
26.07986924,9.993471275,
26.6573611,10.0237702,
26.66391138,10.05985351,
27.09308438,10.08453017,
27.20632516,10.08525183,
27.20864554,10.08697212,
27.34927888,10.58592532,
27.58229385,10.64019544,
27.59277681,10.68525004,
28.25034738,10.79371316,
28.6026233,10.91143938,
28.91306601,10.91470377,
29.33220366,10.98774351,
30.10968809,11.00827097,
30.55293178,11.30520765,
30.64327184,11.58408081,
30.81410357,11.58532308,
31.1983363,11.58602114,
31.97273136,11.76168298,
32.07562264,12.07733772,
32.12463895,12.07989327,
32.24814479,12.33145099,
32.87105366,12.66836169,
33.40232296,12.73804228,
35.04773732,12.88479908,
35.2931494,13.05926709,
35.37244721,13.09077627,
35.3979528,13.19222015,
35.4519643,13.44810789,
35.54970047,14.31525659,
35.92775696,14.4231023,
36.19577424,14.6837818,
36.3879386,15.00951391,
36.88953211,15.03436002,
36.9253435,15.0456462,
37.04520639,15.16684373,
37.35326752,15.28530974,
37.48316525,15.28858434,
37.7600635,15.46453087,
38.82724709,15.47288962,
39.22280961,15.49440549,
39.96073845,15.79949499,
40.07133881,15.97111082,
40.38787896,16.47753064,
40.3891547,16.48116357,
40.50580427,16.59530326,
40.62260482,16.66990838,
40.76445881,17.07239923,
41.09060956,17.07470378,
41.36086577,17.07499575,
42.1262015,17.11602895,
42.12898147,17.83165886,
42.29302754,18.93633771,
42.29850197,18.94614069,
42.66690606,19.47753447,
42.68014222,19.60331199,
42.69153642,19.75941434,
43.53790443,19.7604822,
44.19709752,19.762898,
44.38888986,19.77434573,
44.55260825,20.24891385,
45.62215155,20.91865806,
45.74806389,21.94016594,
46.45178333,22.03927015,
46.534204,22.2964197,
46.77869011,22.35328684,
47.05341224,22.3576017,
47.0578255,22.82025693,
47.20987814,22.93619699,
47.33253585,23.04250361,
47.95755611,23.21856115,
48.19047422,23.70974532,
48.19376309,23.80539788,
48.4401332,23.80751942,
48.58630045,23.87829738,
49.8162862,24.06759102,
50.70750073,24.06785013,
50.70985424,24.06966235,
50.82172762,25.37000647,
50.85318935,25.38129357,
50.92042734,25.38163425,
51.12135169,25.38235543,
51.37833468,25.39570467,
51.51789098,25.44833547,
51.70790873,25.47724336,
51.78503072,25.4978745,
52.18260064,25.96952417,
52.186554,26.56264736,
53.14113739,26.70364956,
53.95081952,27.25977097,
54.33509926,27.36963621,
54.58896207,27.411582,
55.4881948,27.41228672,
55.8545786,27.41258372,
56.00780609,27.55633794,
57.12408647,27.66705727,
59.11475279,28.13077218,
59.1318058,28.13130167,
59.30558565,28.13193574,
59.45413658,28.1661603,
59.77223045,28.54599062,
60.09554505,28.98210161,
60.10275768,29.04407797,
60.28296151,29.05187032,
60.5719658,29.05402331,
60.71107854,29.11151289,
60.94290589,29.29030211,
61.0321852,29.36250512,
61.13601339,29.58193888,
61.21179001,29.784586,
61.56581584,29.80633296,
61.76252831,29.87429405,
61.81636302,30.16988712,
62.04948414,30.18748461,
62.17403799,31.21163145,
62.38725712,32.09822818,
63.54358793,32.09901714,
63.56102369,32.11239242,
63.61690316,32.17263001,
63.701936,32.17312946,
64.4767524,32.31532932,
66.69120685,32.31586748,
67.50584494,32.48875057,
67.50602879,32.49264291,
67.81692042,32.54674578,
67.83359495,32.60044332,
67.95150869,32.68909548,
68.10113748,32.71721418,
68.50345095,33.02716263,
69.83837697,33.07471179,
69.88534792,33.0839379,
69.95019192,34.06614674,
70.14604359,34.32190769,
70.40629748,34.32242407,
70.60216442,34.4054604,
70.91656491,34.43778802,
71.2915606,34.72188778,
71.29817434,34.74550413,
71.68527435,35.14871879,
72.80587104,35.28382997,
73.09044581,35.29710921,
73.50127514,35.51351282,
74.95658713,35.51669212,
75.21982649,35.65976369,
75.90677085,35.76552467,
76.16311369,35.77037071,
76.69815222,36.8709217,
76.87734095,37.5583965,
77.93434317,37.67620278,
79.83105061,38.07336507,
81.74880283,38.15883356,
81.82119635,38.30329609,
82.70415316,39.57335212,
83.76335877,39.69523029,
83.79213012,40.05294326,
84.16752813,40.74117022,
84.35311884,40.75174312,
84.61032628,40.75328118,
85.23704925,42.08428276,
86.12796936,42.45580572,
86.5699577,43.46688192,
87.37480816,43.53621781,
88.88642193,43.57641789,
90.0181639,45.10421296,
90.42492334,45.77587717,
90.83365871,45.89673113,
90.93911321,45.89701047,
90.94343552,46.3655215,
93.2677863,46.36580943,
93.45667031,46.37456527,
93.67495553,47.20948109,
93.95878586,47.23046839,
93.96405703,48.6528074,
94.04936847,48.69013358,
94.0501038,48.98944983,
94.29438249,49.34679693,
94.46773191,50.31078297,
94.5322198,50.71780135,
94.93743774,50.89858998,
95.21968447,50.99843613,
95.55408814,51.8646495,
95.96875275,52.32589865,
98.11299799,52.33624064,
99.02021652,53.33700699,
99.17522178,53.46055788,
99.37969426,53.53333721,
100.2669697,53.58174103,
100.341966,53.94040648,
100.5685857,54.66519212,
101.436483,55.91181864,
101.8009487,55.91269122,
101.9957445,56.60193269,
102.3925277,56.60199758,
103.1960086,56.65949183,
103.6363807,56.66670795,
103.7288602,56.90799607,
103.7364928,56.96253212,
104.2952622,56.96271,
105.303032,57.02654328,
105.4363706,57.02812752,
105.6762759,57.25704511,
105.9055115,57.29137331,
106.2479309,57.99246935,
107.1155984,58.02364692,
107.6197559,58.02387416,
108.4614677,58.86785396,
108.9075078,59.76719618,
109.2162225,59.77321955,
109.2652589,59.77430462,
109.9961484,60.40925869,
110.1716251,61.25980694,
110.4850676,61.33091032,
110.6909362,61.3311314,
110.9674055,61.35076693,
111.0156419,61.35711627,
111.1469399,61.3591921,
111.3726916,61.35933562,
112.0779344,61.36014743,
112.5079577,62.47011887,
112.8122043,62.60738352,
112.9444922,62.60767356,
113.2383783,62.75567633,
114.0875286,62.78343135,
114.429401,62.86568906,
114.6762655,62.86795541,
114.7605695,62.90202638,
115.3729914,62.94040316,
115.7486918,62.98079299,
117.0197717,62.98435386,
117.4785167,62.98500048,
117.7420161,63.01405976,
117.987055,63.01745279,
118.4905781,63.06695939,
119.7371844,63.06761647,
120.9610154,63.42883189,
120.9944017,63.4290963,
121.4284509,63.43023949,
121.5046576,63.43087961,
121.7772911,63.43107103,
121.9696143,63.43280019,
122.2360921,63.43333726,
122.8145137,63.43954077,
123.9708789,63.87937418,
124.4261499,63.92767723,
124.7825779,63.95465845,
125.6467377,63.99718215,
125.710434,64.01893101,
125.9740911,64.13027274,
126.8472318,64.1330783,
127.5296191,64.89410788,
127.5296512,64.9043027,
128.754464,64.9196684,
129.0759587,64.92058095,
129.6703628,64.92076402,
130.3515283,64.97165405,
130.6507024,64.97422382,
131.9699763,65.61087679,
133.061724,65.64334464,
134.7311429,65.64394853,
136.9308839,65.68052551,
