Emission_tonne_per_hr_z1,Emission_tonne_per_hr_z2,Emission_tonne_per_hr_z3
0.035271985,0.072110919,0.063673515
0.113752882,0.187113943,0.294874395
0.234993133,0.364986788,0.565134048
0.291452729,0.533954587,0.687978427
0.304806742,0.607894986,0.913734997
0.411386778,0.644971654,1.345691541
0.573326139,0.729356269,1.40796478
0.599886126,0.942679029,1.511681673
0.624239391,1.049841193,1.620090963
0.768394641,1.222949059,1.734743354
0.832918583,1.403614175,1.83359286
0.867953325,1.531644405,1.886297885
0.917604921,1.648334097,1.962496035
0.972096264,1.966849672,2.331076744
0.987993546,2.34991547,2.418416153
1.072776862,2.539250353,2.653870119
1.172221657,2.794635436,2.908942938
1.332626781,3.07527721,2.931469807
1.370937076,3.159746201,3.147976859
1.389684933,3.316559323,3.327714353
1.645270946,3.502000289,3.524740661
1.712346805,3.613871306,3.538734966
1.760514178,3.717899106,3.580531567
2.088406037,3.843612571,3.756758768
2.155165693,3.891635767,3.969949589
2.279932017,4.454672964,4.209710938
2.982461615,4.458509094,4.278480106
3.047265975,4.552443672,4.394416098
3.11968094,4.561834972,4.473327624
3.578740299,4.797371821,4.544160876
3.597804338,4.878934367,4.672772056
3.706018193,4.888890274,5.092962874
3.851363001,5.063970422,5.103235392
4.226248936,5.284103542,5.168257449
4.36777779,5.571173442,5.267136706
4.411952786,5.775510066,5.403241323
4.465689898,5.780639888,5.490964922
4.562478412,5.892871014,5.597567605
4.801235854,6.019090632,5.602646925
5.233982384,6.159843774,5.629459297
5.344655488,6.162291972,5.68865805
5.961130674,6.817893264,5.796228021
6.13677852,6.912953857,5.94643872
6.24121941,6.918404411,6.303744987
6.248476612,6.979498217,6.313012023
6.283295974,7.161418932,6.375279023
6.417619211,7.164075241,6.414033931
6.506740429,7.269107409,6.45907032
6.518395222,7.474338876,6.534582081
6.754113228,7.606114722,6.627822286
7.492326044,7.741642004,6.65874623
7.845904377,7.894296848,6.672177118
7.909537209,8.499799544,6.747107266
8.0074247,8.554152967,6.855504702
8.028568484,8.597660041,6.879478682
8.187559098,8.745250577,7.062092754
8.73340682,8.9995017,7.243702844
8.814082977,9.079646912,7.270539786
9.022863795,9.094834976,7.319654351
9.264833189,9.09765345,7.35803398
9.9160479,9.215648489,7.390793658
10.3385393,9.586537159,7.435585665
10.34864285,9.740784842,7.520990154
11.45184706,9.899731923,7.657645822
11.61393975,10.13074301,7.672596819
11.65571213,10.25308648,7.752556339
11.89943191,10.36547788,7.883517116
12.40534855,10.64998881,7.942263918
13.4321625,10.65389611,8.000590099
13.6951748,10.813671,8.025396156
13.97670192,11.11151037,8.064887459
14.01101435,11.20803541,8.167782615
14.01839436,11.46153369,8.316291633
14.10116086,11.65882293,8.361712258
14.59010677,11.82777092,8.363701772
14.62489368,12.09946827,8.472260278
14.67328391,12.3939093,8.738551688
15.25405835,12.40523546,8.851003034
15.27641181,12.57177881,8.96851806
15.52580066,12.7699217,8.969861843
15.75988792,12.77191095,9.406239104
15.84675064,12.77721903,9.481570385
16.05604028,12.98409111,9.599233992
16.06459516,13.13791301,9.881097514
16.30581424,13.13926074,9.945956917
16.37225012,13.14016453,10.32469201
16.48183499,13.14335842,10.50381801
16.91757915,13.3024673,10.66689654
16.95886436,13.30334865,10.81124616
16.99482581,13.46050648,10.82662335
17.39833125,13.84870561,11.4824806
17.48484589,13.95156995,11.61360516
18.20490007,14.019119,11.65898487
18.29748777,14.2231522,11.92350806
18.37744399,14.7984733,11.98694185
18.45721758,14.92841171,12.22448846
18.7905153,14.9302445,12.29087373
