Conventional_ethanol_co2_per_mmbtu,Conventional_ethanol_price_per_mmbtu,Bio_ethanol_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
,,,172,1569.36,881.63,315.01
,,,173,1569.36,881.63,315.01
,,,174,1569.36,881.63,315.01
,,,175,1569.36,881.63,315.01
,,,176,1569.36,881.63,315.01
,,,177,1569.36,881.63,315.01
,,,178,1569.36,881.63,315.01
,,,179,1569.36,881.63,315.01
,,,180,1569.36,881.63,315.01
,,,181,1569.36,881.63,315.01
,,,182,1569.36,881.63,315.01
,,,183,1569.36,881.63,315.01
,,,184,1569.36,881.63,315.01
,,,185,1569.36,881.63,315.01
,,,186,1569.36,881.63,315.01
,,,187,1569.36,881.63,315.01
,,,188,1569.36,881.63,315.01
,,,189,1569.36,881.63,315.01
,,,190,1569.36,881.63,315.01
,,,191,1569.36,881.63,315.01
,,,192,1569.36,881.63,315.01
,,,193,1569.36,881.63,315.01
,,,194,1569.36,881.63,315.01
,,,195,1569.36,881.63,315.01
,,,196,1569.36,881.63,315.01
,,,197,1569.36,881.63,315.01
,,,198,1569.36,881.63,315.01
,,,199,1569.36,881.63,315.01
,,,200,1569.36,881.63,315.01
,,,201,1569.36,881.63,315.01
,,,202,1569.36,881.63,315.01
,,,203,1569.36,881.63,315.01
,,,204,1569.36,881.63,315.01
,,,205,1569.36,881.63,315.01
,,,206,1569.36,881.63,315.01
,,,207,1569.36,881.63,315.01
,,,208,1569.36,881.63,315.01
,,,209,1569.36,881.63,315.01
,,,210,1569.36,881.63,315.01
,,,211,1569.36,881.63,315.01
,,,212,1569.36,881.63,315.01
,,,213,1569.36,881.63,315.01
,,,214,1569.36,881.63,315.01
,,,215,1569.36,881.63,315.01
,,,216,1569.36,881.63,315.01
,,,217,1569.36,881.63,315.01
,,,218,1569.36,881.63,315.01
,,,219,1569.36,881.63,315.01
,,,220,1569.36,881.63,315.01
,,,221,1569.36,881.63,315.01
,,,222,1569.36,881.63,315.01
,,,223,1569.36,881.63,315.01
,,,224,1569.36,881.63,315.01
,,,225,1569.36,881.63,315.01
,,,226,1569.36,881.63,315.01
,,,227,1569.36,881.63,315.01
,,,228,1569.36,881.63,315.01
,,,229,1569.36,881.63,315.01
,,,230,1569.36,881.63,315.01
,,,231,1569.36,881.63,315.01
,,,232,1569.36,881.63,315.01
,,,233,1569.36,881.63,315.01
,,,234,1569.36,881.63,315.01
,,,235,1569.36,881.63,315.01
,,,236,1569.36,881.63,315.01
,,,237,1569.36,881.63,315.01
,,,238,1569.36,881.63,315.01
,,,239,1569.36,881.63,315.01
,,,240,1569.36,881.63,315.01
,,,241,1569.36,881.63,315.01
,,,242,1569.36,881.63,315.01
,,,243,1569.36,881.63,315.01
,,,244,1569.36,881.63,315.01
,,,245,1569.36,881.63,315.01
,,,246,1569.36,881.63,315.01
,,,247,1569.36,881.63,315.01
,,,248,1569.36,881.63,315.01
,,,249,1569.36,881.63,315.01
,,,250,1569.36,881.63,315.01
,,,251,1569.36,881.63,315.01
,,,252,1569.36,881.63,315.01
,,,253,1569.36,881.63,315.01
,,,254,1569.36,881.63,315.01
,,,255,1569.36,881.63,315.01
,,,256,1569.36,881.63,315.01
,,,257,1569.36,881.63,315.01
,,,258,1569.36,881.63,315.01
,,,259,1569.36,881.63,315.01
,,,260,1569.36,881.63,315.01
,,,261,1569.36,881.63,315.01
,,,262,1569.36,881.63,315.01
