Biomass_cost_z1,Biomass_cost_z2,Biomass_cost_z3
528.5868941,0.626384425,45.70476378
741.613926,2.939685871,60.53607063
1172.823078,6.190827616,90.31521363
1442.071989,672.1580926,100.6579134
1962.373243,824.9137962,197.8184998
1969.820625,1152.87308,211.4527979
2644.920019,1670.545775,217.2537786
3436.621264,1690.304871,238.2298016
4406.293295,1825.062079,243.5004092
4423.314715,2470.468313,247.4011526
4682.2192,2617.666922,252.5867382
5175.972574,2622.308902,272.6943728
5684.941413,2830.523705,481.3513548
6405.268355,3518.631111,1120.497397
6590.321868,3523.617617,1314.958434
6791.203119,3525.353675,1402.713902
7077.03373,3543.297565,1653.595895
7081.800154,3547.438631,1832.460345
7089.351494,3556.931534,1988.32237
7299.291843,3662.845853,3906.950763
8258.424045,3962.767976,3913.802386
8644.985572,4560.476378,4013.497795
8791.664874,4633.581153,4138.272923
9101.253509,4637.431076,4424.850559
10950.39742,4638.864626,4521.087658
11238.66905,4639.577662,4628.345457
11238.80798,5054.613805,4779.071238
11836.59026,5056.854235,4814.646626
12107.41773,5098.022801,4821.980539
12226.44252,5598.060443,5841.96066
13083.95155,5675.196075,5895.164359
13222.86737,5792.913751,6076.164577
13448.93024,5900.546485,6242.899068
15492.68612,6331.444789,6427.690275
15502.69413,7328.81044,7305.902143
15543.73047,7330.077644,7311.309428
16038.86469,7332.384036,7330.352626
16373.08052,7461.759785,7695.508161
17952.7765,8727.130206,7987.860996
18195.4606,8729.179409,8203.432887
18564.33373,9172.650284,8212.398227
20254.50886,9177.019831,8260.020316
20809.88363,9178.713604,8268.397486
20951.37683,9183.06832,8271.600892
21228.74035,9205.018188,9312.224095
21551.34916,9247.26343,10832.67674
23616.58559,9302.866647,10901.76834
23904.43168,10332.1185,11113.93139
24519.03893,10481.40738,11119.66369
24749.29702,10678.72784,11120.23075
25270.38795,11489.07611,12016.55593
26552.3641,11503.61092,12335.01995
27482.25977,12736.99911,12523.34756
29377.23974,12887.57072,14019.47158
31384.25005,12950.66571,14370.65944
31464.69712,13006.82477,14830.5738
31594.56266,13154.23015,14918.71504
31598.36733,13163.03498,15099.63166
33835.57318,13201.92239,15197.02471
36480.53004,13374.73876,15782.977
37141.04737,13664.46989,16543.01878
37647.39968,13877.14472,17681.44315
37886.48228,14795.30064,17864.95536
40187.26611,14796.07971,17870.89299
40445.25503,14901.11867,17877.06368
40614.13287,14987.27975,18693.20013
40898.94551,15085.04933,20010.22252
41264.20196,15203.59674,20338.88453
41272.8828,17091.36058,20464.02414
45509.18044,17092.85489,20680.03921
46103.01568,17183.70979,20794.0494
46145.3756,17191.69201,22053.87874
47069.98524,18913.41319,22144.29006
47244.21415,19308.26239,22255.32591
47730.78839,19663.17634,22279.57339
47745.26364,19736.26264,22360.7149
50867.26853,19753.2979,22368.00019
51805.06454,19758.87075,24017.30774
51841.84799,19761.78506,24091.98433
52093.31362,21197.04686,24104.30625
52159.62372,21578.01033,
53100.65005,23597.09271,
53580.12291,23687.32557,
53657.54278,23688.74074,
53666.53252,24446.62279,
53839.80737,24734.72731,
54582.68237,24876.25591,
54811.27055,24877.79668,
55465.86162,24881.16582,
59154.19878,25313.04504,
59723.76934,25853.89347,
62765.5865,25857.31291,
63195.64583,25927.68952,
63502.86445,25992.63777,
64817.6048,26077.94986,
64837.7288,26177.90651,
65798.88303,26250.65502,
66080.36641,26253.00957,
66086.86888,26257.33842,
66504.82924,27480.00059,
67052.81369,27646.10727,
67085.48841,27772.86522,
68580.77964,28106.57712,
69367.77099,28444.92996,
70081.90454,28457.3633,
71123.2634,28654.22791,
72844.13363,28711.57679,
73892.95394,29556.6235,
74132.01493,30247.26196,
74600.16343,30250.62393,
75683.15714,30252.52509,
77760.44147,30695.34914,
77996.23293,31443.46485,
78132.93234,31450.09465,
78457.01771,32305.52536,
80123.02803,33175.31916,
81552.84375,33361.42525,
85177.95337,33766.67662,
85875.76897,34250.90028,
86094.48424,34325.96245,
86162.992,34691.69341,
86314.94287,35336.39375,
86561.15272,37468.75976,
87588.38418,37735.98934,
88214.82387,38475.83014,
88706.78672,39376.04856,
89888.16914,39446.02982,
89985.62632,39476.56552,
90329.22133,39782.04314,
91207.17136,40106.312,
91605.32043,40116.20777,
92490.74437,40645.73074,
94935.57878,40670.07879,
95974.10994,40727.3939,
97634.87351,41570.97501,
97905.87025,42068.55383,
98791.61175,43325.58778,
98795.02021,43336.95844,
99076.77653,43658.86354,
99396.1052,43859.55751,
99759.2333,44811.29441,
100494.5167,44816.93793,
101203.9166,44817.88155,
102983.341,44921.34707,
102990.0982,46895.49973,
103420.7035,49540.87083,
103435.9033,49562.83886,
104243.5181,50908.1018,
104279.5723,51277.48615,
104310.9445,51690.35968,
106238.2613,51693.71124,
107772.759,51701.29085,
108297.442,51729.00569,
108671.7748,53028.49243,
111199.2767,54633.95357,
111547.5832,57125.58008,
113034.4253,57411.62578,
113229.3484,58091.47808,
113991.6014,58246.84273,
114579.1612,58257.61302,
114591.0377,59385.79338,
114924.6847,59638.71425,
115278.5447,59905.27059,
116794.8396,60389.64327,
117376.488,61461.93279,
117386.1293,61730.77832,
118005.2075,61735.76447,
118432.3298,61911.47083,
121233.7571,62424.28202,
123293.533,62425.21165,
123300.1798,62430.08387,
123657.4111,65500.39014,
123739.9255,65528.76207,
123910.6726,65529.91749,
124414.9646,65533.05985,
125038.3791,65568.46452,
125413.6507,65720.86678,
125919.3157,65795.36311,
126133.3987,65886.93636,
127161.082,67036.19464,
127172.1932,68371.96674,
129282.2781,68730.02332,
131119.4577,70004.00155,
132126.7999,70331.18394,
132667.1222,70437.68896,
134741.2891,70439.61169,
135731.5657,70440.64381,
136194.5468,70793.72569,
138679.2318,71103.74804,
143183.0044,72350.61027,
143230.8124,72351.98736,
143612.4455,72354.67165,
144120.0703,72474.10364,
144938.3586,73451.03789,
145629.4271,74966.06425,
145651.0254,75139.99365,
146115.4307,75160.2143,
146867.0853,75165.86055,
147255.0416,75310.77814,
147799.9396,75796.78012,
148048.0361,75975.38495,
148328.7933,76600.45913,
148554.7135,77122.92413,
149356.3825,77189.17998,
149886.9269,77377.28472,
150031.2398,78153.76013,
150689.5079,78209.04055,
150998.494,80692.68417,
151555.9108,82835.05178,
154699.8374,82838.2227,
154747.1213,82881.73707,
154888.3077,83070.69674,
155109.9108,83072.3946,
156987.1368,83463.05226,
162026.5949,83464.59413,
163858.3846,84002.53252,
163859.1459,84013.10338,
164674.5142,84186.2808,
164721.43,84349.75956,
165023.7634,84640.4506,
165418.8168,84712.29821,
166264.6161,85539.7067,
169039.3806,85694.62079,
169151.5338,85719.81843,
169330.8051,87949.84029,
169907.1039,88653.31573,
170678.5833,88655.05294,
171223.4653,88872.46707,
172031.7161,88962.44463,
172912.5532,89722.16289,
172935.1529,89785.85834,
173939.1823,90838.89426,
176356.4039,91321.64263,
177016.5487,91356.28562,
177922.9751,91945.01856,
181139.6535,91954.61246,
181810.2201,92313.98194,
183306.0288,92596.36129,
183918.9722,92610.55412,
185475.7466,95308.39164,
185892.8996,97101.95865,
188277.6942,97470.08564,
192312.4819,98396.92979,
196518.0636,98625.10673,
196703.309,99135.80409,
198913.023,102032.7687,
201340.4335,102360.3979,
201416.8657,103354.2375,
202228.4686,105073.0082,
202647.8012,105106.1097,
203305.4685,105110.533,
204739.9287,108192.9207,
206844.1501,109243.8482,
207966.1128,111784.2977,
209883.8462,111959.0271,
213237.4533,112081.1544,
215770.3056,115743.6463,
216759.364,117607.587,
217679.294,117976.6652,
217963.1546,117978.1117,
217979.4915,119345.7979,
223171.0471,119346.5915,
223668.0806,119369.2288,
224144.5843,121401.3823,
224866.9968,121455.763,
224890.9838,124786.0316,
225153.0662,124911.2409,
225155.9088,125831.2779,
225769.0956,126816.2704,
226161.0537,129404.1334,
226305.9599,130746.3033,
227333.0195,131214.2369,
228061.3491,131480.7117,
228890.0376,133645.4888,
229875.7603,135019.5919,
234362.9097,135052.1526,
236375.6223,137393.6219,
236752.3681,137784.1535,
237279.1609,138021.7651,
239321.1829,138182.3311,
239509.2665,139112.649,
240002.5825,140911.1446,
242005.771,143870.0767,
242889.3275,143872.9022,
243322.8895,145721.4069,
244173.7356,145721.6932,
246128.8722,145897.348,
247237.7461,145917.4042,
247478.4999,146675.9243,
247499.4271,146863.8657,
248695.2052,146864.7685,
251465.9932,147033.3217,
251814.801,147038.4909,
252443.4841,147795.6989,
253043.1263,147886.2902,
253805.5833,149697.1141,
255826.7314,149794.0526,
257005.0221,149794.9695,
258936.3865,151791.1785,
260068.8631,154225.2565,
260788.5956,154244.4066,
260909.7579,154248.6817,
262697.7122,155787.341,
263092.243,157858.7252,
263868.607,158047.6042,
264368.7706,158048.496,
265087.27,158121.5457,
265215.1566,158143.6616,
265549.0071,158149.3494,
266171.2486,158149.9654,
267857.0294,158153.8751,
268864.9228,161197.2716,
269704.1477,161798.2237,
270065.428,161799.142,
270872.8546,162212.3801,
273071.0289,162285.9283,
273863.5314,162504.1598,
274419.007,162514.5036,
274645.4129,162603.1251,
276023.5309,162712.4793,
276987.923,162819.7512,
279925.1573,162833.1244,
280983.5102,162835.4147,
281642.8174,162914.8704,
282376.0482,162927.6166,
283595.1387,163063.1895,
286450.2452,163065.288,
289101.3315,164208.0621,
289198.8833,164209.2711,
290255.663,164213.8726,
290545.5537,164216.2122,
291255.5566,164217.0092,
291679.9096,164222.7907,
292364.6336,164225.031,
293697.6044,164245.3872,
296330.4451,165546.1517,
297339.6888,165674.4248,
298086.9031,165747.4622,
300079.4788,165890.9444,
300243.4229,165982.7561,
300912.8336,166328.6659,
303157.0802,166336.8051,
304833.6642,168419.5118,
304833.8048,168450.7425,
307581.6314,168509.9222,
308362.5872,168513.5742,
309791.5618,168514.3244,
311276.6,168704.3614,
311927.9679,168712.0028,
314887.0069,170559.3737,
317648.0704,170679.0759,
321446.6749,170681.364,
326173.7437,170813.4121,
326641.4724,171245.5488,
327041.9401,171250.0396,
328982.6705,171253.8215,
329958.8517,171260.5573,
330401.6029,171261.2197,
331149.5962,,
331525.7127,,
336956.3836,,
336968.3808,,
336985.1153,,
337753.7584,,
337778.3998,,
339744.8545,,
341630.7601,,
341884.8509,,
342999.6947,,
343156.5465,,
346416.4583,,
348824.4251,,
349792.8997,,
351002.9702,,
357395.8892,,
358699.6054,,
358707.5018,,
359655.704,,
360124.735,,
361232.5384,,
363734.7925,,
363872.2461,,
365890.212,,
366823.1118,,
368011.1468,,
368013.6346,,
368494.5269,,
368536.909,,
368554.2259,,
371488.8825,,
373807.0652,,
375819.6467,,
378269.102,,
378437.5349,,
379939.8797,,
384095.6378,,
386005.7923,,
386830.3528,,
388125.3063,,
388159.177,,
389313.7055,,
389777.0986,,
389842.1912,,
390596.5875,,
392337.835,,
393614.6384,,
395058.2424,,
395199.1495,,
397662.3754,,
398038.5533,,
399433.949,,
399530.7806,,
401284.0776,,
401400.6452,,
401722.5332,,
405331.7024,,
407864.3511,,
409347.6596,,
409414.3077,,
409823.8635,,
410933.1079,,
413446.9252,,
414677.6852,,
419961.431,,
420484.2574,,
423220.4288,,
425966.1631,,
430170.7063,,
431428.0988,,
436861.8315,,
439275.5789,,
441417.4228,,
445933.7711,,
448238.3243,,
449138.3388,,
449148.0861,,
449493.5678,,
450684.6781,,
451544.4506,,
452717.7366,,
453411.1502,,
454179.5798,,
454461.9605,,
455455.2918,,
456657.8228,,
457200.5549,,
457621.1924,,
458366.6462,,
458493.0706,,
462478.7533,,
466117.0754,,
466423.3332,,
466827.4961,,
467892.8816,,
468903.3339,,
470282.636,,
475836.9928,,
476265.3788,,
476290.524,,
480151.3989,,
480544.3797,,
480843.0988,,
481714.1833,,
481755.183,,
482906.3213,,
483587.2004,,
485278.9201,,
486250.4623,,
487505.5466,,
487654.3295,,
488526.9857,,
491387.0793,,
491672.5807,,
491672.8073,,
493198.0978,,
494648.25,,
494662.1381,,
495578.9362,,
497351.4296,,
501759.8704,,
502655.5949,,
502678.188,,
502693.2401,,
503004.7908,,
503935.9825,,
504865.8602,,
505335.8062,,
505363.7542,,
507006.0837,,
507511.2789,,
508085.9103,,
511082.8117,,
511226.3178,,
511957.8404,,
512000.2139,,
513252.2154,,
514144.1462,,
515735.5029,,
516795.1003,,
516806.0666,,
517363.9291,,
518681.2715,,
520299.6489,,
522034.6014,,
522400.5917,,
522451.3728,,
522648.5651,,
525918.7299,,
527583.2545,,
531718.8322,,
534712.2059,,
534791.63,,
535013.7897,,
537374.6592,,
537744.9029,,
538769.0306,,
538791.7374,,
539118.5658,,
539547.6666,,
542214.4382,,
542359.7273,,
542674.3871,,
542877.5364,,
543421.2409,,
546229.4584,,
551211.029,,
551979.3824,,
554415.5167,,
554693.9977,,
554701.2333,,
554710.976,,
555084.8507,,
555530.4704,,
557417.0644,,
557953.0115,,
558356.5281,,
558912.6326,,
560178.6943,,
560216.7726,,
561688.7397,,
562476.3056,,
563362.342,,
564892.8371,,
566295.5329,,
567100.793,,
570191.487,,
570256.3452,,
570265.4488,,
