Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster,LDS.1,CCS_Rate
SE_utilitypv_class1_moderate_70_0_2_1,1,0,0,0,0,0,1,0,1,1,0,0,0,1041244,-1,-1,0,0,0,63031,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_7,0.8,1,1,SE,1,0,0
SE_utilitypv_class1_moderate_70_0_2_2,1,0,0,0,0,0,1,0,1,1,0,0,0,890062,-1,-1,0,0,0,61901,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_8,0.8,1,1,SE,2,0,0
SE_utilitypv_class1_moderate_70_0_2_3,1,0,0,0,0,0,1,0,1,1,0,0,0,1238552,-1,-1,0,0,0,63094,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_9,0.8,1,1,SE,3,0,0
SE_utilitypv_class1_moderate_70_0_2_4,1,0,0,0,0,0,1,0,1,1,0,0,0,1039859,-1,-1,0,0,0,64970,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_10,0.8,1,1,SE,4,0,0
SE_utilitypv_class1_moderate_70_0_2_5,1,0,0,0,0,0,1,0,1,1,0,0,0,955445,-1,-1,0,0,0,64730,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_11,0.8,1,1,SE,5,0,0
SE_utilitypv_class1_moderate_70_0_2_6,1,0,0,0,0,0,1,0,1,1,0,0,0,1729874,-1,-1,0,0,0,63059,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_12,0.8,1,1,SE,6,0,0
SE_utilitypv_class1_moderate_70_0_2_7,1,0,0,0,0,0,1,0,1,1,0,0,0,618334,-1,-1,0,0,0,62358,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_13,0.8,1,1,SE,7,0,0
SE_utilitypv_class1_moderate_70_0_2_8,1,0,0,0,0,0,1,0,1,1,0,0,0,989513,-1,-1,0,0,0,63563,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_14,0.8,1,1,SE,8,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_1,2,0,0,0,0,0,1,0,1,1,0,0,0,26783,-1,-1,0,0,0,62413,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0.8,1,1,MIDAT,1,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_2,2,0,0,0,0,0,1,0,1,1,0,0,0,288617,-1,-1,0,0,0,62267,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0.8,1,1,MIDAT,2,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_3,2,0,0,0,0,0,1,0,1,1,0,0,0,115699,-1,-1,0,0,0,61576,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0.8,1,1,MIDAT,3,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_4,2,0,0,0,0,0,1,0,1,1,0,0,0,996252,-1,-1,0,0,0,62566,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0.8,1,1,MIDAT,4,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_5,2,0,0,0,0,0,1,0,1,1,0,0,0,1212132,-1,-1,0,0,0,62410,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0.8,1,1,MIDAT,5,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_6,2,0,0,0,0,0,1,0,1,1,0,0,0,1080112,-1,-1,0,0,0,62919,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0.8,1,1,MIDAT,6,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_7,2,0,0,0,0,0,1,0,1,1,0,0,0,608258,-1,-1,0,0,0,64063,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0.8,1,1,MIDAT,7,0,0
NE_utilitypv_class1_moderate_70_0_2_1,3,0,0,0,0,0,1,0,1,1,0,0,0,156573,-1,-1,0,0,0,61833,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0.8,1,1,NE,1,0,0
NE_utilitypv_class1_moderate_70_0_2_2,3,0,0,0,0,0,1,0,1,1,0,0,0,141382,-1,-1,0,0,0,61859,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0.8,1,1,NE,2,0,0
NE_utilitypv_class1_moderate_70_0_2_3,3,0,0,0,0,0,1,0,1,1,0,0,0,894093,-1,-1,0,0,0,66691,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0.8,1,1,NE,3,0,0
NE_utilitypv_class1_moderate_70_0_2_4,3,0,0,0,0,0,1,0,1,1,0,0,0,301180,-1,-1,0,0,0,65296,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0.8,1,1,NE,4,0,0
NE_utilitypv_class1_moderate_70_0_2_5,3,0,0,0,0,0,1,0,1,1,0,0,0,996252,-1,-1,0,0,0,63475,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0.8,1,1,NE,5,0,0
NE_utilitypv_class1_moderate_70_0_2_6,3,0,0,0,0,0,1,0,1,1,0,0,0,14823,-1,-1,0,0,0,61661,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0.8,1,1,NE,6,0,0
NE_utilitypv_class1_moderate_70_0_2_7,3,0,0,0,0,0,1,0,1,1,0,0,0,233816,-1,-1,0,0,0,69151,0,0,17267,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0.8,1,1,NE,7,0,0
SE_landbasedwind_class4_moderate_70_1,1,0,0,0,0,0,1,0,1,1,0,0,0,84058,-1,-1,0,0,0,72702,0,0,37624,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_80,0.8,1,1,SE,1,0,0
SE_landbasedwind_class4_moderate_70_2,1,0,0,0,0,0,1,0,1,1,0,0,0,20182,-1,-1,0,0,0,70071,0,0,37624,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_81,0.8,1,1,SE,2,0,0
SE_landbasedwind_class4_moderate_70_3,1,0,0,0,0,0,1,0,1,1,0,0,0,105301,-1,-1,0,0,0,72426,0,0,37624,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,landbasedwind_class4_moderate_82,0.8,1,1,SE,3,0,0
