Zone,Emissions_tonne_per_tonne,Cost_per_tonne_per_hr,Max_tonne_per_hr
1,0.059963287,139.6530847,5660.900396
2,0.053578,139.4041345,1228.523245
3,0.049381771,148.8396824,161.9481167
