Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1
50000000,1,1,0,1,168,8760.0,1,1.62
,,,,,,,2,1.22
,,,,,,,3,1.75
,,,,,,,4,4.0
,,,,,,,5,8.24
,,,,,,,6,13.41
,,,,,,,7,16.79
,,,,,,,8,19.24
,,,,,,,9,20.24
,,,,,,,10,21.43
,,,,,,,11,25.41
,,,,,,,12,27.06
,,,,,,,13,27.86
,,,,,,,14,27.33
,,,,,,,15,27.06
,,,,,,,16,25.94
,,,,,,,17,24.61
,,,,,,,18,21.76
,,,,,,,19,18.12
,,,,,,,20,13.81
,,,,,,,21,10.5
,,,,,,,22,7.32
,,,,,,,23,4.53
,,,,,,,24,2.68
,,,,,,,25,2.49
,,,,,,,26,1.8
,,,,,,,27,1.66
,,,,,,,28,2.46
,,,,,,,29,4.43
,,,,,,,30,7.27
,,,,,,,31,10.98
,,,,,,,32,15.0
,,,,,,,33,18.95
,,,,,,,34,21.02
,,,,,,,35,21.68
,,,,,,,36,22.62
,,,,,,,37,24.07
,,,,,,,38,25.15
,,,,,,,39,26.32
,,,,,,,40,26.98
,,,,,,,41,25.67
,,,,,,,42,23.24
,,,,,,,43,19.29
,,,,,,,44,14.93
,,,,,,,45,11.4
,,,,,,,46,8.83
,,,,,,,47,6.2
,,,,,,,48,3.95
,,,,,,,49,1.69
,,,,,,,50,1.24
,,,,,,,51,1.74
,,,,,,,52,4.05
,,,,,,,53,8.71
,,,,,,,54,14.0
,,,,,,,55,17.32
,,,,,,,56,19.85
,,,,,,,57,20.91
,,,,,,,58,20.01
,,,,,,,59,19.9
,,,,,,,60,20.63
,,,,,,,61,21.93
,,,,,,,62,22.77
,,,,,,,63,24.62
,,,,,,,64,26.14
,,,,,,,65,25.41
,,,,,,,66,23.89
,,,,,,,67,19.68
,,,,,,,68,14.45
,,,,,,,69,10.46
,,,,,,,70,7.87
,,,,,,,71,4.67
,,,,,,,72,2.64
,,,,,,,73,1.76
,,,,,,,74,1.29
,,,,,,,75,1.82
,,,,,,,76,4.23
,,,,,,,77,9.1
,,,,,,,78,14.62
,,,,,,,79,18.08
,,,,,,,80,20.72
,,,,,,,81,21.84
,,,,,,,82,20.9
,,,,,,,83,20.78
,,,,,,,84,21.54
,,,,,,,85,22.89
,,,,,,,86,23.77
,,,,,,,87,25.71
,,,,,,,88,27.3
,,,,,,,89,26.53
,,,,,,,90,24.95
,,,,,,,91,20.54
,,,,,,,92,15.09
,,,,,,,93,10.92
,,,,,,,94,8.22
,,,,,,,95,4.87
,,,,,,,96,2.76
,,,,,,,97,1.86
,,,,,,,98,1.36
,,,,,,,99,1.92
,,,,,,,100,4.46
,,,,,,,101,9.61
,,,,,,,102,15.44
,,,,,,,103,19.1
,,,,,,,104,21.89
,,,,,,,105,23.07
,,,,,,,106,22.07
,,,,,,,107,21.95
,,,,,,,108,22.76
,,,,,,,109,24.18
,,,,,,,110,25.11
,,,,,,,111,27.16
,,,,,,,112,28.83
,,,,,,,113,28.03
,,,,,,,114,26.35
,,,,,,,115,21.7
,,,,,,,116,15.94
,,,,,,,117,11.53
,,,,,,,118,8.68
,,,,,,,119,5.15
,,,,,,,120,2.91
,,,,,,,121,2.86
,,,,,,,122,2.02
,,,,,,,123,1.96
,,,,,,,124,2.74
,,,,,,,125,5.09
,,,,,,,126,8.36
,,,,,,,127,12.69
,,,,,,,128,17.24
,,,,,,,129,21.85
,,,,,,,130,24.2
,,,,,,,131,24.98
,,,,,,,132,26.13
,,,,,,,133,27.76
,,,,,,,134,28.98
,,,,,,,135,30.4
,,,,,,,136,31.19
,,,,,,,137,29.64
,,,,,,,138,26.81
,,,,,,,139,22.28
,,,,,,,140,17.32
,,,,,,,141,13.22
,,,,,,,142,10.32
,,,,,,,143,7.2
,,,,,,,144,4.66
,,,,,,,145,2.88
,,,,,,,146,3.71
,,,,,,,147,1.36
,,,,,,,148,2.12
,,,,,,,149,3.96
,,,,,,,150,6.5
,,,,,,,151,9.93
,,,,,,,152,14.06
,,,,,,,153,18.37
,,,,,,,154,23.64
,,,,,,,155,27.01
,,,,,,,156,27.7
,,,,,,,157,27.58
,,,,,,,158,26.75
,,,,,,,159,26.18
,,,,,,,160,25.04
,,,,,,,161,23.83
,,,,,,,162,21.36
,,,,,,,163,18.37
,,,,,,,164,14.69
,,,,,,,165,11.71
,,,,,,,166,9.1
,,,,,,,167,6.56
,,,,,,,168,4.47
