Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
135,1.0,0.5776,0.37996769,1.0
136,1.0,0.4757,0.59902066,1.0
137,1.0,0.3383,0.630329251,1.0
138,1.0,0.1684,0.65753907,1.0
139,1.0,0.0868,0.771859109,1.0
140,1.0,0.0487,0.490005106,1.0
141,1.0,0.0,0.365391672,1.0
142,1.0,0.0,0.340303034,1.0
143,1.0,0.0,0.094722599,1.0
144,1.0,0.0,0.015825296,1.0
145,1.0,0.0,0.002421153,1.0
146,1.0,0.0,0.000794847,1.0
147,1.0,0.0,0.000428479,1.0
148,1.0,0.0,0.01052763,1.0
149,1.0,0.0,0.016187765,1.0
150,1.0,0.1238,0.011523427,1.0
151,1.0,0.1126,0.006976931,1.0
152,1.0,0.2482,0.00335009,1.0
153,1.0,0.4064,0.028564842,1.0
154,1.0,0.5351,0.051422022,1.0
155,1.0,0.6317,0.043019362,1.0
156,1.0,0.6694,0.027543584,1.0
157,1.0,0.6718,0.090025589,1.0
158,1.0,0.6624,0.076414011,1.0
159,1.0,0.5849,0.14478156,1.0
160,1.0,0.4741,0.309692383,1.0
161,1.0,0.3354,0.401429474,1.0
162,1.0,0.1691,0.437628329,1.0
163,1.0,0.0894,0.69906354,1.0
164,1.0,0.1753,0.482573152,1.0
165,1.0,0.0,0.583878756,1.0
166,1.0,0.0,0.58348006,1.0
167,1.0,0.0,0.304607511,1.0
168,1.0,0.0,0.203610167,1.0
