carrier,HYD,process,lifetime (years),capex_d_p_MW_y,fom_d_p_MW_y,vom_d_MWh,carrier_loss_fraction,h2_consumption_fraction,elec_input_fraction_MWh_MWh,ng_input_MMBtu_p_MWh_H2,ramp_up_rate (fraction of nameplate capacity/hour),ramp_down_rate (fraction of nameplate capacity/hour),co_product_tonne_p_kWh,carrier_tonne_p_MWh_H2,make_up_carrier_cost_d_p_tonne,rich_storage_capex_d_p_tonne_y,lean_storage_capex_d_p_tonne_y,rich_storage_fom_d_p_tonne_y,lean_storage_fom_d_p_tonne_y,max_cap_MW_H2,transport_capex_d_p_tonne_y,transport_fom_capex_d_p_tonne_y,transport_fuel_use_MMBtu_p_mile
LOHC,1,hyd,20,6975,2880.3,0,0.03,0,0.01,0,1,1,0,0.454,4000,50,50,27.6,27.6,10000,50.19,27.6,5.036
LOHC,2,dehyd,20,5231.2,2160.2,0,0.01,0,0.28,0,1,1,0,0.454,4000,50,50,27.6,27.6,10000,50.19,27.6,5.036
