Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,5.405494843620869e-9,1.722974147200704e-5,1.722433597716342e-5
Fuel_cell_1.0,1.0,0,2.6076784317428006e-9,6.224790496418562e-6,6.222182817986819e-6
CCGT-H2_2.0,2.0,0,5.40582214774583e-9,1.7878556953090107e-5,1.7873151130942362e-5
Fuel_cell_2.0,2.0,0,2.6076466093714054e-9,6.299308595343012e-6,6.2967009487336405e-6
CCGT-H2_3.0,3.0,0,5.405174052191541e-9,1.9556514408951647e-5,1.9551109234899456e-5
Fuel_cell_3.0,3.0,0,2.607734630733459e-9,6.443049420146277e-6,6.440441685515543e-6
CCGT-H2_4.0,4.0,0,5.405303806324446e-9,1.8943979171881524e-5,1.89385738680752e-5
Fuel_cell_4.0,4.0,0,2.607725153278388e-9,6.341943135704077e-6,6.339335410550799e-6
CCGT-H2_5.0,5.0,0,5.403831856387675e-9,1.7925516701947733e-5,1.7920112870091347e-5
Fuel_cell_5.0,5.0,0,2.6080459536815694e-9,6.263069257292978e-6,6.2604612113392964e-6
CCGT-H2_6.0,6.0,0,5.405545868411173e-9,1.844087911379999e-5,1.843547356793158e-5
Fuel_cell_6.0,6.0,0,2.6077003862719936e-9,6.166280709877066e-6,6.163673009490794e-6
CCGT-H2_7.0,7.0,0,5.405508027324304e-9,1.768347215149596e-5,1.7678066643468636e-5
Fuel_cell_7.0,7.0,0,2.6076727948155016e-9,6.188079501498474e-6,6.185471828703658e-6
CCGT-H2_8.0,8.0,0,5.404885851942917e-9,1.8725467128971898e-5,1.8720062243119957e-5
Fuel_cell_8.0,8.0,0,2.6077485125915436e-9,6.2639337786369525e-6,6.261326030124361e-6
CCGT-H2_9.0,9.0,0,5.405830053172511e-9,1.9069895559881465e-5,1.9064489729828294e-5
Fuel_cell_9.0,9.0,0,2.607808439674677e-9,6.387874356180052e-6,6.3852665477403775e-6
CCGT-H2_10.0,10.0,0,5.405215391164077e-9,1.8633787065803017e-5,1.8628381850411854e-5
Fuel_cell_10.0,10.0,0,2.607817525013559e-9,6.305476747913734e-6,6.30286893038872e-6
Total,n/a,0,8.013019033546024e-8,0.0002469716157268416,0.00024689148553650613
