Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
Sum,4.9628205e6,2.9252775e6,2.614415e6,5.878789e6,1.5631755e6,2.3190015e6,6.7663395e6,0.0,535387.75,0.0,1.8432041e6,399139.97,468824.53,0.0,779252.3,0.0,119754.27,119754.27,170080.45,408018.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853439.8,3.2726674e7
t1,308.21482144410203,1.0591985845753347,475.9574575010454,663.0170525995561,712.3994115588248,356.4863166690835,772.9127650477576,0.0,101.84092686065992,0.0,299.49890396633623,89.89378514586393,89.85471931835613,0.0,59.06118583159576,0.0,26.948485146091326,26.948485146091326,37.050220206289616,89.45238861478242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.48490674279213,4251.081030383803
t2,216.63247723892835,32.65745510230748,392.02818947441875,367.45126273052927,623.6607062591955,356.3607752224135,772.9127346248458,0.0,149.37417486801675,0.0,299.38443819584296,89.64183262721862,51.15819548492563,0.0,104.67970350463462,0.0,16.671824205350948,16.671824205350948,37.13506767302801,89.5714102053948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.54806940235295,3756.540141024755
t3,152.92802920551753,53.636968234168805,372.47630386758823,267.5590703437527,512.5059929869878,356.3597906681768,772.9127183543869,0.0,147.58736787248318,0.0,297.6427805733723,89.64642282425328,48.038754136739875,0.0,104.66215655790377,0.0,10.837434275364505,10.837434275364505,37.129017387928215,89.55643450807801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.5401804272536,3464.8568564993197
t4,105.72629317577095,78.52054044164991,475.9171323590528,438.6570869554007,328.88437325845683,356.48105261735645,772.9127197125567,0.0,75.59841530434579,0.0,184.29966455854108,89.88903569364948,89.8369238016603,0.0,104.67613091226359,0.0,8.448508795062747,8.448508795062747,37.12706415700214,89.55895200086455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.54381737654055,3385.526219915237
t5,160.99377399270315,82.3727454938388,473.8373556903519,230.74653362741353,316.7092435533034,356.3779616082305,772.9127291060665,0.0,4.32153661972672,0.0,5.890281064648782,89.69661542446941,88.23451301830191,0.0,104.66611957397102,0.0,7.9960964089385245,7.9960964089385245,37.08792454277547,89.4956723561625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.52089341168062,2969.8560919015217
t6,253.067439346208,133.12082324229632,343.7727547483733,981.1824860717506,681.0427777031642,356.34306156790564,772.9128306880566,0.0,0.8058386713037913,0.0,1.0451417569118282,89.72872218237248,46.04917228132876,0.0,104.61149629153611,0.0,4.8765390564708415,4.8765390564708415,26.988378613864953,74.22508982103065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.68056219972556,4013.3296532987697
t7,457.06072310559045,0.8688192844659228,227.94611166938023,120.29377329734366,712.126976780211,356.3156331025361,772.9128422538154,0.0,0.7236635667780171,0.0,3.5289684098566756,89.6254628050008,38.83785743826485,0.0,3.0545102810529405,0.0,0.4295299449115251,0.4295299449115251,9.935093273212594,17.630415945610903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.3311677285471,2950.051078831489
t8,439.15986540278703,0.8651565190014094,239.2804939342531,1.784636353049521,711.7991771576155,356.30137988472904,772.9128221098047,0.0,0.6967821914291746,0.0,1.9359902597404424,89.57129609210651,40.002255367354806,0.0,2.6639191501872332,0.0,13.566117477262479,13.566117477262479,1.9382033005511616,2.7758171713162656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.2418037173806,2823.061833565832
t9,425.9345983109638,0.869353206397283,222.56559285336883,1.381304338117752,711.7045725840662,356.2875066591319,772.9128173415714,0.0,0.7055159452081394,0.0,4.18048510311652,89.57624420462554,39.29315681472857,0.0,2.5832983280182917,0.0,19.769864755936595,19.769864755936595,1.4911392281566282,2.098195443494774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.06675371116734,2788.190263584006
