x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168
6.076095708175855e-7,5.835912183301632e-7,5.593102472650657e-7,5.352376799492838e-7,5.297123085433407e-7,7.237281770907956e-7,1.5295698929477792e-6,1055.5017903912988,2497.029010411092,2497.029019685204,2497.029024882084,2497.029026739233,2587.621954212763,2679.33367482535,2741.2314170537848,2786.8479513047805,2815.494105791085,1.1607975267588543e-5,7.232178595376201e-7,5.690558942432548e-7,5.528333053849384e-7,5.427656739088609e-7,5.003374428791865e-7,4.644152550851337e-7,4.3612078740017655e-7,4.142149751489287e-7,3.9890983088584144e-7,3.9314817517396833e-7,4.0120937069966994e-7,6.154486572192933e-7,7.176783900737983e-7,6.999746047695835e-7,3.9276652879121135e-7,3.6767190223061555e-7,4.6533652391518273e-7,6.142547776540568e-7,7.935378181006731e-7,1.4762258580366028e-6,2.1720648220709344e-6,2.71645902793382e-6,2.378216199480068e-6,3.153631413224157e-6,5.725155468754749e-7,4.3374091252059994e-7,4.197696821456453e-7,4.252855826916401e-7,4.0048034311027455e-7,3.8237273433946404e-7,3.6253928475553826e-7,3.5238714857110834e-7,3.454370999547799e-7,3.385387835388637e-7,3.416067729754201e-7,4.055891336775453e-7,9.66833287608312e-7,1.1139816595093102e-6,7.110760710996966e-7,7.862377802296175e-7,8.904815137147784e-7,3.0480096121078917e-6,536.8706334419331,570.3521079979844,596.9567484585143,614.5477397982538,624.6211076347593,282.4488795153454,7.67908601762948e-7,5.832515542150577e-7,5.236884865159012e-7,4.928126987024036e-7,4.901908045719684e-7,4.5658684307252616e-7,4.2389188919312096e-7,4.050208029670628e-7,3.960037865146412e-7,3.913804389422409e-7,3.9797938435995767e-7,5.361521756229562e-7,1.1608637346792342e-6,2.7154254763631027e-6,1109.0691598673066,1109.069240058922,0.0006348484844836202,1.9267788501387776e-5,1.0546424950894518e-5,1452.4821233307189,1495.826188112568,1523.0634595089175,1534.214442813916,1798.1028051918104,6.687702656467311e-6,1.098030843774646e-6,6.94280142641727e-7,6.222055879369825e-7,5.474277227516939e-7,5.287502160334736e-7,4.85462777505349e-7,4.713878726878893e-7,4.660730609480507e-7,4.6657474990276655e-7,4.628071628929781e-7,8.983107493998896e-7,1.1564172806868248e-6,2.0534679927104098e-6,1373.4890037501277,2468.2560473551302,2589.782454512809,2836.0967871445387,3029.3847465411463,3166.8747661480743,3263.0950554426554,3326.765238075654,3352.5110022212757,3334.1904052089308,1.7048436346137584e-5,1.2841654596904874e-6,1.0978477909793664e-6,9.608426503538223e-7,7.837268691504091e-7,7.036774200882824e-7,6.079239115593896e-7,5.410101561552683e-7,5.08258402174518e-7,4.939553787178388e-7,4.953177729903499e-7,7.970382544572184e-7,7.176485128672274e-7,3.8478718971478835e-7,3.741963624828332e-7,4.849255451294063e-7,8.091206510565946e-7,1.88708944845841e-6,3.6448124787306913e-6,3.7305390682479053e-6,7.528138618935476e-6,7.723155108416081e-6,7.746587958677286e-6,1.9474123430569812e-5,2.365001019018849e-6,1.0076417885095562e-6,8.773230766926895e-7,7.63546056045737e-7,6.750731550939917e-7,5.914812169954456e-7,5.249534780846441e-7,4.881897036248582e-7,4.59508182782981e-7,4.470259606554437e-7,4.529257682607928e-7,8.532974462762143e-7,4.676770125435327e-6,604.141592799336,2497.0289978005467,2243.5877542036396,2578.6577074196894,2776.3802112790972,6031.828008455246,6330.835316039606,6543.911050824549,6661.443240998467,6692.338316143858,1568.710985583428,2.3663574266868644e-6,1.0660158999899357e-6,1.0042357269482481e-6,8.77083593227716e-7,7.58222124518413e-7,6.657754736460938e-7
3.231005397227773e-7,3.234413695984116e-7,3.207547345956792e-7,3.203280954228974e-7,4.0988412703302815e-7,3.727185488263177e-7,2.5842766843473027e-7,1.9545317916162718e-7,1.8678479641507067e-7,2.0797382147748366e-7,2.2918328325566238e-7,2.509521803013815e-7,2.750748762192994e-7,2.9983448524812615e-7,3.9019827781432105e-7,5.074201917794224e-7,5.434483730190224e-7,7.237233333017023e-7,3.9496060680369965e-7,3.7668428778813324e-7,3.7374247255814413e-7,3.681771231777789e-7,3.6037901368917054e-7,3.5217616695255285e-7,3.437723384606964e-7,3.4303021824978416e-7,3.3757310039838945e-7,3.3963307571215133e-7,4.121628260858278e-7,3.7084205367456167e-7,3.402197800748632e-7,2.0780590872536067e-7,1.7822652819575517e-7,1.77967082401622e-7,2.096815856864951e-7,2.4827157526303225e-7,3.193649622892529e-7,3.8077094562819836e-7,4.4346608978010907e-7,5.650151610302466e-7,7.11198978504057e-7,1.59005844460681e-6,5.9195979004423e-7,5.498771408927262e-7,5.392521001463304e-7,4.968194199044646e-7,4.5179501388028246e-7,4.316043393238605e-7,4.1796762201060626e-7,4.10742806197361e-7,4.0751369883722965e-7,4.0545450901979666e-7,4.7173255309010387e-7,8.92026480238159e-7,1.7547106757311243e-6,108.35679444948278,2048.567674165902,2048.5677092597334,2048.5677194982777,2048.567720190775,2048.5677251494935,2048.567725706162,2048.5677216235567,2085.2574526590315,682.7794591166339,9.241861582868962e-6,1.3433656145116787e-6,1.133753729992473e-6,1.0738919674747969e-6,9.433458036686531e-7,8.055959267072761e-7,7.295973186237207e-7,6.808756603753736e-7,6.555083914388371e-7,6.370437824445218e-7,6.336933651258318e-7,7.88914767617388e-7,6.564284273935121e-7,1.5054148689134812e-6,4.74638675513131e-6,5735.513168564144,5735.513286278474,5735.513296942805,5735.513299865412,5800.225626114497,5902.333105722981,5947.176236486531,5945.760266820383,5776.309260738843,315.52196670890885,1.1618240041680512e-6,6.939870158846476e-7,8.651877842929027e-7,7.68308320610596e-7,6.705798072488897e-7,6.210393528610099e-7,5.885271630292141e-7,5.734539196545184e-7,5.614802020964809e-7,5.527390051452633e-7,7.004339016864755e-7,6.863075201961024e-7,6.580712408644238e-7,4.492098257636589e-7,3.665399900369749e-7,3.483568512374879e-7,4.393359731050161e-7,4.949006263470993e-7,5.707189223611936e-7,948.3380733321981,2048.5677418953783,1.84635098324378e-5,2.0716757151683903e-6,9.263915187372144e-7,4.0355483903318e-7,3.6271066548715234e-7,3.513238453410844e-7,3.441622167950863e-7,3.2657972582115737e-7,3.17778399587446e-7,3.097154520252741e-7,3.0286112407916635e-7,2.981855481684465e-7,2.9274202576692486e-7,3.232091390814227e-7,5.304280813344287e-7,1.3129246443473663e-6,5.267560859289e-7,5.455794307477154e-7,7.272408428425718e-7,2.6422237984030606e-6,8.0720973221096e-6,2.951901569691641e-5,3.8850041741234596e-5,3.855652876083842e-5,3.133613674364535e-5,6.541837342540131e-6,1.3103752543575618e-6,4.806531138883995e-7,4.422181476227484e-7,4.3357675637014867e-7,4.1031096061784877e-7,3.866897463360077e-7,3.692887831864943e-7,3.517814875661916e-7,3.402707122201443e-7,3.2930285600105006e-7,3.2501938363280896e-7,3.618347539150919e-7,5.038404789204477e-7,6.544390075318492e-7,2.3763070858751805e-6,2384.3283896717617,2384.3284265503294,2384.32843113678,2384.3284350589,4294.272796918272,4294.272814209451,4294.2728143382465,4294.272809012663,4294.270975154032,1.0202063403504054e-6,4.423350137617069e-7,4.135101733383057e-7,4.0761466578529554e-7,3.809513884084364e-7,3.583665195688716e-7,3.46366678321827e-7
1.0856627644257184e-6,1.0832693596641202e-6,1.0910168920638316e-6,1.1002305691550497e-6,1.295230899864665e-6,1.6388585687238067e-6,1.0756980489715843e-6,6.925212258682113e-7,6.074067969874422e-7,6.344944865949485e-7,7.949746633909905e-7,1.111355855746085e-6,2.9972500264858148e-6,2.8319553433381437e-6,2.66959627852971e-6,2.4333280130641745e-6,1.7817876909450919e-6,1.1694423119480696e-6,8.99815904083234e-7,8.682809403974165e-7,8.439416442924122e-7,8.163006381869394e-7,7.643765162013226e-7,7.496570358271962e-7,7.403881325206537e-7,7.256916429446896e-7,7.098052121216392e-7,6.955011100386293e-7,8.346237237918117e-7,1.4550783277937737e-6,1.187411850509616e-6,1.242802081615873e-6,1.2349147021877406e-6,1.1178523409471127e-6,1.282754740667769e-6,1.7321140873242263e-6,2.5782243942138643e-6,2.8611875141874984e-6,2.7125449119954465e-6,2.4645839362915007e-6,2.1373935878836762e-6,2.4353440371321835e-6,1.1648664673833613e-6,1.49275078964407e-6,1.3801423592185605e-6,1.2758982539207657e-6,1.1371783930876007e-6,1.0926027800528505e-6,1.0520095135760598e-6,1.0504602085690054e-6,1.0228930356273044e-6,1.03214600727177e-6,1.3024520927850785e-6,1.7399068931895376e-6,3.1763564191148418e-6,8.879662233691435e-6,3.717160267017062e-5,2268.25015126228,2268.251420565309,2268.2514959234745,2268.2515079664904,2268.2515096106076,2268.2515098178874,2268.251506345912,2268.25144919676,5.083588680652312e-6,1.859097209204821e-6,1.238396440860043e-6,1.260965481789743e-6,1.2372411779433545e-6,1.118997067266924e-6,9.699678304109986e-7,8.971319727890491e-7,8.753932495364849e-7,8.572309580064585e-7,8.767262877070283e-7,1.2929218662286179e-6,1.2107466697872972e-5,0.0006075852843104856,3.565883201206606e-5,2268.2514952149845,4419.277383756079,5955.767245796231,5955.76724846166,5955.767246553501,5955.767237027224,5955.76719954909,5199.310915099247,1.656803100704568e-5,4.77553936791106e-6,3.4320531481204977e-6,2.8416140002880674e-6,2.7084576212955958e-6,2.4938867540937157e-6,2.2056391474048118e-6,1.9185863352303453e-6,1.67747093841674e-6,1.60347159185902e-6,1.5257287114085131e-6,1.541143997555583e-6,1.853883602927301e-6,1.93372594138537e-6,5.1498718865696435e-6,0.0008385855563007444,5040.962043528355,5040.962068904004,5040.962072253964,5040.96208267475,5040.9620884554015,5040.962085576783,5040.962076616565,2893.007625450084,0.0006355624311157743,6.502152767433496e-6,3.5351428191283626e-6,3.180703251821177e-6,3.1219106956910316e-6,3.0501390782478803e-6,2.6892197387382737e-6,2.2351458601198347e-6,1.9010897576270656e-6,1.650419819415166e-6,1.5017770519972081e-6,1.4708319178641032e-6,2.0631130406842727e-6,2.412366804541822e-6,5.4517225024479105e-6,8.20747484177424e-5,513.5018690990734,513.5018943757713,513.501890622104,4.9547961672538957e-5,513.501815318768,513.5018956755636,513.5018975091374,513.5018927558851,513.5018741592852,3.460104959401302e-6,1.5503292911202607e-6,1.4628699120314411e-6,1.3915225820578414e-6,1.3240672016706363e-6,1.2201542863848343e-6,1.0988637554087862e-6,1.0153043272237433e-6,9.552334512283263e-7,9.017892960523285e-7,8.899054343959004e-7,1.4281871448738035e-6,7.368437688980655e-6,2.143353329201722e-6,1.5817210992024417e-6,2.1566487475640085e-6,6.681232857218343e-6,1919.848027458594,1919.8480316883922,1919.8480313375653,1919.8480295872678,1919.848027115492,2268.251393439306,4017.8596520754654,2.4982826478559417e-6,1.6519282182874176e-6,1.3732129577672671e-6,1.2383796430272243e-6,1.1530075626263139e-6,1.0409832906938936e-6,9.847763768833717e-7
