Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap,MaxAnnualGeneration,AnnualGeneration,CapacityFactor,AnnualEmissions
MIDAT_conventional_hydroelectric_1,2,2806.182,0.0,0.0,2806.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4582154319999997e7,3.6967677746029706e6,0.15038420662729657,0.0
MIDAT_hydroelectric_pumped_storage_1,2,5244.0,0.0,0.0,5244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.593744e7,0.0,0.0,0.0
MIDAT_natural_gas_fired_combined_cycle_1,2,4026.4,1.0639838172349075e-5,0.0,4026.3999893601617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.527126390679502e7,80.18251524735344,2.2733099516716286e-6,33.51496250388928
MIDAT_natural_gas_fired_combined_cycle_2,2,31802.922,9.055366873901491e-6,0.0,31802.921990944633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78593596640675e8,3.767648375663837e7,0.1352381541103144,1.4011904258476766e7
MIDAT_natural_gas_fired_combined_cycle_3,2,1697.696,1.0018852902587453e-5,0.0,1697.695989981147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4871816872234847e7,8.837169179424057,5.942225657661732e-7,5.964983260426369
MIDAT_natural_gas_fired_combined_cycle_4,2,20288.499,9.370022271378354e-6,0.0,20288.498990629978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.777272511579186e8,2.251212089160991e7,0.12666668023581193,8.789044361405263e6
MIDAT_natural_gas_fired_combustion_turbine_1,2,14508.75,9.85009729667716e-6,0.0,14508.749990149903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2709664991371316e8,9.261443529526929,7.286929699417405e-8,6.077746344934946
MIDAT_natural_gas_fired_combustion_turbine_2,2,704.718,1.0311939637191333e-5,0.0,704.7179896880604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.173329589667409e6,11.433379357724144,1.8520604143444288e-6,6.563778206830834
MIDAT_nuclear_1,2,2440.0,5.213573780531665e-6,0.0,2439.999994786426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1374399954329092e7,1.6383921173725495e7,0.766520754207519,0.0
MIDAT_nuclear_2,2,17770.208,3.507572529906158e-6,0.0,17770.207996492427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5566702204927367e8,1.1935858746694502e8,0.7667557707191454,0.0
MIDAT_onshore_wind_turbine_1,2,3231.6,5.264834014052423e-6,0.0,3231.599994735166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8308815953880057e7,1.0233982236059936e7,0.3615121965091319,0.0
MIDAT_small_hydroelectric_1,2,263.268,0.0,0.0,263.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3062276799999997e6,380153.9509578755,0.16483799680952385,0.0
MIDAT_solar_photovoltaic_1,2,2974.6,1.690476714381688e-5,0.0,2974.599983095233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.605749585191424e7,5.690367092155693e6,0.21837735768986669,0.0
NE_conventional_hydroelectric_1,3,4729.48,0.0,0.0,4729.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14302448e7,1.914220593126767e7,0.46203458424333693,0.0
NE_hydroelectric_pumped_storage_1,3,3206.9,0.0,0.0,3206.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8092444e7,0.0,0.0,0.0
NE_natural_gas_fired_combined_cycle_1,3,6119.616,9.068613787543791e-6,0.0,6119.6159909313865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.360783608055895e7,20.575137671183942,3.838083977175415e-7,9.60782999105668
