Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
MIDAT,MIDAT_conventional_hydroelectric_1,2,1,0.0,3.0231480002589244e7,0.0,3.0231480002589244e7
MIDAT,MIDAT_hydroelectric_pumped_storage_1,2,1,0.0,0.0,0.0,0.0
MIDAT,MIDAT_natural_gas_fired_combined_cycle_1,2,1,0.0,3.888766984364296e8,0.0,3.888766984364296e8
MIDAT,MIDAT_natural_gas_fired_combined_cycle_2,2,2,0.0,3.071581414296883e9,0.0,3.071581414296883e9
MIDAT,MIDAT_natural_gas_fired_combined_cycle_3,2,3,0.0,1.639664241187432e8,0.0,1.639664241187432e8
MIDAT,MIDAT_natural_gas_fired_combined_cycle_4,2,4,0.0,1.959498452013756e9,0.0,1.959498452013756e9
MIDAT,MIDAT_natural_gas_fired_combustion_turbine_1,2,1,0.0,1.4012802556064885e9,0.0,1.4012802556064885e9
MIDAT,MIDAT_natural_gas_fired_combustion_turbine_2,2,2,0.0,6.8062884653453e7,0.0,6.8062884653453e7
MIDAT,MIDAT_nuclear_1,2,1,0.0,2.3565943482199696e8,0.0,2.3565943482199696e8
MIDAT,MIDAT_nuclear_2,2,2,0.0,1.7162775368224657e9,0.0,1.7162775368224657e9
MIDAT,MIDAT_onshore_wind_turbine_1,2,1,0.0,0.0,0.0,0.0
MIDAT,MIDAT_small_hydroelectric_1,2,1,0.0,0.0,0.0,0.0
MIDAT,MIDAT_solar_photovoltaic_1,2,1,0.0,1.42272074557793e8,0.0,1.42272074557793e8
NE,NE_conventional_hydroelectric_1,3,1,0.0,0.0,3.4566335178811926e8,3.4566335178811926e8
NE,NE_hydroelectric_pumped_storage_1,3,1,0.0,0.0,0.0,0.0
NE,NE_natural_gas_fired_combined_cycle_1,3,1,0.0,0.0,6.714801328893608e8,6.714801328893608e8
NE,NE_natural_gas_fired_combined_cycle_2,3,2,0.0,0.0,2.328944571951946e9,2.328944571951946e9
NE,NE_natural_gas_fired_combined_cycle_3,3,3,0.0,0.0,2.1396537186326543e6,2.1396537186326543e6
NE,NE_natural_gas_fired_combustion_turbine_1,3,1,0.0,0.0,1.5506468936141512e8,1.5506468936141512e8
NE,NE_natural_gas_fired_combustion_turbine_2,3,2,0.0,0.0,2.5689007672404188e8,2.5689007672404188e8
NE,NE_nuclear_1,3,1,0.0,0.0,3.725961072332321e8,3.725961072332321e8
NE,NE_nuclear_2,3,2,0.0,0.0,2.3094001553371426e8,2.3094001553371426e8
NE,NE_onshore_wind_turbine_1,3,1,0.0,0.0,0.0,0.0
NE,NE_small_hydroelectric_1,3,1,0.0,0.0,0.0,0.0
NE,NE_solar_photovoltaic_1,3,1,0.0,0.0,6.138889191907021e7,6.138889191907021e7
SE,SE_conventional_hydroelectric_1,1,1,1.336783756673113e8,0.0,0.0,1.336783756673113e8
SE,SE_hydroelectric_pumped_storage_1,1,1,0.0,0.0,0.0,0.0
SE,SE_natural_gas_fired_combined_cycle_1,1,1,2.7107291691639547e9,0.0,0.0,2.7107291691639547e9
SE,SE_natural_gas_fired_combined_cycle_2,1,2,4.794669688420018e8,0.0,0.0,4.794669688420018e8
SE,SE_natural_gas_fired_combined_cycle_3,1,3,4.412576707057282e9,0.0,0.0,4.412576707057282e9
SE,SE_natural_gas_fired_combined_cycle_4,1,4,6.294845632483225e8,0.0,0.0,6.294845632483225e8
SE,SE_natural_gas_fired_combustion_turbine_1,1,1,2.577918418490062e9,0.0,0.0,2.577918418490062e9
SE,SE_natural_gas_fired_combustion_turbine_2,1,2,7.063636415940197e7,0.0,0.0,7.063636415940197e7
SE,SE_nuclear_1,1,1,3.477212170553487e9,0.0,0.0,3.477212170553487e9
SE,SE_nuclear_2,1,2,2.303509260794007e8,0.0,0.0,2.303509260794007e8
SE,SE_small_hydroelectric_1,1,1,0.0,0.0,0.0,0.0
SE,SE_solar_photovoltaic_1,1,1,4.373864703521448e8,0.0,0.0,4.373864703521448e8
SE,SE_naturalgas_ccccsavgcf_conservative_0,1,0,252.83021252874283,0.0,0.0,252.83021252874283
SE,SE_naturalgas_ccavgcf_moderate_0,1,0,1859.1653244568258,0.0,0.0,1859.1653244568258
SE,SE_naturalgas_ctavgcf_moderate_0,1,0,3.156446678010276e10,0.0,0.0,3.156446678010276e10
SE,SE_battery_moderate_0,1,0,-6.879145977835115e10,-0.0,-0.0,-6.879145977835115e10
SE,SE_nuclear_mid_0,1,0,776.1091190320774,0.0,0.0,776.1091190320774
MIDAT,MIDAT_naturalgas_ccccsavgcf_conservative_0,2,0,0.0,233.90788569992978,0.0,233.90788569992978
MIDAT,MIDAT_naturalgas_ccavgcf_moderate_0,2,0,0.0,1308.5122561645148,0.0,1308.5122561645148
MIDAT,MIDAT_naturalgas_ctavgcf_moderate_0,2,0,0.0,2.7605772938394386e10,0.0,2.7605772938394386e10
MIDAT,MIDAT_battery_moderate_0,2,0,-0.0,-5.846265166033093e10,-0.0,-5.846265166033093e10
MIDAT,MIDAT_nuclear_mid_0,2,0,0.0,1276.1994181647065,0.0,1276.1994181647065
NE,NE_naturalgas_ccccsavgcf_conservative_0,3,0,0.0,0.0,256.8958015384648,256.8958015384648
NE,NE_naturalgas_ccavgcf_moderate_0,3,0,0.0,0.0,1088.7212394482863,1088.7212394482863
NE,NE_naturalgas_ctavgcf_moderate_0,3,0,0.0,0.0,9.140066304566696e9,9.140066304566696e9
NE,NE_battery_moderate_0,3,0,-0.0,-0.0,-1.982962888371418e10,-1.982962888371418e10
NE,NE_nuclear_mid_0,3,0,0.0,0.0,1326.6249730273012,1326.6249730273012
NE,NE_offshorewind_class10_moderate_floating_1_1,3,1,0.0,0.0,1.1918624324593287e9,1.1918624324593287e9
SE,SE_utilitypv_class1_moderate_70_0_2_1,1,1,1241.280035363112,0.0,0.0,1241.280035363112
SE,SE_utilitypv_class1_moderate_70_0_2_2,1,2,2853.4779758693567,0.0,0.0,2853.4779758693567
SE,SE_utilitypv_class1_moderate_70_0_2_3,1,3,394.099430420789,0.0,0.0,394.099430420789
SE,SE_utilitypv_class1_moderate_70_0_2_4,1,4,4.012755234592264e10,0.0,0.0,4.012755234592264e10
SE,SE_utilitypv_class1_moderate_70_0_2_5,1,5,5.775250086653376e10,0.0,0.0,5.775250086653376e10
SE,SE_utilitypv_class1_moderate_70_0_2_6,1,6,665.4955150859123,0.0,0.0,665.4955150859123
SE,SE_utilitypv_class1_moderate_70_0_2_7,1,7,773.2840996090947,0.0,0.0,773.2840996090947
SE,SE_utilitypv_class1_moderate_70_0_2_8,1,8,5.807704298415634e10,0.0,0.0,5.807704298415634e10
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_1,2,1,0.0,1.2810034804587376e9,0.0,1.2810034804587376e9
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_2,2,2,0.0,1.3251394303686083e10,0.0,1.3251394303686083e10
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_3,2,3,0.0,5.576592736035462e9,0.0,5.576592736035462e9
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_4,2,4,0.0,5.1161653324885185e10,0.0,5.1161653324885185e10
