Constraint,CapRes_1,CapRes_2,CapRes_3
t1,7.773169044830661e-6,1.6406031753939452e-5,2.4240345921267435e-5
t2,7.408275034645591e-6,1.606183391047323e-5,2.182079899762717e-5
t3,7.416042053657987e-6,1.621919853983449e-5,1.9080655339395245e-5
t4,7.619494059938066e-6,1.6658892019668175e-5,1.6803490725495085e-5
t5,8.157334240410102e-6,1.8642463746601086e-5,1.8579024458327673e-5
t6,1.0304410837017889e-5,2.8222593935548897e-5,2.8387248876072794e-5
t7,2.9147157135048728e-5,0.0001035425197206106,6.264767542797283e-5
t8,98.64217705853865,90.9807564140994,0.0001035491278610243
t9,0.00013150168475623217,91.49146186614676,0.00015843410858969962
t10,7.9031643649647e-5,91.49149599779827,0.00024221639951856766
t11,98.64238071508976,91.49150575733862,0.0002855799473115456
t12,98.64244825107488,91.49150532205752,0.0002709941552940304
t13,98.6424480277737,91.49151284695678,0.0002946330058974555
t14,98.64245008969029,91.4915266812942,0.00033302379908368995
t15,98.64245089334058,91.4915377105043,0.00037145954313755195
t16,98.6424336554703,91.49154564500945,0.0001797767845857383
t17,9.701439039641656,7.3931507838925405,7.926245394963639e-5
t18,2.399847223921781e-5,3.0757185250062154e-5,4.474912425916414e-5
t19,1.7860320792466723e-5,3.2447012642755525e-5,4.43698237952534e-5
t20,1.8331602497642076e-5,3.674155340373674e-5,4.518268996142745e-5
t21,1.806273861154473e-5,3.3539987051063244e-5,4.1824566071411796e-5
t22,1.6158802359041614e-5,2.755371913309132e-5,3.533184742887373e-5
t23,1.4364936706832471e-5,2.396831154948968e-5,3.243584762937847e-5
t24,1.301225643035276e-5,2.2037283871379805e-5,2.8679426882274884e-5
t25,1.1730845972006161e-5,2.0607072189198884e-5,2.673734566736724e-5
t26,1.102916249811934e-5,2.0194090114328424e-5,2.5639710464459646e-5
t27,1.0355192675686835e-5,1.9686089938278715e-5,2.4328080667436586e-5
t28,1.0071439404830213e-5,1.9638649022621376e-5,2.4306983987954096e-5
t29,1.0368003579274174e-5,2.1025721502535125e-5,2.5433432861177798e-5
t30,1.2477663481515865e-5,3.194659404804249e-5,2.8377954379969235e-5
t31,5.5034526085509325e-5,7.53295907537623e-5,6.508562737449753e-5
t32,39.32747435402455,16.422701337081907,0.00012923441021000357
t33,3.5609038476547175e-5,1.673522069257913e-5,0.00017870742787272744
t34,4.481155359789108e-5,2.5493078417425376e-5,0.0003836557667350788
t35,39.32752316985747,0.00014443475935019907,0.0018426874018455616
t36,39.327539783929325,0.0015017041071395182,86.13895213053686
t37,39.32754370765007,26.93185152250456,86.14161504820049
t38,39.32754954956541,26.93203437000991,86.14174650161831
t39,39.32755182271363,37.440778272497965,86.65155322373626
t40,39.32754913972996,37.44121121873641,104.28248584942169
t41,0.0002767150137083256,0.00044000330080045194,0.00014173930690159045
t42,1.649165280255474e-5,1.9508040573649438e-5,0.00010053420998233795
t43,1.2464228510781547e-5,2.0143805872425534e-5,8.770227259333793e-5
t44,1.2398336905219096e-5,2.1296183569895403e-5,8.667117346585394e-5
t45,1.2417130359128743e-5,2.0156643173831185e-5,7.045440600983372e-5
t46,1.1550510507071467e-5,1.8121887170170567e-5,5.4343572416515166e-5
t47,1.0532385456479242e-5,1.641290902688573e-5,3.963977442585338e-5
t48,1.0105778634781285e-5,1.4750926326536963e-5,4.499745579069964e-5
t49,9.432087656852335e-6,1.5499856148388202e-5,2.7649068748095015e-5
t50,9.165156218819095e-6,1.5664939051946708e-5,2.3476233385927666e-5
t51,9.050406998299129e-6,1.5614632552716796e-5,2.217064623358201e-5
t52,8.794403387063206e-6,1.5038891208263331e-5,2.1207717512218408e-5
t53,9.002567825792057e-6,1.565756997402918e-5,2.3309921138796678e-5
t54,1.0354990500908516e-5,2.5872154404988712e-5,4.49909995003804e-5
t55,1.3980654936139698e-5,44.08671172513771,0.0001256966857312019
t56,0.0001163712744556803,0.00010290024078188398,0.00026685506195685613
t57,3.233931533987486e-5,0.00010222239287535002,42.376535545898186
t58,7.956021982507092e-5,0.0006908280396028115,42.376863662836236
t59,0.00012911623274566,54.595068399876496,42.37697003388141
t60,0.0001341743986548941,54.59509554622462,42.37700226452925
t61,0.0001381442445896454,54.595112245006824,42.377013706158394
t62,0.0001396434262605894,54.595275664157874,42.37696406237402
t63,0.00014149595359986167,65.10407757120218,42.37714419710538
t64,0.00014131769334840944,65.10432743759894,42.377283362891816
t65,8.863937347300154e-5,16.743808438705436,48.75695190296112
t66,1.7506648564674735e-5,3.481892524719443e-5,42.97703763588912
t67,1.2031506595425237e-5,3.371435351495518e-5,42.97774362040358
