Zone,1,2,3,Total
CO2_Price_1,200.6131395614995,200.6131395614995,200.6131395614995,0.0
AnnualSum,7.765922313834609e7,9.903967548937015e7,2.5365739519291516e7,2.0206463814700776e8
t1,32236.62535220358,29965.861866068266,7258.7865168244125,69461.27373509626
t2,32236.62517790814,29965.861565617393,7258.78613883436,69461.27288235989
t3,32236.62483607447,29965.861059502284,7258.785497923961,69461.27139350072
t4,32236.62425562155,29965.860178505092,7258.783473439983,69461.26790756662
t5,32236.623197030785,29965.85747336133,0.004075352346185526,62202.48474574446
t6,32236.619903478633,0.005061464623071823,0.0036901896892656888,32236.628655132947
t7,0.006769289814079258,0.004540049224927965,0.003473453735663747,0.01478279277467097
t8,0.0053342226338138525,0.004258729365949345,0.003337380512424283,0.012930332512187481
t9,0.0046531132876388055,0.0040799543444439345,0.0032489484621784723,0.011982016094261213
t10,0.00435310593836308,0.003954537010739262,0.003185200102412936,0.011492843051515279
t11,0.004181428745978459,0.0038683306653801695,0.0031433178609876966,0.011193077272346325
t12,0.0040862171119630634,0.003809042407654273,0.0031166782325914625,0.0110119377522088
t13,0.004041538508393747,0.0037627231192081216,0.003094419459339842,0.010898681086941711
t14,0.004045460971041714,0.003730859356522123,0.0030807019352794315,0.010857022262843269
t15,0.004097600851342791,0.003709782029190631,0.003073393996332031,0.010880776876865454
t16,0.00419943168297074,0.0036906185363644937,0.003064384407295454,0.010954434626630687
t17,0.004379020029176795,0.003678335060406072,0.003059841793936461,0.011117196883519328
t18,0.004955577488764369,0.0036714719428482903,0.003058918022169713,0.011685967453782373
t19,0.005119299025730547,0.0036626249234452857,0.0030543085636295757,0.011836232512805408
t20,0.005235331681894448,0.003657939937296338,0.0030528763772479455,0.011946147996438733
t21,0.005317749957285972,0.0036567463457576966,0.003054171204819557,0.012028667507863225
t22,0.005366178565081642,0.0036521143193216574,0.0030511379423359755,0.012069430826739275
t23,0.0053887754480436935,0.0036506624260848443,0.003050870706792802,0.01209030858092134
t24,0.005386267886516235,0.0036520283692088387,0.0030530837230133435,0.012091379978738418
t25,0.005353208869037263,0.0036495117775204263,0.003050818982034415,0.012053539628592104
t26,0.0052929642701850955,0.0036499402061388087,0.0030512871468933614,0.011994191623217266
t27,0.0052017104640857915,0.003653120936997265,0.0030542872482035065,0.011909118649286562
t28,0.0050674121262134645,0.003652521713326027,0.0030529686439329977,0.01177290248347249
t29,0.004879077309306833,0.0036551511779130625,0.0030546663152928605,0.011588894802512755
t30,0.004421753691812777,0.0036610489270043514,0.00305934694125733,0.011142149560074458
t31,0.004125440255936978,0.003663933356266925,0.003060379520916402,0.010849753133120305
t32,0.003988326639035,0.0036711442405712004,0.003065405493006058,0.010724876372612258
t33,0.0038992127481929334,0.003683160611852492,0.0030748273420478788,0.010657200702093304
t34,0.0038368599906391677,0.0036944016119501246,0.0030827399844395027,0.010614001587028795
t35,0.003799558802334685,0.0037130160450066967,0.0030976642093182337,0.010610239056659615
t36,0.0037822653574456676,0.0037407145271605934,0.003121412380191248,0.01064439226479751
t37,0.003776058663413234,0.003773721371420338,0.0031502002779376136,0.010699980312771185
t38,0.0037867892151384895,0.003822576141409413,0.003195163948916458,0.01080452930546436
t39,0.0038153098870453987,0.0038925379680663287,0.003262142373558182,0.01096999022866991
t40,0.0038577539552990796,0.003985269365250271,0.0033536035394568678,0.011196626860006218
