  68   1.87511928e+11  1.86752228e+11  1.40e+02 6.24e-04  1.49e+02   404s
  69   1.87441823e+11  1.86768358e+11  1.25e+02 5.05e-04  1.32e+02   409s
  70   1.87384435e+11  1.86778081e+11  1.13e+02 4.58e-04  1.19e+02   414s
  71   1.87297782e+11  1.86783037e+11  9.52e+01 4.38e-04  1.01e+02   419s
  72   1.87268030e+11  1.86788541e+11  8.90e+01 4.80e-04  9.39e+01   424s
  73   1.87235100e+11  1.86794702e+11  8.21e+01 5.05e-04  8.63e+01   429s
  74   1.87221919e+11  1.86797786e+11  7.93e+01 4.52e-04  8.31e+01   434s
  75   1.87212216e+11  1.86803099e+11  7.74e+01 3.40e-04  8.03e+01   440s
  76   1.87180022e+11  1.86807498e+11  7.07e+01 3.04e-04  7.31e+01   445s
  77   1.87143591e+11  1.86810823e+11  6.31e+01 2.60e-04  6.53e+01   451s
  78   1.87119440e+11  1.86814819e+11  5.81e+01 2.84e-04  5.98e+01   457s
  79   1.87095791e+11  1.86818043e+11  5.32e+01 2.26e-04  5.45e+01   462s
  80   1.87069114e+11  1.86819954e+11  4.76e+01 2.22e-04  4.88e+01   468s
  81   1.87054011e+11  1.86822509e+11  4.44e+01 2.27e-04  4.54e+01   474s
  82   1.87023540e+11  1.86823769e+11  3.81e+01 2.13e-04  3.91e+01   480s
  83   1.87008580e+11  1.86824442e+11  3.49e+01 2.16e-04  3.60e+01   487s
  84   1.86995990e+11  1.86827404e+11  3.23e+01 1.97e-04  3.30e+01   494s
  85   1.86979696e+11  1.86827892e+11  2.89e+01 1.99e-04  2.97e+01   500s
  86   1.86969780e+11  1.86830268e+11  2.68e+01 1.51e-04  2.73e+01   507s
  87   1.86962277e+11  1.86831493e+11  2.52e+01 2.01e-04  2.56e+01   514s
  88   1.86939888e+11  1.86833116e+11  2.05e+01 2.02e-04  2.08e+01   520s
  89   1.86931418e+11  1.86833423e+11  1.87e+01 1.86e-04  1.91e+01   529s
  90   1.86919956e+11  1.86834105e+11  1.63e+01 1.93e-04  1.67e+01   536s
  91   1.86916035e+11  1.86835379e+11  1.55e+01 1.56e-04  1.57e+01   545s
  92   1.86905156e+11  1.86835944e+11  1.32e+01 2.47e-04  1.35e+01   554s
  93   1.86897250e+11  1.86837090e+11  1.16e+01 2.28e-04  1.17e+01   561s
  94   1.86892959e+11  1.86837651e+11  1.07e+01 2.86e-04  1.08e+01   572s
  95   1.86886580e+11  1.86838138e+11  9.31e+00 3.30e-04  9.41e+00   582s
  96   1.86884327e+11  1.86838899e+11  8.83e+00 2.38e-04  8.84e+00   596s
  97   1.86880857e+11  1.86839294e+11  8.10e+00 3.73e-04  8.09e+00   604s
  98   1.86873860e+11  1.86839831e+11  6.63e+00 3.04e-04  6.62e+00   614s
  99   1.86871578e+11  1.86840144e+11  6.15e+00 2.68e-04  6.11e+00   623s
 100   1.86865910e+11  1.86840594e+11  4.95e+00 2.15e-04  4.92e+00   631s
 101   1.86862880e+11  1.86840834e+11  4.31e+00 1.85e-04  4.28e+00   642s
 102   1.86860887e+11  1.86841131e+11  3.89e+00 1.52e-04  3.84e+00   653s
 103   1.86858502e+11  1.86841381e+11  3.39e+00 1.21e-04  3.33e+00   667s
 104   1.86856378e+11  1.86841605e+11  2.94e+00 9.24e-05  2.87e+00   679s
 105   1.86854553e+11  1.86841689e+11  2.56e+00 8.30e-05  2.50e+00   693s
 106   1.86852283e+11  1.86841832e+11  2.08e+00 6.76e-05  2.03e+00   706s
 107   1.86850108e+11  1.86841942e+11  1.62e+00 5.39e-05  1.58e+00   718s
 108   1.86849687e+11  1.86841963e+11  1.53e+00 5.15e-05  1.50e+00   732s
 109   1.86849159e+11  1.86842030e+11  1.42e+00 4.29e-05  1.38e+00   746s
 110   1.86848262e+11  1.86842088e+11  1.23e+00 3.68e-05  1.20e+00   762s
