Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
66,1.0,0.1159,1.0,0.119901411,0.1285,1.0,0.475088507,1.0,1.0,1.0
67,1.0,0.0529,1.0,0.0421708,0.068,1.0,0.527274489,1.0,1.0,1.0
68,1.0,0.048,1.0,0.026643943,0.0668,1.0,0.398225695,1.0,1.0,1.0
69,1.0,0.0,1.0,0.006000017,0.0,1.0,0.446907103,1.0,1.0,1.0
70,1.0,0.0,1.0,0.011312632,0.0,1.0,0.49304834,1.0,1.0,1.0
71,1.0,0.0,1.0,0.147607014,0.0,1.0,0.621403217,1.0,1.0,1.0
72,1.0,0.0,1.0,0.327344626,0.0,1.0,0.594646752,1.0,1.0,1.0
73,1.0,0.0,1.0,0.510582566,0.0,1.0,0.597996175,1.0,1.0,1.0
74,1.0,0.0,1.0,0.665729821,0.0,1.0,0.616550386,1.0,1.0,1.0
75,1.0,0.0,1.0,0.769778907,0.0,1.0,0.678454101,1.0,1.0,1.0
76,1.0,0.0,1.0,0.781615794,0.0,1.0,0.732066453,1.0,1.0,1.0
77,1.0,0.0,1.0,0.923156559,0.0,1.0,0.680707097,1.0,1.0,1.0
78,1.0,0.1017,1.0,0.872993588,0.1517,1.0,0.700340629,1.0,1.0,1.0
79,1.0,0.103,1.0,0.416936696,0.1317,1.0,0.468663871,1.0,1.0,1.0
80,1.0,0.2403,1.0,0.640715778,0.2659,1.0,0.308907151,1.0,1.0,1.0
81,1.0,0.3815,1.0,0.548123121,0.4216,1.0,0.433436096,1.0,1.0,1.0
82,1.0,0.4815,1.0,0.678181589,0.4981,1.0,0.668577075,1.0,1.0,1.0
83,1.0,0.5593,1.0,0.523655593,0.5462,1.0,0.600421906,1.0,1.0,1.0
84,1.0,0.6001,1.0,0.422979057,0.5636,1.0,0.4817487,1.0,1.0,1.0
85,1.0,0.6257,1.0,0.440276533,0.584,1.0,0.500855207,1.0,1.0,1.0
86,1.0,0.6342,1.0,0.288656324,0.5905,1.0,0.445044398,1.0,1.0,1.0
87,1.0,0.5798,1.0,0.088861234,0.5736,1.0,0.536001384,1.0,1.0,1.0
88,1.0,0.4757,1.0,0.048434187,0.4946,1.0,0.585669577,1.0,1.0,1.0
89,1.0,0.3352,1.0,0.015997954,0.3746,1.0,0.476768315,1.0,1.0,1.0
90,1.0,0.1595,1.0,0.02092329,0.2176,1.0,0.462205201,1.0,1.0,1.0
91,1.0,0.0851,1.0,0.016852297,0.1172,1.0,0.34112674,1.0,1.0,1.0
92,1.0,0.1883,1.0,0.024710625,0.1645,1.0,0.224550784,1.0,1.0,1.0
93,1.0,0.0,1.0,0.056830518,0.0,1.0,0.50530684,1.0,1.0,1.0
