Time_Index,NG,None,coal,uranium
0,0.05306,0,0.095487528,0
1,2.031,0,2.467,0.699
2,2.031,0,2.467,0.699
3,2.031,0,2.467,0.699
4,2.031,0,2.467,0.699
5,2.031,0,2.467,0.699
6,2.031,0,2.467,0.699
7,2.031,0,2.467,0.699
8,2.031,0,2.467,0.699
9,2.031,0,2.467,0.699
10,2.031,0,2.467,0.699
11,2.031,0,2.467,0.699
12,2.031,0,2.467,0.699
13,2.031,0,2.467,0.699
14,2.031,0,2.467,0.699
15,2.031,0,2.467,0.699
16,2.031,0,2.467,0.699
17,2.031,0,2.467,0.699
18,2.031,0,2.467,0.699
19,2.031,0,2.467,0.699
20,2.031,0,2.467,0.699
21,2.031,0,2.467,0.699
22,2.031,0,2.467,0.699
23,2.031,0,2.467,0.699
24,2.031,0,2.467,0.699
25,2.031,0,2.467,0.699
26,2.031,0,2.467,0.699
27,2.031,0,2.467,0.699
28,2.031,0,2.467,0.699
29,2.031,0,2.467,0.699
30,2.031,0,2.467,0.699
31,2.031,0,2.467,0.699
32,2.031,0,2.467,0.699
33,2.031,0,2.467,0.699
34,2.031,0,2.467,0.699
35,2.031,0,2.467,0.699
36,2.031,0,2.467,0.699
37,2.031,0,2.467,0.699
38,2.031,0,2.467,0.699
39,2.031,0,2.467,0.699
40,2.031,0,2.467,0.699
41,2.031,0,2.467,0.699
42,2.031,0,2.467,0.699
43,2.031,0,2.467,0.699
44,2.031,0,2.467,0.699
45,2.031,0,2.467,0.699
46,2.031,0,2.467,0.699
47,2.031,0,2.467,0.699
48,2.031,0,2.467,0.699
49,2.031,0,2.467,0.699
50,2.031,0,2.467,0.699
51,2.031,0,2.467,0.699
52,2.031,0,2.467,0.699
53,2.031,0,2.467,0.699
54,2.031,0,2.467,0.699
55,2.031,0,2.467,0.699
56,2.031,0,2.467,0.699
57,2.031,0,2.467,0.699
58,2.031,0,2.467,0.699
59,2.031,0,2.467,0.699
60,2.031,0,2.467,0.699
61,2.031,0,2.467,0.699
62,2.031,0,2.467,0.699
63,2.031,0,2.467,0.699
64,2.031,0,2.467,0.699
65,2.031,0,2.467,0.699
66,2.031,0,2.467,0.699
67,2.031,0,2.467,0.699
68,2.031,0,2.467,0.699
69,2.031,0,2.467,0.699
70,2.031,0,2.467,0.699
71,2.031,0,2.467,0.699
72,2.031,0,2.467,0.699
73,2.031,0,2.467,0.699
74,2.031,0,2.467,0.699
75,2.031,0,2.467,0.699
76,2.031,0,2.467,0.699
77,2.031,0,2.467,0.699
78,2.031,0,2.467,0.699
79,2.031,0,2.467,0.699
80,2.031,0,2.467,0.699
81,2.031,0,2.467,0.699
82,2.031,0,2.467,0.699
83,2.031,0,2.467,0.699
84,2.031,0,2.467,0.699
85,2.031,0,2.467,0.699
86,2.031,0,2.467,0.699
87,2.031,0,2.467,0.699
88,2.031,0,2.467,0.699
89,2.031,0,2.467,0.699
90,2.031,0,2.467,0.699
91,2.031,0,2.467,0.699
92,2.031,0,2.467,0.699
93,2.031,0,2.467,0.699
94,2.031,0,2.467,0.699
95,2.031,0,2.467,0.699
96,2.031,0,2.467,0.699
97,2.031,0,2.467,0.699
98,2.031,0,2.467,0.699
99,2.031,0,2.467,0.699
100,2.031,0,2.467,0.699
101,2.031,0,2.467,0.699
102,2.031,0,2.467,0.699
103,2.031,0,2.467,0.699
104,2.031,0,2.467,0.699
105,2.031,0,2.467,0.699
106,2.031,0,2.467,0.699
107,2.031,0,2.467,0.699
108,2.031,0,2.467,0.699
109,2.031,0,2.467,0.699
110,2.031,0,2.467,0.699
111,2.031,0,2.467,0.699
112,2.031,0,2.467,0.699
113,2.031,0,2.467,0.699
114,2.031,0,2.467,0.699
115,2.031,0,2.467,0.699
116,2.031,0,2.467,0.699
117,2.031,0,2.467,0.699
118,2.031,0,2.467,0.699
119,2.031,0,2.467,0.699
120,2.031,0,2.467,0.699
121,2.031,0,2.467,0.699
122,2.031,0,2.467,0.699
123,2.031,0,2.467,0.699
124,2.031,0,2.467,0.699
125,2.031,0,2.467,0.699
126,2.031,0,2.467,0.699
127,2.031,0,2.467,0.699
128,2.031,0,2.467,0.699
129,2.031,0,2.467,0.699
130,2.031,0,2.467,0.699
131,2.031,0,2.467,0.699
132,2.031,0,2.467,0.699
133,2.031,0,2.467,0.699
134,2.031,0,2.467,0.699
135,2.031,0,2.467,0.699
136,2.031,0,2.467,0.699
137,2.031,0,2.467,0.699
138,2.031,0,2.467,0.699
139,2.031,0,2.467,0.699
140,2.031,0,2.467,0.699
141,2.031,0,2.467,0.699
142,2.031,0,2.467,0.699
143,2.031,0,2.467,0.699
144,2.031,0,2.467,0.699
145,2.031,0,2.467,0.699
146,2.031,0,2.467,0.699
147,2.031,0,2.467,0.699
148,2.031,0,2.467,0.699
149,2.031,0,2.467,0.699
150,2.031,0,2.467,0.699
151,2.031,0,2.467,0.699
152,2.031,0,2.467,0.699
153,2.031,0,2.467,0.699
154,2.031,0,2.467,0.699
155,2.031,0,2.467,0.699
156,2.031,0,2.467,0.699
157,2.031,0,2.467,0.699
158,2.031,0,2.467,0.699
159,2.031,0,2.467,0.699
160,2.031,0,2.467,0.699
161,2.031,0,2.467,0.699
162,2.031,0,2.467,0.699
163,2.031,0,2.467,0.699
164,2.031,0,2.467,0.699
165,2.031,0,2.467,0.699
166,2.031,0,2.467,0.699
167,2.031,0,2.467,0.699
168,2.031,0,2.467,0.699
169,2.031,0,2.467,0.699
170,2.031,0,2.467,0.699
171,2.031,0,2.467,0.699
172,2.031,0,2.467,0.699
173,2.031,0,2.467,0.699
174,2.031,0,2.467,0.699
175,2.031,0,2.467,0.699
176,2.031,0,2.467,0.699
177,2.031,0,2.467,0.699
178,2.031,0,2.467,0.699
