Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1
,,,,,,,221,725.22208
,,,,,,,222,725.22208
,,,,,,,223,725.22208
,,,,,,,224,725.22208
,,,,,,,225,725.22208
,,,,,,,226,725.22208
,,,,,,,227,725.22208
,,,,,,,228,725.22208
,,,,,,,229,725.22208
,,,,,,,230,725.22208
,,,,,,,231,725.22208
,,,,,,,232,725.22208
,,,,,,,233,725.22208
,,,,,,,234,725.22208
,,,,,,,235,725.22208
,,,,,,,236,725.22208
,,,,,,,237,725.22208
,,,,,,,238,725.22208
,,,,,,,239,725.22208
,,,,,,,240,725.22208
,,,,,,,241,725.22208
,,,,,,,242,725.22208
,,,,,,,243,725.22208
,,,,,,,244,725.22208
,,,,,,,245,725.22208
,,,,,,,246,725.22208
,,,,,,,247,725.22208
,,,,,,,248,725.22208
,,,,,,,249,725.22208
,,,,,,,250,725.22208
,,,,,,,251,725.22208
,,,,,,,252,725.22208
,,,,,,,253,725.22208
,,,,,,,254,725.22208
,,,,,,,255,725.22208
,,,,,,,256,725.22208
,,,,,,,257,725.22208
,,,,,,,258,725.22208
,,,,,,,259,725.22208
,,,,,,,260,725.22208
,,,,,,,261,725.22208
,,,,,,,262,725.22208
,,,,,,,263,725.22208
,,,,,,,264,725.22208
,,,,,,,265,725.22208
,,,,,,,266,725.22208
,,,,,,,267,725.22208
,,,,,,,268,725.22208
,,,,,,,269,725.22208
,,,,,,,270,725.22208
,,,,,,,271,725.22208
,,,,,,,272,725.22208
,,,,,,,273,725.22208
,,,,,,,274,725.22208
,,,,,,,275,725.22208
,,,,,,,276,725.22208
,,,,,,,277,725.22208
,,,,,,,278,725.22208
,,,,,,,279,725.22208
,,,,,,,280,725.22208
,,,,,,,281,725.22208
,,,,,,,282,725.22208
,,,,,,,283,725.22208
,,,,,,,284,725.22208
,,,,,,,285,725.22208
,,,,,,,286,725.22208
,,,,,,,287,725.22208
,,,,,,,288,725.22208
,,,,,,,289,725.22208
,,,,,,,290,725.22208
,,,,,,,291,725.22208
,,,,,,,292,725.22208
,,,,,,,293,725.22208
,,,,,,,294,725.22208
,,,,,,,295,725.22208
,,,,,,,296,725.22208
,,,,,,,297,725.22208
,,,,,,,298,725.22208
,,,,,,,299,725.22208
,,,,,,,300,725.22208
,,,,,,,301,725.22208
,,,,,,,302,725.22208
,,,,,,,303,725.22208
,,,,,,,304,725.22208
,,,,,,,305,725.22208
,,,,,,,306,725.22208
,,,,,,,307,725.22208
,,,,,,,308,725.22208
,,,,,,,309,725.22208
,,,,,,,310,725.22208
,,,,,,,311,725.22208
,,,,,,,312,725.22208
,,,,,,,313,725.22208
,,,,,,,314,725.22208
,,,,,,,315,725.22208
,,,,,,,316,725.22208
,,,,,,,317,725.22208
,,,,,,,318,725.22208
,,,,,,,319,725.22208
,,,,,,,320,725.22208
,,,,,,,321,725.22208
,,,,,,,322,725.22208
,,,,,,,323,725.22208
,,,,,,,324,725.22208
,,,,,,,325,725.22208
,,,,,,,326,725.22208
,,,,,,,327,725.22208
,,,,,,,328,725.22208
,,,,,,,329,725.22208
,,,,,,,330,725.22208
,,,,,,,331,725.22208
,,,,,,,332,725.22208
,,,,,,,333,725.22208
,,,,,,,334,725.22208
,,,,,,,335,725.22208
,,,,,,,336,725.22208
,,,,,,,337,725.22208
,,,,,,,338,725.22208
,,,,,,,339,725.22208
,,,,,,,340,725.22208
,,,,,,,341,725.22208
,,,,,,,342,725.22208
,,,,,,,343,725.22208
,,,,,,,344,725.22208
,,,,,,,345,725.22208
,,,,,,,346,725.22208
,,,,,,,347,725.22208
,,,,,,,348,725.22208
,,,,,,,349,725.22208
,,,,,,,350,725.22208
,,,,,,,351,725.22208
,,,,,,,352,725.22208
,,,,,,,353,725.22208
,,,,,,,354,725.22208
,,,,,,,355,725.22208
,,,,,,,356,725.22208
,,,,,,,357,725.22208
,,,,,,,358,725.22208
,,,,,,,359,725.22208
,,,,,,,360,725.22208
,,,,,,,361,725.22208
,,,,,,,362,725.22208
,,,,,,,363,725.22208
,,,,,,,364,725.22208
,,,,,,,365,725.22208
,,,,,,,366,725.22208
,,,,,,,367,725.22208
,,,,,,,368,725.22208
,,,,,,,369,725.22208
,,,,,,,370,725.22208
,,,,,,,371,725.22208
,,,,,,,372,725.22208
,,,,,,,373,725.22208
,,,,,,,374,725.22208
,,,,,,,375,725.22208
,,,,,,,376,725.22208
,,,,,,,377,725.22208
,,,,,,,378,725.22208
,,,,,,,379,725.22208
,,,,,,,380,725.22208
,,,,,,,381,725.22208
,,,,,,,382,725.22208
,,,,,,,383,725.22208
,,,,,,,384,725.22208
,,,,,,,385,725.22208
,,,,,,,386,725.22208
,,,,,,,387,725.22208
,,,,,,,388,725.22208
,,,,,,,389,725.22208
,,,,,,,390,725.22208
,,,,,,,391,725.22208
,,,,,,,392,725.22208
,,,,,,,393,725.22208
,,,,,,,394,725.22208
,,,,,,,395,725.22208
,,,,,,,396,725.22208
,,,,,,,397,725.22208
,,,,,,,398,725.22208
,,,,,,,399,725.22208
,,,,,,,400,725.22208
,,,,,,,401,725.22208
,,,,,,,402,725.22208
,,,,,,,403,725.22208
,,,,,,,404,725.22208
,,,,,,,405,725.22208
,,,,,,,406,725.22208
,,,,,,,407,725.22208
,,,,,,,408,725.22208
,,,,,,,409,725.22208
,,,,,,,410,725.22208
,,,,,,,411,725.22208
,,,,,,,412,725.22208
,,,,,,,413,725.22208
,,,,,,,414,725.22208
,,,,,,,415,725.22208
,,,,,,,416,725.22208
,,,,,,,417,725.22208
,,,,,,,418,725.22208
,,,,,,,419,725.22208
,,,,,,,420,725.22208
,,,,,,,421,725.22208
,,,,,,,422,725.22208
,,,,,,,423,725.22208
,,,,,,,424,725.22208
,,,,,,,425,725.22208
,,,,,,,426,725.22208
,,,,,,,427,725.22208
,,,,,,,428,725.22208
,,,,,,,429,725.22208
,,,,,,,430,725.22208
,,,,,,,431,725.22208
,,,,,,,432,725.22208
,,,,,,,433,725.22208
,,,,,,,434,725.22208
,,,,,,,435,725.22208
,,,,,,,436,725.22208
,,,,,,,437,725.22208
,,,,,,,438,725.22208
,,,,,,,439,725.22208
,,,,,,,440,725.22208
,,,,,,,441,725.22208
,,,,,,,442,725.22208
,,,,,,,443,725.22208
,,,,,,,444,725.22208
,,,,,,,445,725.22208
,,,,,,,446,725.22208
,,,,,,,447,725.22208
,,,,,,,448,725.22208
,,,,,,,449,725.22208
,,,,,,,450,725.22208
,,,,,,,451,725.22208
,,,,,,,452,725.22208
,,,,,,,453,725.22208
,,,,,,,454,725.22208
,,,,,,,455,725.22208
,,,,,,,456,725.22208
,,,,,,,457,725.22208
,,,,,,,458,725.22208
,,,,,,,459,725.22208
,,,,,,,460,725.22208
,,,,,,,461,725.22208
,,,,,,,462,725.22208
,,,,,,,463,725.22208
,,,,,,,464,725.22208
,,,,,,,465,725.22208
,,,,,,,466,725.22208
,,,,,,,467,725.22208
,,,,,,,468,725.22208
,,,,,,,469,725.22208
,,,,,,,470,725.22208
,,,,,,,471,725.22208
,,,,,,,472,725.22208
,,,,,,,473,725.22208
,,,,,,,474,725.22208
,,,,,,,475,725.22208
,,,,,,,476,725.22208
,,,,,,,477,725.22208
,,,,,,,478,725.22208
,,,,,,,479,725.22208
,,,,,,,480,725.22208
,,,,,,,481,725.22208
,,,,,,,482,725.22208
,,,,,,,483,725.22208
,,,,,,,484,725.22208
,,,,,,,485,725.22208
,,,,,,,486,725.22208
,,,,,,,487,725.22208
,,,,,,,488,725.22208
,,,,,,,489,725.22208
,,,,,,,490,725.22208
,,,,,,,491,725.22208
,,,,,,,492,725.22208
,,,,,,,493,725.22208
,,,,,,,494,725.22208
,,,,,,,495,725.22208
,,,,,,,496,725.22208
,,,,,,,497,725.22208
,,,,,,,498,725.22208
,,,,,,,499,725.22208
,,,,,,,500,725.22208
,,,,,,,501,725.22208
,,,,,,,502,725.22208
,,,,,,,503,725.22208
,,,,,,,504,725.22208
,,,,,,,505,725.22208
,,,,,,,506,725.22208
,,,,,,,507,725.22208
,,,,,,,508,725.22208
,,,,,,,509,725.22208
,,,,,,,510,725.22208
,,,,,,,511,725.22208
,,,,,,,512,725.22208
,,,,,,,513,725.22208
,,,,,,,514,725.22208
,,,,,,,515,725.22208
,,,,,,,516,725.22208
,,,,,,,517,725.22208
,,,,,,,518,725.22208
,,,,,,,519,725.22208
,,,,,,,520,725.22208
,,,,,,,521,725.22208
,,,,,,,522,725.22208
,,,,,,,523,725.22208
,,,,,,,524,725.22208
,,,,,,,525,725.22208
,,,,,,,526,725.22208
,,,,,,,527,725.22208
,,,,,,,528,725.22208
,,,,,,,529,725.22208
,,,,,,,530,725.22208
,,,,,,,531,725.22208
,,,,,,,532,725.22208
,,,,,,,533,725.22208
,,,,,,,534,725.22208
,,,,,,,535,725.22208
,,,,,,,536,725.22208
,,,,,,,537,725.22208
,,,,,,,538,725.22208
,,,,,,,539,725.22208
,,,,,,,540,725.22208
,,,,,,,541,725.22208
,,,,,,,542,725.22208
,,,,,,,543,725.22208
,,,,,,,544,725.22208
,,,,,,,545,725.22208
,,,,,,,546,725.22208
,,,,,,,547,725.22208
,,,,,,,548,725.22208
,,,,,,,549,725.22208
,,,,,,,550,725.22208
,,,,,,,551,725.22208
,,,,,,,552,725.22208
,,,,,,,553,725.22208
,,,,,,,554,725.22208
,,,,,,,555,725.22208
,,,,,,,556,725.22208
,,,,,,,557,725.22208
,,,,,,,558,725.22208
,,,,,,,559,725.22208
,,,,,,,560,725.22208
,,,,,,,561,725.22208
,,,,,,,562,725.22208
,,,,,,,563,725.22208
,,,,,,,564,725.22208
,,,,,,,565,725.22208
,,,,,,,566,725.22208
,,,,,,,567,725.22208
,,,,,,,568,725.22208
,,,,,,,569,725.22208
,,,,,,,570,725.22208
,,,,,,,571,725.22208
,,,,,,,572,725.22208
,,,,,,,573,725.22208
,,,,,,,574,725.22208
,,,,,,,575,725.22208
,,,,,,,576,725.22208
,,,,,,,577,725.22208
,,,,,,,578,725.22208
,,,,,,,579,725.22208
,,,,,,,580,725.22208
,,,,,,,581,725.22208
,,,,,,,582,725.22208
,,,,,,,583,725.22208
,,,,,,,584,725.22208
,,,,,,,585,725.22208
,,,,,,,586,725.22208
,,,,,,,587,725.22208
,,,,,,,588,725.22208
,,,,,,,589,725.22208
,,,,,,,590,725.22208
,,,,,,,591,725.22208
,,,,,,,592,725.22208
,,,,,,,593,725.22208
,,,,,,,594,725.22208
,,,,,,,595,725.22208
,,,,,,,596,725.22208
,,,,,,,597,725.22208
,,,,,,,598,725.22208
,,,,,,,599,725.22208
,,,,,,,600,725.22208
,,,,,,,601,725.22208
,,,,,,,602,725.22208
,,,,,,,603,725.22208
,,,,,,,604,725.22208
,,,,,,,605,725.22208
,,,,,,,606,725.22208
,,,,,,,607,725.22208
,,,,,,,608,725.22208
,,,,,,,609,725.22208
,,,,,,,610,725.22208
,,,,,,,611,725.22208
,,,,,,,612,725.22208
,,,,,,,613,725.22208
,,,,,,,614,725.22208
,,,,,,,615,725.22208
,,,,,,,616,725.22208
,,,,,,,617,725.22208
,,,,,,,618,725.22208
,,,,,,,619,725.22208
,,,,,,,620,725.22208
,,,,,,,621,725.22208
,,,,,,,622,725.22208
,,,,,,,623,725.22208
,,,,,,,624,725.22208
,,,,,,,625,725.22208
,,,,,,,626,725.22208
,,,,,,,627,725.22208
,,,,,,,628,725.22208
,,,,,,,629,725.22208
,,,,,,,630,725.22208
,,,,,,,631,725.22208
,,,,,,,632,725.22208
,,,,,,,633,725.22208
,,,,,,,634,725.22208
,,,,,,,635,725.22208
,,,,,,,636,725.22208
,,,,,,,637,725.22208
,,,,,,,638,725.22208
,,,,,,,639,725.22208
,,,,,,,640,725.22208
,,,,,,,641,725.22208
