Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10
50000,1,1.0,1.0,2000,5,168,2190.0,1,10727.66830490192,67055.2561721752,2649.3156928541316,2023.3391642044444,67288.4227520813,1158.5068217917676,47191.27106791893,16036.522658080828,15716.387537123128,17462.8236524797
,2,0.9,0.04,1800,,,1347.6923076923078,2,10357.97001069068,65702.33007023195,2614.62562011247,1996.8456109389117,65470.76977481857,1149.6883018277617,46832.05246999379,15608.527599363533,15689.215077777762,17373.812100117146
,3,0.55,0.024,1100,,,1010.7692307692308,3,10094.777600422807,65357.122518709104,2653.349422403796,2026.4198087592765,63685.141651650585,1129.31802820636,46002.27825198503,15548.77505184343,15669.806191111524,17415.87250214427
,4,0.2,0.003,400,,,2695.3846153846157,4,9979.409847023622,65306.81359324628,2668.2011074150814,2037.7623599769656,63325.769149687614,1080.19609973375,44001.317886993274,15445.82425208183,15792.85126227862,17607.603354966595
,,,,,,,1516.1538461538462,5,10346.390826796265,67728.09238335704,2793.576979514183,2133.514599508089,66394.46639307351,1041.6057460905984,42429.35662098801,15876.477683454528,16230.320421525797,18321.6657024307
,,,,,,,,6,11238.732549323073,76062.28874814523,3273.1142969694038,2499.747523580549,72223.23673612658,1053.3725263230192,42908.67128423308,17737.023679123573,17413.091046909532,20081.369210467477
,,,,,,,,7,11799.957020373895,82019.0511082384,3795.9776488337093,2899.0694704875996,74444.37030322322,1178.9593569794613,48024.39616729313,20574.394088640183,18656.413782556836,21279.133023389568
,,,,,,,,8,11796.884730820593,84981.29921529561,3968.6212684133748,3030.9211025604263,75104.22246246072,1336.5775576646574,54444.90495246687,22486.475890124642,19336.695476360084,21730.05965564641
,,,,,,,,9,11993.510981189038,86008.40413659584,4004.924833370744,3058.6469134499707,74338.66561495882,1429.256567410703,58220.14403806412,23475.86705531277,19526.902621728525,21814.18045970066
,,,,,,,,10,12218.456900055096,88780.9404959145,4101.404080565523,3132.3301808421297,73252.07965442842,1495.2236414780348,60907.28412372622,23887.307788661336,19475.67044523634,22109.56775105687
,,,,,,,,11,12296.288118304212,90856.44131938668,4055.4195652827234,3097.210821239698,72306.655951818,1485.837495950963,60524.943571653755,23949.83954076616,19106.90147849359,22045.009930405166
,,,,,,,,12,11997.252373409217,90587.52808262147,3959.41680516746,3023.8914545111866,70529.57084072681,1470.6045208939925,59904.434980096536,23717.777281907223,18743.955183754922,21915.89427927108
,,,,,,,,13,11826.228509218965,90009.63548480632,3962.643787619665,3026.3559727280267,68004.53795849447,1452.2952755808446,59158.615821537496,23755.29633317012,18571.216034384695,21860.13979377751
,,,,,,,,14,11671.590172584245,88811.09253589255,3905.364829795728,2982.610804809485,65267.88309409369,1420.042548503293,57844.81505153349,23549.636367415438,18435.353787692955,21742.76192285428
,,,,,,,,15,11635.746837957122,87924.9638296271,3803.7148479150933,2904.9785349125245,63427.30067059983,1402.9530762718766,57148.682778426286,23457.92314771176,18630.41316473497,21765.259351309534
