,Power Emissions,HSC Emissions,CSC Emissions,Biorefinery Emissions,Biomass Emissions,Biomass Capture,Synfuel Production Emissions,Conventional Fuels,Synfuels,Biofuels,Total
AnnualSum,3.047506161950217e7,4.152156530161573e6,-3.956810908698057e7,0.0,0.0,0.0,2.4618349602264546e7,6.09890347436006e7,2.269350659146256e7,0.0,1.0336000000001085e8
t1,15723.8721610121,530.5227871065766,-4525.174043175024,0,0,0,1302.023516325317,0.0,1200.2217747059826,0,14231.46619597495
t2,15270.885217038502,530.5227871066742,-4525.1740431687485,0,0,0,723.1510142530913,0.0,666.609767661112,0,12665.99474289063
t3,14755.691260698177,530.522787106701,-4525.174043168606,0,0,0,723.1510142322292,0.0,666.6097676418742,0,12150.800786510377
t4,12356.07299180577,530.5227871065822,-4525.174043168651,0,0,0,723.1510142327319,0.0,666.6097676423385,0,9751.18251761877
t5,8499.462351915823,530.5227871069,-4525.174043170029,0,0,0,723.1510142328729,0.0,666.6097676424688,0,5894.571877728035
t6,8499.462351916052,530.522787106536,-4525.174043168678,0,0,0,723.1510142334857,0.0,666.6097676430331,0,5894.57187773043
t7,8499.462351919838,530.5227871067929,-4525.17404316762,0,0,0,723.1510142117949,0.0,666.6097676230235,0,5894.571877693829
t8,14765.109836325291,530.5227871073225,-4525.174043158033,0,0,0,723.1510142121026,0.0,666.6097676233007,0,12160.219362109983
t9,15723.872161042678,530.5227871066442,-4525.174043154722,0,0,0,723.151014209566,0.0,666.6097676209617,0,13118.981686825127
t10,18011.87217739646,530.5227871067111,-4525.174043152505,0,0,0,723.1510142081638,0.0,666.6097676196689,0,15406.9817031785
t11,18760.92443009134,530.5227871067738,-4525.174043152499,0,0,0,723.1510142080363,0.0,666.6097676195516,0,16156.033955873203
t12,19337.707638862023,530.522787106607,-4525.174043149827,0,0,0,723.1510142067643,0.0,666.6097676183783,0,16732.817164643944
t13,19298.92736846215,530.5227871068856,-4525.174043148709,0,0,0,723.1510142053593,0.0,666.6097676170832,0,16694.03689424277
t14,19298.92736846374,530.522787106828,-4525.174043148676,0,0,0,723.1510142053485,7.377641548803366e-9,666.609767617073,0,16694.03689425169
t15,19298.9273684632,530.5227871067323,-4525.174043148567,0,0,0,723.1510142052701,0.0,666.6097676170007,0,16694.036894243636
t16,19298.927368464192,530.5227871066859,-4525.174043148527,0,0,0,723.1510142071423,0.0,666.6097676187263,0,16694.03689424822
t17,16915.55723018792,530.5227871066818,-4525.174043152353,0,0,0,723.1510142079999,0.0,666.6097676195166,0,14310.666755969763
t18,16915.557230177943,530.5227871067339,-4525.1740431542,0,0,0,723.1510142105138,0.0,666.6097676218347,0,14310.666755962824
t19,15846.354464411035,530.5227871066957,-4525.174043157584,0,0,0,723.1510142115108,0.0,666.6097676227547,0,13241.463990194414
t20,16013.06088586449,530.5227871066568,-4525.174043157577,0,0,0,723.1510142116048,0.0,666.6097676228401,0,13408.170411648014
t21,14526.392558649135,530.5227871067253,-4525.174043159275,0,0,0,723.1510142130228,0.0,666.6097676241488,0,11921.502084433756
t22,16258.921106473339,530.5227871065825,-4525.174043157458,0,0,0,723.1510142115725,0.0,666.6097676228114,0,13654.030632256849
t23,17438.128548378754,530.5227871066471,-4525.174043153816,0,0,0,723.1510142088824,0.0,666.6097676203301,0,14833.238074160796
t24,23414.69258167069,530.5227871066762,-4257.415207594176,0,0,0,493.02437527595583,0.0,454.476116020183,0,20635.300652479327
t25,22839.13667239403,530.522787106818,-4257.415207593794,0,0,0,493.02437527508613,0.0,454.47611601938127,0,20059.74474320152
t26,22839.136672399225,530.5227871069786,-4257.415207593707,0,0,0,493.02437527581293,0.0,454.47611602005156,0,20059.74474320836
t27,22839.136672404522,530.5227871067499,-4257.415207593881,0,0,0,493.024375275126,0.0,454.47611601941753,0,20059.744743211937
t28,22839.136672387685,530.5227871066382,-4525.174043026923,0,0,0,723.1510140983789,0.0,666.6097675184643,0,20234.24619808424
t29,22229.21581397558,530.5227871066538,-4525.174043141993,0,0,0,723.1510141988522,0.0,666.6097676110837,0,19624.325339750176
t30,21371.878179873638,530.5227871067142,-4525.1740431414055,0,0,0,723.151014198786,0.0,666.6097676110222,0,18766.987705648757
t31,22654.90301698152,530.5227871066612,-4525.174043141636,0,0,0,723.1510141984268,0.0,666.6097676106915,0,20050.01254275566
t32,22839.13667238423,530.5227871065986,-4525.174043144856,0,0,0,723.1510141999976,0.0,666.6097676121395,0,20234.246198158107
t33,22839.136672386318,530.5227871064365,-4525.1740431388835,0,0,0,723.151014197884,0.0,666.609767610191,0,20234.24619816195
t34,22839.136672404526,530.5227871065854,-4380.709407477343,0,0,0,598.9901775225211,0.0,552.1567351763813,0,20140.09696473267
t35,22839.13667267675,467.6791152649766,-4143.178049222673,0,0,0,139.45523590171598,0.0,128.5516034285054,0,19431.644578049272
t36,22839.13667241159,530.5227871064213,-4257.415207600883,0,0,0,493.0243752811357,0.0,454.4761160249616,0,20059.744743223226
t37,22839.13667239961,530.5227871065927,-4257.415208822081,0,0,0,493.0243763334156,0.0,454.47611699496747,0,20059.744744012507
t38,22839.136672396708,530.5227871069411,-4257.41520769855,0,0,0,493.02437536527333,0.0,454.4761161025216,0,20059.744743272888
t39,22839.13667238905,530.5227871067665,-4525.174043147194,0,0,0,723.1510142009945,0.0,666.6097676130582,0,20234.246198162673
t40,22839.136672378016,530.5227871070315,-4525.174043154601,0,0,0,723.1510142096646,0.0,666.6097676210517,0,20234.24619816116
t41,22839.13667233601,530.5227871067273,-4525.174043154925,0,0,0,723.1510142096795,0.0,666.6097676210654,0,20234.24619811856
t42,22839.13667221433,530.5227871066511,-4525.1740431675025,0,0,0,723.1510142181046,0.0,666.6097676288382,0,20234.24619800042
t43,20267.465520691698,530.5227871068947,-4525.182474445624,0,0,0,866.0365219229366,0.0,798.3234390695618,0,17937.165794345467
t44,18999.864925464317,530.5227871068247,-4525.208219938018,0,0,0,940.0939794664714,0.0,866.5905417821317,0,16811.864013881725
t45,15771.730346772973,530.5227871065794,-4525.208219937983,0,0,0,940.0939794606406,0.0,866.5905417767558,0,13583.729435178964
t46,15723.872161040832,530.5227871068815,-4525.2082199380175,0,0,0,889.019765949789,0.0,819.5096846239255,0,13437.716178783412
t47,14995.801693165282,530.5227871066903,-4525.20821993804,0,0,0,723.168789384316,0.0,666.6261530022894,0,12390.911202720537
t48,15723.872161028263,530.522787106874,-4525.188223165569,0,0,0,767.478082574835,0.0,707.4710208885576,0,13204.15582843296
t49,2431.1088058556384,530.5227871069611,-4525.123950014424,0,0,0,1326.8563277718563,0.0,1223.11297494254,0,986.4769456625718
t50,1620.5751444891996,530.5227871068106,-4525.123950016766,0,0,0,1326.8563277741337,0.0,1223.1129749446852,0,175.94328429806342
t51,1473.4044512453415,530.5227871067624,-4525.123950016363,0,0,0,1326.856327773966,0.0,1223.1129749445308,0,28.772591054237864
t52,1473.40445128075,530.522787106875,-4525.1239500165775,0,0,0,1797.2103087399234,0.0,1656.6912342439844,0,932.7048313549553
t53,1473.4044512746716,530.5227871070704,-4525.123950016639,0,0,0,3219.4597989036174,0.0,2967.7388349643697,0,3666.0019222330898
t54,1473.4044512726728,530.5227871070537,-4525.12395001773,0,0,0,3453.467746384084,0.0,3183.450325961956,0,4115.721360708037
t55,1424.9094965220718,530.5227871069573,-4525.123950018016,0,0,0,4066.110842933251,0.0,3748.1924948877795,0,5244.611671432043
t56,1424.9094965283725,530.5227871069183,-4525.123950019468,0,0,0,3993.389286405755,0.0,3681.1568426583954,0,5104.854462679973
t57,1424.909496522496,530.522787106976,-4525.123950016657,0,0,0,3702.9903566975645,0.0,3413.463429738365,0,4546.762120048745
t58,1422.0443032274181,530.5227871068103,-4525.158126786255,0,0,0,4294.07791123873,0.0,3958.3354269205765,0,5679.82230170728
t59,1473.4044512742385,530.5227871068818,-4525.123950016617,0,0,0,4195.611693448571,0.0,3867.5680197401803,0,5541.983001553255
t60,1473.4044512729895,530.5227871068463,-4525.12395001661,0,0,0,3414.091459995838,0.0,3147.1527662499348,0,4040.047514608998
