BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t61,2681.109968401237,2.2531019869381057e-9,-4.982784856286108e-9,0.0,0.0,6.040837734867196e-12,7.747426247007263e-13,15520.168899098364,-252.71546009417668,-14338.911018313427,34372.433526639004,4.640042132628694e-9,-1.0520815809878204e-8,0.0,0.0,6.0456794239190525e-12,7.817683904957235e-13,52185.48680857927,-468.1579495604391,-84245.05295386405,17290.209373010905,2.143031908063948e-9,-3.3329792397235316e-9,0.0,0.0,6.036113493422529e-12,7.743880803140234e-13,-8435.342632740898,-66.0034831138262,-4002.6723658397436,19340.886375671835,2.257437583234863e-9,-3.509735827723269e-9,0.0,0.0,6.031615371513634e-12,7.830052798444174e-13,-15891.090784481792,-165.20185274721035,-3069.186937764044,162471.26047768106,6.612991119763493e-9,-6.5501646103321595e-9,0.0,0.0,6.038846194227632e-12,7.872557265073181e-13,-83742.53738456302,-816.8183965680596,-73137.10377349588,4681.6030261817705,2.265437588594148e-9,-5.516259969756383e-9,0.0,0.0,5.989906990217185e-12,8.207499730897216e-13,2710.9815104768754,-16.30764495569365,-1460.2644553196233,79794.90183745645,3.1246920714895465e-9,-1.909711507760669,0.0,0.0,6.044297723321361e-12,7.830513671210509e-13,22355.28999313098,-408.3315166717037,-59384.08784966466,9379.51342458104,2.2730542280451015e-9,-4.835557490052029e-9,0.0,0.0,6.046695510615844e-12,7.783227164839115e-13,16190.129414836134,-75.27495808756986,-23609.794736545573,14583.190052308977,2.2123079981134e-9,-2.8846089863485306e-9,0.0,0.0,6.0377045584170755e-12,7.748306836001079e-13,1790.0475026517909,-15.344187149643346,-16068.186983565562,22101.778437730034,2.2319126507162785e-9,-2.977142947455886e-9,0.0,0.0,6.039103286609142e-12,7.749591310386455e-13,-2683.133326987713,-50.47436262138232,-19029.352925612056
t62,2853.5031507021,2.2659888840658276e-9,-4.93874387490468e-9,0.0,0.0,6.040990765589657e-12,7.746226638687285e-13,15274.354396929326,-253.33552477898968,-14264.249569078935,32933.27952663456,4.71428717352465e-9,-1.0425843833569724e-8,0.0,0.0,6.045913439396901e-12,7.816132509610395e-13,52220.06590974719,-444.7593766831238,-82887.27520078451,16388.944555805083,2.88667967265131e-9,-2.366549486873948e-9,0.0,0.0,6.0378606539461445e-12,7.744513679679399e-13,-7600.790825087162,-55.49724104748394,-3984.034251333181,19071.547064126014,3.204526332374796e-9,-2.3992876392159942e-9,0.0,0.0,6.033400989358717e-12,7.833441228064337e-13,-15633.61948678739,-166.41355403641805,-3054.895521340284,161487.51047751703,3.775253123871873e-9,-877.7828523265989,0.0,0.0,6.036044632898146e-12,7.867017707416827e-13,-83742.53738463219,-816.8183965689293,-71275.5709206505,4391.526869005453,2.2601960402578875e-9,-5.583269906658033e-9,0.0,0.0,5.9905338420633875e-12,8.207887419038117e-13,2959.3783506962573,-17.80185192934017,-1422.0770306633945,79741.49298088346,3.1176686892438463e-9,-1.8742838752111415,0.0,0.0,6.044382044462118e-12,7.828158718532023e-13,22106.893152965324,-409.82572364613685,-57831.13258031135,10417.68693726062,2.2997471549002915e-9,-4.739097157263654e-9,0.0,0.0,6.046738747364623e-12,7.782118307114352e-13,15209.055314343695,-81.19005498239378,-23655.06395504973,15453.260589596273,2.1911759142200427e-9,-2.9095785149922587e-9,0.0,0.0,6.0379723469871216e-12,7.747954668852935e-13,876.3607936056383,-4.842351503163335,-16045.574483099546,21007.18620501415,2.2180076648100923e-9,-3.0000160246948313e-9,0.0,0.0,6.039279051682739e-12,7.750220117479997e-13,-1669.160221780673,-22.996865244190992,-19003.688792857363
t63,3041.1045152831975,2.033416456782263e-9,-7.0217077752985525e-9,0.0,0.0,6.040219022680608e-12,7.746749764066754e-13,15004.464876476844,-254.016318463019,-14180.59982582406,32089.56552662515,4.094763799573923e-9,-1.709434113187768e-8,0.0,0.0,6.045154292256627e-12,7.816764320134815e-13,51316.84863926504,-426.43441012548885,-81176.99386339654,17277.933339995772,2.1381943103637543e-9,-3.336426820422234e-9,0.0,0.0,6.036069134221357e-12,7.744959907613634e-13,-8453.109822973174,-62.56076734256869,-3974.1064506869484,18841.24452953583,2.323426815012753e-9,-3.377634554349904e-9,0.0,0.0,6.031332130724166e-12,7.837140219985494e-13,-15410.215270931427,-166.77063625744026,-3047.2830381592507,162985.1568841358,3.6520108375119835e-9,-4639.872066295052,0.0,0.0,6.035347229418348e-12,7.868147092674858e-13,-83742.5373846355,-816.8183965689692,-69011.12811334382,4670.266379836398,2.261062653492076e-9,-5.665579023634083e-9,0.0,0.0,5.988211766507017e-12,8.216265294581444e-13,2634.0650821693544,-15.844961680559983,-1360.751173458911,75684.3133824435,3.151667533279859e-9,-1.8421220168179169,0.0,0.0,6.0444077864335594e-12,7.827531222956191e-13,22432.20642152464,-407.8688333976421,-55337.214387329026,10241.28565508849,2.07174047960545e-9,-6.56529112003879e-9,0.0,0.0,6.045714974021482e-12,7.782715839533911e-13,15651.679705153227,-81.1253557990091,-23925.692157484573,14898.2359674754,2.3293712045698227e-9,-2.7276708730038682e-9,0.0,0.0,6.037601142250955e-12,7.749914316232923e-13,1480.9723840765118,-11.183801844993008,-16082.478550766156,20258.396073085452,2.379892488439512e-9,-2.775327842648943e-9,0.0,0.0,6.039423480527492e-12,7.752924555565664e-13,-914.3746301254957,-5.052397821528657,-19045.57318742963
t64,3283.0039573437884,1.8785588385787833e-9,-1.1954285298507855e-8,0.0,0.0,6.039650516307151e-12,7.744650376820891e-13,14336.399999435807,-279.2829650259349,-13704.282168417,31280.17752662004,3.622808380797671e-9,-4.023425182315169e-8,0.0,0.0,6.044623395596056e-12,7.810404114079458e-13,46059.038029963565,-394.91266658726704,-75172.83874113733,17285.922504341972,2.0458849364461327e-9,-3.5535934052000355e-9,0.0,0.0,6.036356322737467e-12,7.744559739575233e-13,-8526.073623790633,-62.02190926847912,-3907.109519068959,18615.279414606222,2.2177536154400268e-9,-3.605825317088755e-9,0.0,0.0,6.031479917347479e-12,7.837585717163472e-13,-15234.4757141597,-167.34395993671183,-2995.9108326429828,159430.20305359858,2.8303787604219227e-9,-4725.918918283951,0.0,0.0,6.033344055553414e-12,7.859807950782702e-13,-83742.53738464393,-816.8183965690506,-65384.49861126835,4670.266379836424,2.30007739869192e-9,-5.613069572533497e-9,0.0,0.0,5.989515248132077e-12,8.213595667077442e-13,2549.4665136211497,-15.336067239818075,-1260.6434863364657,75317.8302417492,3.1904509019616507e-9,-1.9166743049970747,0.0,0.0,6.044738282973771e-12,7.822420762116046e-13,29553.285020359774,-480.25013518282725,-51266.1684443496,11061.080100763813,1.8744705660521514e-9,-1.0970568829422542e-8,0.0,0.0,6.045189767451049e-12,7.780580890174375e-13,14541.075161192215,-96.55387631711959,-23606.199151547436,14996.664880223296,2.3308661942129773e-9,-2.6955805461914025e-9,0.0,0.0,6.03770974075775e-12,7.749782894608497e-13,1266.745860821922,-9.455796341198319,-15970.136951268873,19650.196214080628,2.3937510903391333e-9,-2.7289676113695814e-9,0.0,0.0,6.0399499828114594e-12,7.754026978876117e-13,-802.9238628001633,-4.436574071117153,-18550.055743251203
t65,3617.596868853879,1.8131447221570887e-9,-1.3458864156405176e-8,0.0,0.0,6.0398035403000575e-12,7.743734329003307e-13,13949.878566234722,-288.5656914743069,-13633.788193828514,29546.99352660939,3.63828176525522e-9,-4.50865012706567e-8,0.0,0.0,6.045032624583517e-12,7.810383869933718e-13,47024.63587102056,-396.1183396053083,-74402.84123614644,15942.11187171284,2.2990953191637852e-9,-2.963359076057055e-9,0.0,0.0,6.0371777814466235e-12,7.74611846282363e-13,-7081.163398939898,-53.80203529256729,-4048.152032148398,18506.63427680527,2.5553535612233517e-9,-2.9337972655470055e-9,0.0,0.0,6.032548182515198e-12,7.839423170138079e-13,-15049.043283642573,-151.66300322452508,-3104.0600387851678,160696.55495821132,2.731033033204482e-9,-4725.918918278809,0.0,0.0,6.0336112918775974e-12,7.863991553776537e-13,-83742.53738464588,-816.8183965690749,-66637.93225121389,4652.837660839493,2.2589681726998456e-9,-5.75008953246981e-9,0.0,0.0,5.989682895512724e-12,8.220096850567779e-13,2591.814170010481,-15.590805437932275,-1286.2660451588774,70947.57635918881,3.0775608883276893e-9,-1.808646342702556,0.0,0.0,6.045379381293237e-12,7.825711956143419e-13,28230.45796371431,-467.7175271906958,-52308.152503127676,12070.579613444159,1.8354323000686077e-9,-1.206823514233034e-8,0.0,0.0,6.045025763092949e-12,7.780334166393838e-13,14075.957496255272,-79.36327854870561,-24184.962194824893,15648.104593349406,2.3312832927530744e-9,-2.6807810809005563e-9,0.0,0.0,6.037597508098754e-12,7.750851838955799e-13,711.870540747258,-3.93345686865055,-16077.746023268206,19680.26793247417,2.3953330338747476e-9,-2.699055474078679e-9,0.0,0.0,6.040405313493397e-12,7.756999640368242e-13,-711.8705407542607,-3.9334568685729248,-18672.187018098546
t66,3738.224520213823,1.87786542427477e-9,-1.043248314470201e-8,0.0,0.0,6.040409704895933e-12,7.744491182544703e-13,13924.441046487289,-268.43551463854317,-13768.85760840735,27719.633526617272,3.981533062727902e-9,-2.4813916401753834e-8,0.0,0.0,6.045363532475625e-12,7.81137983681718e-13,48488.22486262474,-395.6019519809334,-74040.1030030343,14146.402255637087,2.3702959635450287e-9,-2.802699617900715e-9,0.0,0.0,6.037409690334398e-12,7.747377797843148e-13,-5353.997766342159,-48.16741908055297,-3995.932366908636,18393.65171934239,2.6578109117264443e-9,-2.744487568551738e-9,0.0,0.0,6.032910316436874e-12,7.841005077814804e-13,-15024.845951401829,-127.29100431844621,-3064.018811375173,157987.49951125347,8.251977591812182e-9,-6.3435550318351866e-9,0.0,0.0,6.039564087396821e-12,7.874775763663589e-13,-83742.53738454675,-816.8183965679849,-68653.34280698525,4626.412082691437,2.29857174050009e-9,-5.375502713990606e-9,0.0,0.0,5.989929841090329e-12,8.230185184064093e-13,2644.0677472618463,-15.905131737170574,-1331.2192800786252,59119.50570393519,3.066343425521962e-9,-1.9439788399042,0.0,0.0,6.046292742756135e-12,7.831232275213991e-13,23886.23022874029,-423.3168425506019,-54136.250723197416,11067.6027758995,1.887949517338546e-9,-9.673615049601582e-9,0.0,0.0,6.045259518487293e-12,7.781492267398685e-13,15178.417217203858,-80.54194243400346,-24282.087750463645,15576.302343063482,2.3266317329719933e-9,-2.642503192181411e-9,0.0,0.0,6.037400254765738e-12,7.75192388900064e-13,703.6579907360422,-3.8880782367118263,-15997.821980234625,19581.254566247015,2.3842965565577153e-9,-2.6710660012315987e-9,0.0,0.0,6.040535789176099e-12,7.758335582627433e-13,-703.6579907633078,-3.888078236785425,-18581.476959129675
t67,3700.197702720009,1.8509496053174848e-9,-1.2495116579521522e-8,0.0,0.0,6.040596987357326e-12,7.744232721398793e-13,14172.415021190904,-261.7359854117482,-13992.203824066086,28735.598526614067,3.819248606429051e-9,-3.115997542470344e-8,0.0,0.0,6.045280159774615e-12,7.810551619454325e-13,48114.94562270063,-395.537617265782,-74682.91743253823,14119.901612931735,2.232035624150811e-9,-3.006723048277113e-9,0.0,0.0,6.037563573743299e-12,7.746595430629074e-13,-5421.66819938441,-48.38818361634088,-3891.2095906680706,18493.622017820268,2.5317507747346065e-9,-2.8959812484130413e-9,0.0,0.0,6.033040285376332e-12,7.839395238988245e-13,-15199.489605032599,-130.10422505321165,-2983.719014752549,158829.9922634212,9.386208914247952e-9,-5.0299941543535475e-9,0.0,0.0,6.041006524417225e-12,7.879541556786855e-13,-83065.13596210825,-812.7093962177921,-70181.4549822871,4318.342207212872,2.339486813439242e-9,-5.424009182474216e-9,0.0,0.0,5.990459172786677e-12,8.237845221767031e-13,2965.7701937888946,-17.840301438266668,-1361.3675826197532,54707.35046511585,3.058305391963074e-9,-1.915150563761564,0.0,0.0,6.046870226770253e-12,7.834314390422869e-13,23532.445406197592,-424.91480629774486,-55362.28169320329,11281.018613477387,1.8310147295716783e-9,-1.1687722809354348e-8,0.0,0.0,6.045324750367077e-12,7.7806702630484e-13,14900.717522674371,-75.63182858391944,-24227.624121205008,15312.792784344776,2.2721846914313727e-9,-2.7331207677882837e-9,0.0,0.0,6.037761835672207e-12,7.750852248540795e-13,741.7155141269448,-4.09836594801768,-15771.949369483444,19363.377792822204,2.29391166430197e-9,-2.801695191894026e-9,0.0,0.0,6.040564927768057e-12,7.757161816747525e-13,-741.7155141540586,-4.098365948076804,-18325.122086890737
t68,3679.873885236036,2.1089303025322598e-9,-6.060428688146982e-9,0.0,0.0,6.041917168619243e-12,7.746615607105153e-13,14819.788483045904,-254.48216286452472,-14633.761113551165,29681.597526637815,4.667558686718e-9,-1.2118253104780825e-8,0.0,0.0,6.04650084363959e-12,7.822027767120411e-13,56486.17276726503,-481.5232335742616,-83828.17234452923,13641.307129123246,2.825976293904833e-9,-2.3387765721240876e-9,0.0,0.0,6.038221055715314e-12,7.748750239826823e-13,-4817.224735198826,-45.29400856333151,-4040.3693796102025,18389.314299680467,2.9269980435374754e-9,-2.523671138092519e-9,0.0,0.0,6.03321479274396e-12,7.842881474238069e-13,-14862.93761855638,-189.0396556884775,-3098.0924218212504,156796.432080104,9.437012681958218e-9,-5.922062612565757e-9,0.0,0.0,6.0414612059827254e-12,7.891796074499764e-13,-76868.19985172519,-709.307217065112,-74551.63526727153,4892.4024489143085,2.3975242234492005e-9,-5.226664710746751e-9,0.0,0.0,5.990447544527397e-12,8.236014037183851e-13,1433.2226560704921,-8.621411148509415,-1493.636806263207,58344.63806628898,3.0545508365459576e-9,-2.015201077079657,0.0,0.0,6.047058543563435e-12,7.84195040699986e-13,16758.711314725344,-293.1341033616853,-60741.230121370405,15063.99716310929,2.0989725325251406e-9,-5.953740417000203e-9,0.0,0.0,6.046578145050422e-12,7.783818893534713e-13,12143.971358425446,-95.01950179400927,-25208.63133135593,15531.931203085862,2.412076214919814e-9,-2.5662108590894215e-9,0.0,0.0,6.037399047225171e-12,7.752114095492202e-13,549.1426138505547,-3.0343000067370376,-15800.643019830632,24990.02515231463,2.4844562060135645e-9,-2.579265336032995e-9,0.0,0.0,6.0406434090209886e-12,7.759873753416043e-13,-5642.646987902355,-74.6621031750977,-18909.71049818295
t69,3426.3745206377776,1.956087287358329e-9,-7.561020684080662e-9,0.0,0.0,6.041861718353588e-12,7.746332779214193e-13,15041.035301709677,-253.92406992160525,-14602.624753506221,29541.665526652825,4.57009822165518e-9,-1.4001244660177708e-8,0.0,0.0,6.046713798714767e-12,7.823393021257205e-13,58214.26521276852,-532.2464193704328,-85314.88641843808,13162.71264531345,2.675009801645049e-9,-2.4241738965591176e-9,0.0,0.0,6.038093341565462e-12,7.748667950316923e-13,-4487.419735445546,-42.19301342531957,-3897.7818858048568,18293.681420866054,2.797656690233563e-9,-2.609959042631465e-9,0.0,0.0,6.033310518368224e-12,7.841827066951535e-13,-14876.896223470067,-188.91085049455896,-2988.758548479343,152729.80671098648,9.199165071738028e-9,-5.7270483605745945e-9,0.0,0.0,6.0421075176426244e-12,7.893290560986125e-13,-72692.2628575209,-643.9976640160589,-74791.56599952387,5471.989763961907,2.326970452640429e-9,-5.288979469220496e-9,0.0,0.0,5.991642794146234e-12,8.228666634248284e-13,1864.7667571865031,-11.217322613224878,-1455.7236106389116,61821.69909774311,2.9103532658391552e-9,-2.0163782089535167,0.0,0.0,6.047180072523017e-12,7.840196750990236e-13,12151.230219401092,-230.4204617773863,-59199.42683264905,14605.461825556777,1.9504855657895703e-9,-7.327138890916962e-9,0.0,0.0,6.046621272274713e-12,7.783042244807931e-13,12055.490544975846,-89.36403982456488,-24672.9261042995,15033.076332327135,2.383840682921783e-9,-2.6017541463565917e-9,0.0,0.0,6.0376246903160105e-12,7.750888014774643e-13,529.3387955607797,-2.9248735582424645,-15282.203183675574,26663.483816040967,2.4168716855769627e-9,-2.6419981956229246e-9,0.0,0.0,6.0404269942460156e-12,7.75878192039078e-13,-7799.548015165902,-127.14343121734586,-18321.30547856102
t70,3193.161156042569,1.995216328567527e-9,-6.581242319092019e-9,0.0,0.0,6.04262117092188e-12,7.747114832794541e-13,12281.247471096181,-220.7111286424882,-14236.000679450997,28841.276526642712,5.468720684538373e-9,-1.0988388426244535e-8,0.0,0.0,6.0477404825196806e-12,7.824294828137122e-13,58657.06787382126,-556.8622173618963,-85008.06848352078,12251.899802424246,2.7003014006384634e-9,-2.3893896615568485e-9,0.0,0.0,6.038165675910733e-12,7.74929071703934e-13,-4681.109909582388,-48.05288560883117,-3753.424655745481,18206.723381374708,2.7110265737096115e-9,-2.6814504042879527e-9,0.0,0.0,6.033332201537585e-12,7.8414982250459e-13,-14892.959642097747,-192.74556122918884,-2878.067668893178,150696.2915288955,6.369472318865977e-7,-4.315793639507714e-9,0.0,0.0,6.04436884317808e-12,7.903452337876415e-13,-67958.87025988576,-614.753545140826,-78838.94453418502,5768.339138603348,2.2960755852049533e-9,-5.6090831253607694e-9,0.0,0.0,5.9920098325248874e-12,8.223752493255983e-13,-9.111242061961628e-8,-6.437458547398021e-10,-1518.833040134527,61875.10795431631,3.563757072414953e-9,-9.011876296049248e-9,0.0,0.0,6.049264360125285e-12,7.844737160785562e-13,13960.40964624894,-218.33378129181233,-61765.876965470736,12845.565975331177,2.000763167112569e-9,-6.4053232513842485e-9,0.0,0.0,6.047498235314878e-12,7.784097998851191e-13,11878.559738645115,-96.14521642877807,-24005.20469536114,15021.768151150718,2.3511201290457868e-9,-2.6359690094490794e-9,0.0,0.0,6.037668394733253e-12,7.750402465035709e-13,9.222962119758089,-12.7838767635071,-14731.06116265049,27552.921939853746,2.3683243760056565e-9,-2.697271487058134e-9,0.0,0.0,6.0403383724769165e-12,7.758116362215748e-13,-9253.567880274244,-157.61279722537336,-17695.785005248577
t71,3041.0539737498257,1.752030993329309e-9,-1.3898797519975504e-8,0.0,0.0,6.042248774448559e-12,7.746639772252848e-13,14245.414481069458,-221.29368740425556,-13486.944151050298,30051.845174603404,5.203982116280535e-9,-2.1347388348168083e-8,0.0,0.0,6.047556629987186e-12,7.823369445693798e-13,57530.00933232764,-551.9980338764038,-85101.30695694557,10925.43150214787,2.638097874479821e-9,-2.4078125984922803e-9,0.0,0.0,6.038212211712308e-12,7.749175737997339e-13,-4067.224830099038,-50.05559265683841,-3699.829979622743,18141.452440192803,2.637215090743653e-9,-2.7342332036158697e-9,0.0,0.0,6.033457655755172e-12,7.839303358771935e-13,-14852.706527718346,-200.7844300159231,-2836.9721045163787,144596.42097750102,3.259407102061837e-8,-4.963360704740192e-9,0.0,0.0,6.044891931956859e-12,7.907380495987495e-13,-60292.839129510765,-488.6882394167404,-79995.57168078353,6932.758342399087,2.3328820806891673e-9,-5.087118501980941e-9,0.0,0.0,5.994381863354464e-12,8.208626174839134e-13,-2.1360532511716563e-8,-2.472054003726306e-10,-1450.4556987394553,67145.23881354119,3.1713284334161747e-9,-1.4989775261458585e-8,0.0,0.0,6.048934672937589e-12,7.839830134010731e-13,5649.647976728679,-88.35765117199476,-58985.1984154045,12781.926975349443,1.7397603299201326e-9,-1.365136990694374e-8,0.0,0.0,6.0473196174289054e-12,7.783285728388525e-13,11164.494677896266,-78.10244632947499,-23263.58617479747,14134.831893317969,2.28871298921294e-9,-2.6916793383630765e-9,0.0,0.0,6.038032342800291e-12,7.749031559434838e-13,477.0047277624051,-2.635700481953255,-14332.203023023108,27711.946006162383,2.284717644428538e-9,-2.788588120591109e-9,0.0,0.0,6.040262475234108e-12,7.757148458312217e-13,-9853.800708434937,-163.3511036334421,-17243.099630578363
t72,2747.020426895743,1.2809578927667666e-7,-2.33186113985341e-10,0.0,0.0,6.095603053417196e-12,7.766151767847355e-13,13426.353584509847,-254.21749850144647,-14887.711486380733,34849.18353174589,9422.000000378173,-4.4027590076595735e-10,0.0,0.0,6.10362768313083e-12,7.863162816007878e-13,58320.159078870296,-555.4081791418589,-100103.9747705182,10024.556400269157,2.727204599037696e-9,-2.3564865304033002e-9,0.0,0.0,6.038736970498783e-12,7.749577802711818e-13,-3045.270579028207,-60.738736901642575,-4298.753435173276,18037.144722052133,2.860459009859108e-9,-2.7535782187948444e-9,0.0,0.0,6.034401850968562e-12,7.839538037525512e-13,-14270.507823443473,-210.10732616631262,-3296.2172983484134,140529.70561014852,4725.918918315151,-3.6749608880343633e-10,0.0,0.0,6.097421135031866e-12,7.928900080858087e-13,-58236.180836505606,-422.1250447781223,-84791.74489403827,6081.733377801816,1490.7538397888154,-2.0996258400524307e-10,0.0,0.0,6.045784895511672e-12,8.226440866865816e-13,-3145.331277916051,-18.920433632544913,-1704.8555587066544,75370.47439228829,4485.80098999881,-4.997998641291666e-10,0.0,0.0,6.103114736434013e-12,7.873228930330402e-13,3145.3312782103503,-18.920433638686973,-69330.79272073726,11053.850625199491,1.1863366225964227e-7,-2.3665524087218806e-10,0.0,0.0,6.101339940474834e-12,7.804937455913851e-13,15486.3955130584,-105.85911080288088,-25801.897331047545,15718.655765775868,2.201848069316177e-9,-2.7415722182431354e-9,0.0,0.0,6.038101698371531e-12,7.748867541422899e-13,-324.4538074391386,-15.29225366331802,-15089.255253916483,31396.67513681418,2.3453136243179474e-9,-2.677305215404255e-9,0.0,0.0,6.040598568368649e-12,7.75895274839673e-13,-11356.495130316418,-180.732781860859,-19390.370982898145
t73,2513.8070622522887,1.636698015532556e-9,-4.790993597355541e-9,0.0,0.0,6.045991963196419e-12,7.750055167135674e-13,12196.457429405069,-202.27554509524617,-13508.727711127327,29456.40517461913,4739.809532487483,-8.726468187757805e-9,0.0,0.0,6.052081874798433e-12,7.832083083373755e-13,56021.09466388486,-545.4858275095436,-87749.78623375144,9559.212237810027,2.6977530338711397e-9,-2.3559168328676305e-9,0.0,0.0,6.0380269889420615e-12,7.750899858202121e-13,-3026.388844039389,-57.55020801202163,-3858.6680654729903,18032.807302390665,2.905270803877496e-9,-2.5112480812078426e-9,0.0,0.0,6.033664394276207e-12,7.842649098655937e-13,-14601.461649515804,-211.18701288479457,-2958.766679178936,138496.41542666857,4655.000000140941,-2.7816841956232765e-9,0.0,0.0,6.049273975325153e-12,7.913164021943643e-13,-60418.02410490013,-517.6076538251805,-80283.38932546209,5803.740011043367,6.7519373073169036e-9,-2.0646178408396944e-9,0.0,0.0,5.996367638581288e-12,8.211653636510464e-13,-1623.95528303002,-9.768744669504182,-1475.787724963354,63721.58663866159,6.124735558190001e-9,-7.248081320612106e-9,0.0,0.0,6.053154942593445e-12,7.845117368143688e-13,10215.01098033629,-144.12853232807257,-60015.36748184305,10605.921787565432,1.4773717097646936e-9,-5.327908610237982e-9,0.0,0.0,6.051169498057917e-12,7.786174381068383e-13,12606.143654494628,-82.87198437003964,-22519.69088757875,13718.063409608814,2.4247418031113557e-9,-2.5864719422352095e-9,0.0,0.0,6.03782933493522e-12,7.748405034152058e-13,-259.4644228922909,-15.65135398549709,-13152.934081652684,28480.176483089035,2.4430120833026877e-9,-2.650112146593898e-9,0.0,0.0,6.040315472337218e-12,7.758253846778879e-13,-11109.412423743215,-176.82366657622003,-16728.773266311815
t74,2339.867697641944,2.033216992659686e-9,-3.4701967082078755e-9,0.0,0.0,6.046096895580201e-12,7.749485335708349e-13,12064.96117577322,-155.84795580230605,-13296.14727147055,28350.7855266605,7518.6958482304235,-5.64120450386438e-9,0.0,0.0,6.0519777726556705e-12,7.828098659466719e-13,52210.004301210996,-522.6285089161037,-85657.6771760577,9103.805816364726,2.745823359328003e-9,-2.313023169558275e-9,0.0,0.0,6.038129258236772e-12,7.750576656571876e-13,-2576.6319663845024,-62.498902563294806,-3843.121132589401,18137.11502053036,2.9285968218966506e-9,-2.471954630030874e-9,0.0,0.0,6.033896188682104e-12,7.841441459324867e-13,-14716.93707192884,-211.56373395608674,-2946.845532762898,136462.9452426137,4675.0095553964775,-2.7650520454754084e-9,0.0,0.0,6.049475285470858e-12,7.910894889644817e-13,-60987.11386075987,-565.3950684878092,-77605.26411180284,6096.155955406153,8.403466029442457e-9,-1.954758437736201e-9,0.0,0.0,6.000242649455353e-12,8.193188904615978e-13,-1927.259243288258,-11.593240070301016,-1461.2507182681895,58344.63806629258,8.293264394472429e-9,-4.281713535964325e-9,0.0,0.0,6.0535544008979824e-12,7.844052759616305e-13,15149.28915009635,-218.37913382769926,-59424.19587623968,10563.495787551055,1.9257980101034655e-9,-3.586355891591537e-9,0.0,0.0,6.051019051822888e-12,7.785224054708057e-13,12486.845817157862,-77.34947202794113,-22369.01207491464,13720.943444940283,2.3840744712853194e-9,-2.6295871015594287e-9,0.0,0.0,6.037788551231199e-12,7.747671782084007e-13,-281.07867141422486,-15.53192396380653,-13134.43872850574,28780.75741403928,2.391325072376808e-9,-2.6986809554442682e-9,0.0,0.0,6.040340315297725e-12,7.757747272106474e-13,-11422.079630462733,-181.27621003449002,-16707.781903626317
