BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
AnnualSum,3.704857442103678e7,9.069988955321171e-5,-0.00010715411316113869,0.0,0.0,3.512658818038325e-8,4.437202100942912e-9,1.0505300581163634e8,-2.0641678833445942e6,-1.2047387503216499e8,2.987733284171636e8,1.6204516902554927e7,-1.8711364386904813e7,0.0,0.0,3.517896268340041e-8,4.44291679953115e-9,5.46507559104079e8,-4.799775584080665e6,-8.212132195969507e8,1.3476703089137375e8,2.5952897387852174e-5,-3.065977582349625e-5,0.0,0.0,3.5044694635903774e-8,4.439122680434544e-9,-4.66443644001131e7,-767589.7434281152,-3.759209913370793e7,1.1249780816406667e8,2.8696525850162463e-5,-3.390253918252239e-5,0.0,0.0,3.52698788310097e-8,4.451234498274877e-9,-8.041241678749298e7,-1.519916177846616e6,-2.8825037144927993e7,1.0199839121186461e9,1.0810490101761337e7,-1.2484097331207035e7,0.0,0.0,3.5144215524801384e-8,4.451770204754439e-9,-3.8808543671444386e8,-5.274599968550367e6,-5.9000523345934e8,8.206189890611403e7,1.602528455103998e6,-1.893346473417574e6,0.0,0.0,3.633324621963783e-8,4.541597086385439e-9,1.3154936179946219e6,-206946.4463225466,-1.1996325343045723e7,1.0018470978695753e9,4.633951357754456e6,-5.474895271545102e6,0.0,0.0,3.513410494586788e-8,4.443532938707848e-9,-1.4005843905863833e8,-3.4965407882725922e6,-4.878505639505258e8,1.7275089846365744e8,8.927137582024711e-5,-0.00010546758561733828,0.0,0.0,3.5152654084761925e-8,4.4439806501879234e-9,5.844644928744759e7,-1.4548188929569575e6,-2.18394186150665e8,1.539203713193799e8,2.1846570218544e-5,-2.5808355570245215e-5,0.0,0.0,3.502861708785698e-8,4.439300220403995e-9,-1.489690601880068e7,-505693.67034475895,-1.3316475214461263e8,2.0929911719169125e8,2.3108368888625856e-5,-2.7299301202033263e-5,0.0,0.0,3.5075966034475616e-8,4.441342588268937e-9,-4.1224944841668636e7,-954869.7266685809,-1.6071260908130553e8
t1,8762.0625153202,8.795687890941976e-10,-4.277554360396585e-9,0.0,0.0,4.87643184301981e-12,6.241787058008365e-13,8115.728682924395,-216.28383878291262,-15683.890065301417,38685.79152667251,1.954295004303085e-9,-6.111788711446296e-9,0.0,0.0,4.886249502608133e-12,6.23790198676006e-13,74663.72263484848,-593.6962698539985,-110785.57013960998,14931.337045701192,9.055731278497944e-10,-2.3338566644668337e-9,0.0,0.0,4.873195143618408e-12,6.248543670071584e-13,-7595.133155906946,-77.32031833744526,-4605.6477898036555,22295.78254842726,9.368332004182605e-10,-2.7507413793636867e-9,0.0,0.0,4.869545414601768e-12,6.355032985367486e-13,-18398.665709684297,-157.68638642660744,-3531.5391179766557,119921.15558901461,1.7467429886793739e-9,-1.8234048300540348e-8,0.0,0.0,4.880942975961184e-12,6.244072061402079e-13,-19605.523907807397,-731.869690971324,-97465.63456207654,5213.6635485943925,1.8981829851749166e-9,-9.880393547366494e-9,0.0,0.0,4.7738503416381884e-12,6.623341760179758e-13,2732.682176826047,-16.438183198301306,-1691.1789989841245,142825.41689545868,2.5197557115092602e-9,-4485.800989848322,0.0,0.0,4.852301749427331e-12,6.242155819273466e-13,-43798.95368075986,-601.3612976700072,-68774.61262535438,25320.099449993162,8.255444742790777e-10,-4.540644185810803e-9,0.0,0.0,4.878882239396285e-12,6.266453950063532e-13,1020.4716770895134,-207.9879922075681,-25397.96455693503,12130.882786176551,1.2366285018323877e-9,-1.343707635681744e-9,0.0,0.0,4.875781146760383e-12,6.24491234907939e-13,4439.639289084844,-41.75962726266682,-16212.640623671317,22422.76388143315,1.2353666033606777e-9,-1.4433904532879154e-9,0.0,0.0,4.875160645830626e-12,6.262277527243989e-13,-1573.9680066147791,-15.880461830356861,-20528.691491354715
t2,7568.060047823376,8.837838585177434e-10,-5.002447979362154e-9,0.0,0.0,4.8760174985341716e-12,6.241525275137812e-13,8902.314170699854,-253.26962858693986,-15202.501505970478,36691.831206202296,1.8313029307263418e-9,-1596.173563944152,0.0,0.0,4.884944174101547e-12,6.237499818823598e-13,74276.26587293495,-584.3719029001284,-106826.62822720497,13581.680683050738,9.253347882363427e-10,-2.527973047966279e-9,0.0,0.0,4.872558147182266e-12,6.247551513260793e-13,-6295.3815001578805,-67.62083651915552,-4575.142046536782,22169.787731980938,1.0591894470364139e-9,-1.9904654952685946e-9,0.0,0.0,4.870492654768338e-12,6.35363735094443e-13,-18296.72733985583,-157.35382793920522,-3508.147788333859,121954.1757729073,1.6778455882783757e-9,-755.5942346629,0.0,0.0,4.880373973801117e-12,6.244167979896782e-13,-24143.07643296122,-759.393702995487,-94150.459962221,4361.327440528119,1.405850279621623e-9,-1.4602526846840545e-8,0.0,0.0,4.783844634922973e-12,6.604304040013876e-13,3550.0291489162814,-21.354854217576666,-1646.3565210005413,131913.5540919378,2.265867651425487e-9,-3994.687183809566,0.0,0.0,4.852041557813959e-12,6.240901703238807e-13,-44616.30065285057,-606.2779686892857,-66951.83185402199,25277.67344998791,8.69582861865439e-10,-5.107283643638896e-9,0.0,0.0,4.878225416842772e-12,6.265741346326516e-13,682.876733056657,-179.00702098297984,-25075.905555344365,9912.94596888101,1.2172749524608338e-9,-1.5166628027803313e-9,0.0,0.0,4.875622538952609e-12,6.245252288436493e-13,6610.511349607381,-67.9842837751934,-16113.126553872768,21382.01232685385,1.240872935377504e-9,-1.5250877550271534e-9,0.0,0.0,4.875123229142182e-12,6.262055216441499e-13,-670.5113493896297,-3.7049257155841007,-20415.747666229825
t3,6146.88156877806,9.015314806361651e-10,-4.657696226828346e-9,0.0,0.0,4.876005170182428e-12,6.242033949651483e-13,10042.722074319843,-259.2167460102131,-14909.836695700264,36317.91008829824,1.860319401112478e-9,-3978.645276913702,0.0,0.0,4.884858132869655e-12,6.237710775562286e-13,74276.26587293428,-584.3719029001417,-104070.23539632003,13119.649100934494,9.73918514624853e-10,-2.302858716103957e-9,0.0,0.0,4.872769996315249e-12,6.247407232230283e-13,-5862.61731053194,-62.62881078317223,-4555.858705519512,22048.130335192687,1.1192309223929326e-9,-1.8859900022693303e-9,0.0,0.0,4.870879211413379e-12,6.35526146308453e-13,-18189.154227183524,-157.70476892195552,-3493.3616222534774,121954.17577291868,1.6948947917209898e-9,-1430.804875123591,0.0,0.0,4.880378352732585e-12,6.244807578033631e-13,-25170.493587423734,-765.6258384818522,-92435.36789633674,3796.1627031372695,1.7732092446306177e-9,-1.1654667193048868e-8,0.0,0.0,4.787677786815831e-12,6.598521764253401e-13,4057.0372180957047,-24.404711824437044,-1582.1001375948226,124692.38774616254,2.583452409786253e-9,-193.11799405599356,0.0,0.0,4.8528828608378576e-12,6.240469551907779e-13,-45123.30872203004,-609.3278262961471,-64338.738928856095,25683.176287546004,8.920940793562862e-10,-4.640974492684724e-9,0.0,0.0,4.878280810822513e-12,6.26630736369862e-13,214.5044838241825,-175.38052445623748,-25020.289136725205,9974.874209865908,1.2003903237137924e-9,-1.6182197651427403e-9,0.0,0.0,4.875568204675176e-12,6.245268120144134e-13,6532.364025029284,-66.57296819321469,-16099.730101443698,21474.796801519773,1.2259735143668297e-9,-1.606855863531351e-9,0.0,0.0,4.875147436777818e-12,6.262069531486449e-13,-777.3198270340587,-4.295098388693527,-20400.543317904954
t4,4412.441150744025,8.210171132378133e-10,-1.2255223429167491e-8,0.0,0.0,4.8748727897331055e-12,6.24107879650947e-13,11197.795881376896,-248.70484612688188,-14351.493884479112,35952.75952666056,1.250552078695861e-9,-9422.000000043407,0.0,0.0,4.880274135717089e-12,6.236612514002667e-13,73560.21743877506,-579.7275458645302,-97554.9703914682,12660.930099148794,9.914073446357157e-10,-2.272163415798363e-9,0.0,0.0,4.872704300929918e-12,6.246472404891484e-13,-5552.678808810556,-60.087984734587025,-4412.159857552066,21796.140702285138,9.244263468583867e-10,-2.9820644752276096e-9,0.0,0.0,4.869396667524431e-12,6.351423657197856e-13,-18053.26206363712,-154.74905545681932,-3383.175579819075,116402.99797851025,1.4830352426046674e-9,-4655.000000015855,0.0,0.0,4.878992307468722e-12,6.24587401915528e-13,-24285.77582701935,-760.2592929398562,-84555.44582847739,4371.816587914218,1.6961727592004872e-9,-1.386811865809636e-8,0.0,0.0,4.787580690684586e-12,6.595052408313832e-13,3307.2116183878475,-19.894209037391946,-1416.9494282359774,117417.81254381672,2.629465980123723e-9,-341.05906702946015,0.0,0.0,4.852587276042697e-12,6.240761318197134e-13,-44373.483122321995,-604.8173235091002,-57622.6100815964,26547.214462587744,8.152637329580213e-10,-1.2262173743303375e-8,0.0,0.0,4.87740985655158e-12,6.266884050956825e-13,-1352.7039258972186,-168.19558556341605,-24331.488779823278,10242.794817863269,1.198631837596101e-9,-1.572062859417536e-9,0.0,0.0,4.8755534731507446e-12,6.244716689956648e-13,6220.316167032763,-63.777030149181684,-16061.194727532416,20942.683798832175,1.2582336963218542e-9,-1.5189635815834385e-9,0.0,0.0,4.87516929781721e-12,6.261274145392527e-13,-667.6373578863147,-3.689045410423851,-19979.324890321743
t5,4331.334968442417,8.367113263625143e-10,-1.4078043461971734e-8,0.0,0.0,4.874616656205797e-12,6.241070068968454e-13,11262.573029901207,-294.19250743400204,-14244.189528087156,36233.35252666588,1.2932571277199074e-9,-9422.000000105429,0.0,0.0,4.879533861396854e-12,6.236245170172352e-13,68138.03825069296,-552.0688419491225,-92468.70161114905,13089.835877891908,1.0115378393202464e-9,-2.267452200657579e-9,0.0,0.0,4.872435092145071e-12,6.246841569780901e-13,-5938.678625998523,-64.28366883532122,-4446.674450905864,21561.50074802917,9.572104669608434e-10,-2.949456393510904e-9,0.0,0.0,4.8689132404163076e-12,6.353160758903227e-13,-17798.83072479324,-151.41212097028782,-3409.640833380115,113396.33858923969,1.4556956501001613e-9,-4700.131903743942,0.0,0.0,4.878309078317078e-12,6.246688767599117e-13,-29601.25914197769,-792.5020991363928,-76123.68560815371,5517.879783774914,1.6480671668060502e-9,-1.771282431437235e-8,0.0,0.0,4.794334684011707e-12,6.588439909241414e-13,1982.1558285947958,-11.923465126829374,-1253.898322121725,110143.23734147078,2.6346951136162086e-9,-826.8373554889769,0.0,0.0,4.852101144281148e-12,6.241303643376248e-13,-43048.427332528925,-596.846579598538,-50991.8650996168,16478.033962708534,8.342697512799717e-10,-1.3523700277862703e-8,0.0,0.0,4.877142125054787e-12,6.267800406321503e-13,8653.159872428076,-160.91802912993091,-24282.72719113402,10299.0374113317,1.310430672736695e-9,-1.4121954972985133e-9,0.0,0.0,4.87549530271966e-12,6.245156580687106e-13,6804.191075631871,-69.05446550673621,-16690.757358885196,21074.772520950017,1.3041121096759256e-9,-1.4745707220313623e-9,0.0,0.0,4.875181243070728e-12,6.261793997717677e-13,-452.922231950543,-8.570154552526263,-20316.36652009107
t6,4300.905968441906,8.304828675227936e-10,-1.448349313469622e-8,0.0,0.0,4.874652320274084e-12,6.240686228609939e-13,11946.585138524373,-279.5184091206773,-14927.120833336785,36093.42052667632,1.2624973032227702e-9,-9422.000000103102,0.0,0.0,4.8793581470130505e-12,6.236625843502363e-13,64019.17707076918,-528.106094189414,-88257.83392674761,13083.210717216134,1.0323451099848436e-9,-2.157011381621291e-9,0.0,0.0,4.872468258234612e-12,6.246238881695462e-13,-5715.539353636718,-65.01162690658946,-4661.7326464498565,21326.860793774635,9.544227968318027e-10,-3.0009767401037058e-9,0.0,0.0,4.869014592752977e-12,6.35066142444025e-13,-17411.941465961874,-145.08513291761054,-3574.544114062258,113396.24858921056,1.447889942444721e-9,-4697.379192770212,0.0,0.0,4.8783689949239615e-12,6.24671464750862e-13,-28093.550130918353,-783.3565959781861,-77652.34833648716,6671.809840176102,1.5752247569309347e-9,-3.4527558296011963e-8,0.0,0.0,4.794964819003889e-12,6.58526992658587e-13,761.7611929917746,-4.582300184838917,-1202.1160727860836,106489.09256993873,2.5584690045986703e-9,-659.7667945177518,0.0,0.0,4.851802032401317e-12,6.241394844410381e-13,-41828.03269692601,-589.5054146565491,-48886.05362663406,16499.24696270837,8.246489198613682e-10,-1.3782364937812556e-8,0.0,0.0,4.877127496033436e-12,6.267560829574283e-13,9611.076375470386,-141.79616020551288,-25300.10043202571,11346.42569734829,1.3056832142546202e-9,-1.4242611400481795e-9,0.0,0.0,4.8755547211594526e-12,6.244828303040181e-13,6941.607799048313,-69.81376473848015,-17874.043769854863,21826.634151155402,1.3059313462434993e-9,-1.4723219454264238e-9,0.0,0.0,4.875298333487188e-12,6.261189127473077e-13,-231.1439293610697,-12.643981650723804,-21281.858798689707
t7,4270.476968442907,8.355039726661833e-10,-1.383083388645773e-8,0.0,0.0,4.874641322536199e-12,6.240515534661805e-13,12131.744397613526,-285.2615918960537,-15070.364726879268,36058.437526677,1.2491037961819582e-9,-9422.000000121798,0.0,0.0,4.879173721461621e-12,6.237214733732332e-13,59645.88923348406,-486.392013663804,-83932.9912504941,12637.742036782722,9.84315586199231e-10,-2.3950611873150333e-9,0.0,0.0,4.872448770902394e-12,6.245952485487918e-13,-5182.8813443137815,-66.74934296485382,-4745.446543222758,21526.801390735207,9.338258910969624e-10,-3.1454105636255403e-9,0.0,0.0,4.869028293718181e-12,6.350458692331453e-13,-17561.80851184363,-138.02665121383276,-3638.7346285488998,113396.02358924017,1.450287844275542e-9,-4701.206832740497,0.0,0.0,4.8783709367448524e-12,6.246998692991844e-13,-28816.65390992848,-787.7428189470202,-76916.41947158748,7834.917900539372,1.7170506803864548e-9,-7.704083477101673e-9,0.0,0.0,4.797971121926332e-12,6.587746583477532e-13,-2266.1753934064436,-13.631957127013546,-1210.345744512119,102905.21382533167,3.1604367758881725e-9,-7.718389679341446e-9,0.0,0.0,4.854883833567143e-12,6.242567482227645e-13,-38800.096110526494,-598.5550715987113,-49220.72694349283,16114.95712515113,8.278097373226898e-10,-1.301673219918153e-8,0.0,0.0,4.877138330115164e-12,6.26761632561624e-13,10944.049160283439,-139.7219199333175,-26252.931859822,10803.269947489282,1.2891180342294856e-9,-1.442804591781514e-9,0.0,0.0,4.875689011411378e-12,6.244604286748099e-13,8167.374028213529,-76.58676392411589,-18543.108250789835,20122.58423241801,1.276606824436705e-9,-1.5260837432882314e-9,0.0,0.0,4.875226382466294e-12,6.261065145545989e-13,1738.558450424285,-48.90366352115685,-21474.991895996583
t8,5757.8929935514325,9.335680011228339e-10,-4.325639754081665e-9,0.0,0.0,4.876018884922352e-12,6.2406314951989e-13,10866.213792036391,-253.33878706285424,-15356.09575608619,35462.997526674444,1.407447619864932e-9,-9421.999999999372,0.0,0.0,4.88135708493428e-12,6.236162523381919e-13,69758.4768443254,-559.9239940732143,-93303.0749006497,12188.960776014676,1.022907301741534e-9,-2.2069805255310544e-9,0.0,0.0,4.872700470828621e-12,6.245820596411374e-13,-4602.155781767886,-49.80195611486887,-4911.285618699925,21635.44652854755,1.0773810980621305e-9,-2.1271911855875184e-9,0.0,0.0,4.870439159567447e-12,6.3506745711328e-13,-17521.230161946307,-149.05698274041103,-3765.8974532080706,119920.34558920383,1.6838843228369272e-9,-1754.013860588892,0.0,0.0,4.879854497571784e-12,6.247369503360716e-13,-36777.00506843901,-574.5002774632383,-78854.06836817208,8430.23893668141,4.069805228027711e-9,-1.254557534870294e-9,0.0,0.0,4.823008844866932e-12,6.594469222867078e-13,-4308.618243284219,-25.91807295224178,-1385.3250337883974,95577.22976644259,7.0937657334943325e-9,-1.923805317005471e-9,0.0,0.0,4.878166975387267e-12,6.249232838819071e-13,-24708.597719392656,-422.4000224460924,-56336.55137406147,25810.4542875454,9.301252172014372e-10,-4.215037493081441e-9,0.0,0.0,4.878659932560125e-12,6.26741090229162e-13,2690.760556476491,-156.03589792282884,-27662.51246244317,13179.324514609416,1.2576273673964527e-9,-1.4856408065368313e-9,0.0,0.0,4.875710101437222e-12,6.244681951378012e-13,6135.2954058281675,-58.27335399008433,-18923.711015392684,23745.384151331888,1.340037227509756e-9,-1.4159852300562055e-9,0.0,0.0,4.875170619293462e-12,6.261191508734334e-13,-1533.1396238363861,-8.47139787079763,-21906.958271950996
