Line,New_Trans_Capacity,Cost_Trans_Capacity
1,23786.60744999348,7.324350491645284e8
2,14264.061939996254,1.8264983124825707e8
3,9522.545504998423,3.709786756798124e8
4,20220.591959999092,8.848505480845307e8
5,14264.061939991825,3.125023121652288e8
6,2897.9493501512693,1.3574651599512354e8
7,3.609202096946207e-9,0.00010123510094891572
8,4999.999999998768,1.4994841754996303e8
9,4999.999999999541,3.667406769999663e8
10,4999.99999999953,2.8412544684997326e8
11,5999.999999998967,3.610901164799378e8
12,4999.9999999991605,1.3232140394997779e8
13,4999.999999967648,2.562785778483418e8
14,4999.999999997165,3.824249220997831e8
15,5.261575501159546e-10,7.54880431228344e-5
16,8.867168436793482e-9,0.0012350972935212484
17,2314.279613738174,8.46848629493764e7
18,4999.99999999278,1.7413103089974856e8
19,2.84371522629084e-10,1.8034238656732672e-5
20,4.8534458997457617e-11,2.9352540870071554e-6
21,2066.271503691945,1.680460416444387e8
22,4999.999999998568,3.536912296498987e8
23,9.770938305344361e-9,0.001578578420538282
24,2.505835694216608e-7,0.036346648358950684
25,4999.99999999433,3.9913494424954736e8
26,4999.999999998769,3.418593276499158e8
27,4999.999999999093,5.787198519998951e8
28,4999.9999999995325,1.9717588559998158e8
29,4999.999999998648,7.091036909998082e7
