CO2_Storage,Site,Zone,etaPCO2_MWh_per_tonne,Inv_Cost_per_tonne_per_yr_yr,Fixed_OM_Cost_per_tonne_per_yr_yr,Var_OM_Cost_per_tonne,Min_capacity_tonne_per_yr,Max_capacity_tonne_per_yr,Max_injection_rate_tonne_per_hr,CO2_Injection_Min_Output,CO2_Injection_Max_Output,Ref_capacity_tonne_per_yr,Ref_CAPEX_per_yr,Ref_Fixed_OM_per_yr
Knox3_GEO_SEQ,1,1,0,0,0,14.7,0,16582000,6930,0,1,7300000,3506000,637000
Knox4_GEO_SEQ,2,1,0,0,0,24.2,0,1373000,578,0,1,7300000,3506000,637000
Knox5_GEO_SEQ,3,1,0,0,0,16.3,0,6086000,2310,0,1,7300000,3506000,637000
Knox6_GEO_SEQ,4,1,0,0,0,24.2,0,1828000,578,0,1,7300000,3506000,637000
Mount_Simon5_GEO_SEQ,5,1,0,0,0,11.3,0,13848000,5775,0,1,7300000,3506000,637000
Mount_Simon6_GEO_SEQ,6,1,0,0,0,9.3,0,209377000,88356,0,1,7300000,3506000,637000
Mount_Simon10_GEO_SEQ,7,4,0,0,0,24.2,0,37547000,15592,0,1,7300000,3506000,637000
Waste_Gate1_GEO_SEQ,8,11,0,0,0,11.5,0,3366000,1155,0,1,7300000,3506000,637000
Mount_Simon7_GEO_SEQ,9,12,0,0,0,10.4,0,43913000,18480,0,1,7300000,3506000,637000
Mount_Simon8_GEO_SEQ,10,15,0,0,0,21.7,0,11281000,4620,0,1,7300000,3506000,637000
Mount_Simon9_GEO_SEQ,11,14,0,0,0,30.9,0,170260970.9,343,0,1,7300000,3506000,637000
St.Peter7_GEO_SEQ,12,13,0,0,0,20.5,0,4694000,1733,0,1,7300000,3506000,637000
St.Peter8_GEO_SEQ,13,12,0,0,0,58,0,15931668.74,87,0,1,7300000,3506000,637000
St.Peter9_GEO_SEQ,14,14,0,0,0,32.5,0,33168396.29,220,0,1,7300000,3506000,637000
St.Peter10_GEO_SEQ,15,14,0,0,0,37.3,0,45357956.79,301,0,1,7300000,3506000,637000
Sylvania1_GEO_SEQ,16,14,0,0,0,27.2,0,47723230.05,150,0,1,7300000,3506000,637000
