CO2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_hr_Per_Pipe,Pipe_length_miles,CO2PipeLoss_tonne_per_mile_per_tonne,CO2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,CO2_len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,CO2Pipe_Inv_Cost_per_mile_yr,CO2Pipe_Fixed_OM_Cost_per_mile_yr,CO2Pipe_Energy_MWh_per_mile_per_tonne,transmission_path_name
22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1000,0,1141.552511,152.9,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_Dom_to_Waste_Gate1
23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1000,0,1141.552511,82.6,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_1_to_Mount_Simon7
24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1000,0,1141.552511,177.2,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_COMD_to_Mount_Simon7
25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1000,0,1141.552511,140.8,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_3_to_Mount_Simon7
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1000,0,1141.552511,124.4,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_4_to_Mount_Simon7
27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1000,0,1141.552511,65.6,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_4_to_Mount_Simon8
28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1000,0,1141.552511,118.1,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_ATSI_to_Mount_Simon8
29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1000,0,1141.552511,133.7,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_1_to_Mount_Simon8
30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1000,0,1141.552511,134.8,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_3_to_Mount_Simon8
31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1000,0,1141.552511,186.5,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_2_to_Mount_Simon8
